É	AUX.Fin.Sing	ser
urgente	ADJ.Fem.Sing	urgente
a	DET.Fem.Sing	o
reflexão	NOUN.Fem.Sing	reflexão
sobre	ADP	sobre
questões	NOUN.Fem.Plur	questão
como	ADP	como
segurança	NOUN.Fem.Sing	segurança
,	PUNCT.Comma	,
privacidade	NOUN.Fem.Sing	privacidade
,	PUNCT.Comma	,
fluxos	NOUN.Masc.Plur	fluxo
migratórios	ADJ.Masc.Plur	migratório
,	PUNCT.Comma	,
relação	NOUN.Fem.Sing	relação
público	ADJ.Masc.Sing	público
e	CCONJ	e
privado	ADJ.Masc.Sing	privado
,	PUNCT.Comma	,
participação	NOUN.Fem.Sing	participação
ética	ADJ.Fem.Sing	ético
,	PUNCT.Comma	,
inter-relações	NOUN.Fem.Plur	inter-relação
entre	ADP	entre
sociedade	NOUN.Fem.Sing	sociedade
e	CCONJ	e
natureza	NOUN.Fem.Sing	natureza
,	PUNCT.Comma	,
conflitos	NOUN.Masc.Plur	conflito
territoriais	ADJ.Masc.Plur	territorial
,	PUNCT.Comma	,
contradições	NOUN.Fem.Plur	contradição
políticas	ADJ.Fem.Plur	político
,	PUNCT.Comma	,
econômicas	ADJ.Fem.Plur	econômico
e	CCONJ	e
ambientais	ADJ.Fem.Plur	ambiental
,	PUNCT.Comma	,
em	ADP	em
diferentes	DET.Masc.Plur	diferentes
tempos	NOUN.Masc.Plur	tempo
e	CCONJ	e
espaços	NOUN.Masc.Plur	espaço
.	PUNCT.Sent	.
