Trata	VERB.Fin.Sing	tratar
-se	PRON	se
de	ADP	de
um	DET.Masc.Sing	um
fenômeno	NOUN.Masc.Sing	fenômeno
segundo	ADP	segundo
o	PRON.Masc.Sing	o
qual	PRON.Rel.Masc.Sing	qual
um	DET.Masc.Sing	um
gênero	NOUN.Masc.Sing	gênero
pode	AUX.Fin.Sing	poder
assumir	VERB.Inf	assumir
a	DET.Fem.Sing	o
forma	NOUN.Fem.Sing	forma
de	ADP	de
outro	DET.Masc.Sing	outro
gênero	NOUN.Masc.Sing	gênero
,	PUNCT.Comma	,
tendo	AUX.Ger	ter
em	ADP	em
vista	NOUN	vista
o	DET.Masc.Sing	o
propósito	NOUN.Masc.Sing	propósito
da	ADP_DET.Fem.Sing	de_o
comunicação	NOUN.Fem.Sing	comunicação
,	PUNCT.Comma	,
finalidade	NOUN.Fem.Sing	finalidade
maior	ADJ.Fem.Sing	grande
de	ADP	de
todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
atos	NOUN.Masc.Plur	ato
de	ADP	de
fala	NOUN.Fem.Sing	fala
.	PUNCT.Sent	.
Essa	DET.Fem.Sing	esse
hibridização	NOUN.Fem.Sing	hibridização
(	PUNCT.Par.Left	(
outra	DET.Fem.Sing	outro
denominação	NOUN.Fem.Sing	denominação
para	ADP	para
a	DET.Fem.Sing	o
intergenericidade	NOUN.Fem.Sing	intergenericidade
)	PUNCT.Par.Right	)
pode	AUX.Fin.Sing	poder
ser	AUX.Inf	ser
facilmente	ADV	facilmente
encontrada	VERB.Part.Fem.Sing	encontrar
em	ADP	em
anúncios	NOUN.Masc.Plur	anúncio
publicitários	ADJ.Masc.Plur	publicitário
,	PUNCT.Comma	,
tirinhas	NOUN.Fem.Plur	tirinha
e	CCONJ	e
até	ADV	até
mesmo	ADJ.Masc.Sing	mesmo
em	ADP	em
artigos	NOUN.Masc.Plur	artigo
de	ADP	de
opinião	NOUN.Fem.Sing	opinião
.	PUNCT.Sent	.
Em	ADP	em
outros	DET.Masc.Plur	outro
termos	NOUN.Masc.Plur	termo
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
estratégia	NOUN.Fem.Sing	estratégia
discursivo-textual	ADJ.Fem.Sing	discursivo-textual
usada	VERB.Part.Fem.Sing	usar
para	ADP	para
realizar	VERB.Inf	realizar
determinados	ADJ.Masc.Plur	determinado
propósitos	NOUN.Masc.Plur	propósito
sócio-discursivos	ADJ.Masc.Plur	sócio-discursivo
específicos	ADJ.Masc.Plur	específico
a	ADP	a
partir	NOUN	partir
da	ADP_DET.Fem.Sing	de_o
mistura	NOUN.Fem.Sing	mistura
de	ADP	de
formas	NOUN.Fem.Plur	forma
e	CCONJ	e
funções	NOUN.Fem.Plur	função
de	ADP	de
gêneros	NOUN.Masc.Plur	gênero
variados	ADJ.Masc.Plur	variado
.	PUNCT.Sent	.
