Podendo	AUX.Ger	poder
utilizar	VERB.Inf	utilizar
vários	DET.Masc.Plur	vários
procedimentos	NOUN.Masc.Plur	procedimento
diferentes	ADJ.Masc.Plur	diferente
para	ADP	para
seu	DET.Masc.Sing	seu
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
tais	DET.Masc.Plur	tal
como	ADP	como
arredondamentos	NOUN.Masc.Plur	arredondamento
,	PUNCT.Comma	,
estimativas	NOUN.Fem.Plur	estimativa
,	PUNCT.Comma	,
cálculo	NOUN.Masc.Sing	cálculo
mental	ADJ.Masc.Sing	mental
ou	CCONJ	ou
até	ADV	até
mesmo	ADV	mesmo
algebricamente	ADV	algebricamente
.	PUNCT.Sent	.
“	PUNCT.Quot	“
A	DET.Fem.Sing	o
Unidade	PROPN.Fem.Sing	Unidade
Temática	ADJ.Fem.Sing	temático
Números	NOUN.Masc.Plur	número
tem	VERB.Fin.Sing	ter
como	ADP	como
finalidade	NOUN.Fem.Sing	finalidade
desenvolver	VERB.Inf	desenvolver
o	DET.Masc.Sing	o
pensamento	NOUN.Masc.Sing	pensamento
numérico	ADJ.Masc.Sing	numérico
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Sing	que
implica	VERB.Fin.Sing	implicar
o	DET.Masc.Sing	o
conhecimento	NOUN.Masc.Sing	conhecimento
de	ADP	de
maneiras	NOUN.Fem.Plur	maneira
de	ADP	de
quantificar	VERB.Inf	quantificar
atributos	NOUN.Masc.Plur	atributo
de	ADP	de
objetos	NOUN.Masc.Plur	objeto
ede	VERB.Fin.Plur	<unknown>
julgar	VERB.Inf	julgar
e	CCONJ	e
interpretar	VERB.Inf	interpretar
argumentos	NOUN.Masc.Plur	argumento
baseados	VERB.Part.Masc.Plur	basear
em	ADP	em
quantidades	NOUN.Fem.Plur	quantidade
.	PUNCT.Sent	.
No	ADP_DET.Masc.Sing	em_o
processo	NOUN.Masc.Sing	processo
da	ADP_DET.Fem.Sing	de_o
construção	NOUN.Fem.Sing	construção
da	ADP_DET.Fem.Sing	de_o
noção	NOUN.Fem.Sing	noção
de	ADP	de
número	NOUN.Masc.Sing	número
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
estudantes	NOUN.Masc.Plur	estudante
precisam	VERB.Fin.Plur	precisar
desenvolver	VERB.Inf	desenvolver
,	PUNCT.Comma	,
entre	ADP	entre
outras	PRON.Fem.Plur	outro
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
ideias	NOUN.Fem.Plur	ideia
de	ADP	de
aproximação	NOUN.Fem.Sing	aproximação
,	PUNCT.Comma	,
proporcionalidade	NOUN.Fem.Sing	proporcionalidade
,	PUNCT.Comma	,
equivalência	NOUN.Fem.Sing	equivalência
e	CCONJ	e
ordem	NOUN.Fem.Sing	ordem
,	PUNCT.Comma	,
noções	NOUN.Fem.Plur	noção
fundamentais	ADJ.Fem.Plur	fundamental
da	ADP_DET.Fem.Sing	de_o
Matemática	PROPN.Fem.Sing	Matemática
.	PUNCT.Sent	.
Para	ADP	para
essa	DET.Fem.Sing	esse
construção	NOUN.Fem.Sing	construção
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
propor	VERB.Inf	propor
,	PUNCT.Comma	,
por	ADP	por
meio	NOUN	meio
de	ADP	de
situações	NOUN.Fem.Plur	situação
significativas	ADJ.Fem.Plur	significativo
,	PUNCT.Comma	,
sucessivas	ADJ.Fem.Plur	sucessivo
ampliações	NOUN.Fem.Plur	ampliação
dos	ADP_DET.Masc.Plur	de_o
campos	NOUN.Masc.Plur	campo
numéricos	ADJ.Masc.Plur	numérico
.	PUNCT.Sent	.
No	ADP_DET.Masc.Sing	em_o
estudo	NOUN.Masc.Sing	estudo
desses	ADP_DET.Masc.Plur	de_esse
campos	NOUN.Masc.Plur	campo
numéricos	ADJ.Masc.Plur	numérico
,	PUNCT.Comma	,
devem	AUX.Fin.Plur	dever
ser	AUX.Inf	ser
enfatizados	VERB.Part.Masc.Plur	enfatizar
registros	NOUN.Masc.Plur	registro
,	PUNCT.Comma	,
usos	NOUN.Masc.Plur	uso
,	PUNCT.Comma	,
significados	NOUN.Masc.Plur	significado
e	CCONJ	e
operações	NOUN.Fem.Plur	operação
”	PUNCT.Quot	”
.	PUNCT.Sent	.
