2	NUM	2
.	PUNCT.Sent	.
Compreender	VERB.Inf	compreender
a	DET.Fem.Sing	o
historicidade	NOUN.Fem.Sing	historicidade
no	ADP_DET.Masc.Sing	em_o
tempo	NOUN.Masc.Sing	tempo
e	CCONJ	e
no	ADP_DET.Masc.Sing	em_o
espaço	NOUN.Masc.Sing	espaço
,	PUNCT.Comma	,
relacionando	VERB.Ger	relacionar
acontecimentos	NOUN.Masc.Plur	acontecimento
e	CCONJ	e
processos	NOUN.Masc.Plur	processo
de	ADP	de
transformação	NOUN.Fem.Sing	transformação
e	CCONJ	e
manutenção	NOUN.Fem.Sing	manutenção
das	ADP_DET.Fem.Plur	de_o
estruturas	NOUN.Fem.Plur	estrutura
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
políticas	ADJ.Fem.Plur	político
,	PUNCT.Comma	,
econômicas	ADJ.Fem.Plur	econômico
e	CCONJ	e
culturais	ADJ.Fem.Plur	cultural
,	PUNCT.Comma	,
bem	ADV	bem
como	ADP	como
problematizar	VERB.Inf	problematizar
os	DET.Masc.Plur	o
significados	NOUN.Masc.Plur	significado
das	ADP_DET.Fem.Plur	de_o
lógicas	NOUN.Fem.Plur	lógico
de	ADP	de
organização	NOUN.Fem.Sing	organização
cronológica	ADJ.Fem.Sing	cronológico
.	PUNCT.Sent	.
