Ao	ADP_DET.Masc.Sing	a_o
adotar	VERB.Inf	adotar
esse	DET.Masc.Sing	esse
enfoque	NOUN.Masc.Sing	enfoque
,	PUNCT.Comma	,
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
a	DET.Fem.Sing	o
BNCC	PROPN.Fem.Sing	<unknown>
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
DOC-RJ	PROPN.Masc.Sing	<unknown>
indica	VERB.Fin.Sing	indicar
uma	DET.Fem.Sing	um
organização	NOUN.Fem.Sing	organização
curricular	ADJ.Fem.Sing	curricular
pautada	VERB.Part.Fem.Sing	pautar
para	ADP	para
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
de	ADP	de
competências	NOUN.Fem.Plur	competência
que	PRON.Rel.Fem.Plur	que
buscam	VERB.Fin.Plur	buscar
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
de	ADP	de
estudantes	NOUN.Masc.Plur	estudante
dentro	ADV	dentro
de	ADP	de
uma	DET.Fem.Sing	um
perspectiva	NOUN.Fem.Sing	perspectiva
integral	ADJ.Fem.Sing	integral
.	PUNCT.Sent	.
Por	ADP	por
meio	NOUN	meio
da	ADP_DET.Fem.Sing	de_o
indicação	NOUN.Fem.Sing	indicação
clara	ADJ.Fem.Sing	claro
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
os	DET.Masc.Plur	o
estudantes	NOUN.Masc.Plur	estudante
devem	AUX.Fin.Plur	dever
“	PUNCT.Quot	“
saber	NOUN.Masc.Sing	saber
”	PUNCT.Quot	”
(	PUNCT.Par.Left	(
considerando	VERB.Ger	considerar
a	DET.Fem.Sing	o
constituição	NOUN.Fem.Sing	constituição
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
,	PUNCT.Comma	,
habilidades	NOUN.Fem.Plur	habilidade
,	PUNCT.Comma	,
atitudes	NOUN.Fem.Plur	atitude
e	CCONJ	e
valores	NOUN.Masc.Plur	valor
)	PUNCT.Par.Right	)
e	CCONJ	e
,	PUNCT.Comma	,
sobretudo	ADV	sobretudo
,	PUNCT.Comma	,
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
devem	VERB.Fin.Plur	dever
“	PUNCT.Quot	“
saber	VERB.Inf	saber
fazer	VERB.Inf	fazer
”	PUNCT.Quot	”
(	PUNCT.Par.Left	(
considerando	VERB.Ger	considerar
a	DET.Fem.Sing	o
mobilização	NOUN.Fem.Sing	mobilização
desses	ADP_DET.Masc.Plur	de_esse
conhecimentos	NOUN.Masc.Plur	conhecimento
,	PUNCT.Comma	,
habilidades	NOUN.Fem.Plur	habilidade
,	PUNCT.Comma	,
atitudes	NOUN.Fem.Plur	atitude
e	CCONJ	e
valores	NOUN.Masc.Plur	valor
para	ADP	para
resolver	VERB.Inf	resolver
demandas	NOUN.Fem.Plur	demanda
complexas	ADJ.Fem.Plur	complexo
da	ADP_DET.Fem.Sing	de_o
vida	NOUN.Fem.Sing	vida
cotidiana	ADJ.Fem.Sing	cotidiano
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
no	ADP_PRON.Masc.Sing	em_o
qual	PRON.Rel.Masc.Sing	qual
a	DET.Fem.Sing	o
explicitação	NOUN.Fem.Sing	explicitação
das	ADP_DET.Fem.Plur	de_o
competências	NOUN.Fem.Plur	competência
oferece	VERB.Fin.Sing	oferecer
referências	NOUN.Fem.Plur	referência
para	ADP	para
o	DET.Masc.Sing	o
fortalecimento	NOUN.Masc.Sing	fortalecimento
de	ADP	de
ações	NOUN.Fem.Plur	ação
que	PRON.Rel.Fem.Plur	que
assegurem	VERB.Fin.Plur	assegurar
as	DET.Fem.Plur	o
aprendizagens	NOUN.Fem.Plur	aprendizagem
essenciais	ADJ.Fem.Plur	essencial
definidas	VERB.Part.Fem.Plur	definir
na	ADP_DET.Fem.Sing	em_o
BNCC	PROPN.Fem.Sing	<unknown>
.	PUNCT.Sent	.
