Considerada	VERB.Part.Fem.Sing	considerar
a	DET.Fem.Sing	o
laicidade	NOUN.Fem.Sing	laicidade
do	ADP_DET.Masc.Sing	de_o
Estado	NOUN.Masc.Sing	estado
e	CCONJ	e
de	ADP	de
suas	DET.Fem.Plur	seu
instituições	NOUN.Fem.Plur	instituição
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Religioso	ADJ.Masc.Sing	religioso
contribuirá	VERB.Fin.Sing	contribuir
para	ADP	para
a	DET.Fem.Sing	o
socialização	NOUN.Fem.Sing	socialização
dos	ADP_DET.Masc.Plur	de_o
conhecimentos	NOUN.Masc.Plur	conhecimento
específicos	ADJ.Masc.Plur	específico
relativos	ADJ.Masc.Plur	relativo
às	ADP_DET.Fem.Plur	a_o
diversas	ADJ.Fem.Plur	diverso
tradições	NOUN.Fem.Plur	tradição
e/ou	NOUN.Masc.Sing	e/ou
culturas	NOUN.Fem.Plur	cultura
religiosas	ADJ.Fem.Plur	religioso
e	CCONJ	e
filosofias	NOUN.Fem.Plur	filosofia
de	ADP	de
vida	NOUN.Fem.Sing	vida
,	PUNCT.Comma	,
promovendo	VERB.Ger	promover
o	DET.Masc.Sing	o
exercício	NOUN.Masc.Sing	exercício
do	ADP_DET.Masc.Sing	de_o
diálogo	NOUN.Masc.Sing	diálogo
inter-religioso	ADJ.Masc.Sing	inter-religioso
nas	ADP_DET.Fem.Plur	em_o
relações	NOUN.Fem.Plur	relação
entre	ADP	entre
os	DET.Masc.Plur	o
diferentes	ADJ.Masc.Plur	diferente
grupos	NOUN.Masc.Plur	grupo
étnicos	ADJ.Masc.Plur	étnico
e	CCONJ	e
uma	DET.Fem.Sing	um
perspectiva	NOUN.Fem.Sing	perspectiva
intercultural	ADJ.Fem.Sing	intercultural
que	PRON.Rel.Fem.Sing	que
visa	VERB.Fin.Sing	visar
à	ADP_DET.Fem.Sing	a_o
compreensão	NOUN.Fem.Sing	compreensão
das	ADP_DET.Fem.Plur	de_o
múltiplas	ADJ.Fem.Plur	múltiplo
experiências	NOUN.Fem.Plur	experiência
religiosas	ADJ.Fem.Plur	religioso
da	ADP_DET.Fem.Sing	de_o
humanidade	NOUN.Fem.Sing	humanidade
.	PUNCT.Sent	.
Assim	ADV	assim
é	AUX.Fin.Sing	ser
imperativa	ADJ.Fem.Sing	imperativo
a	DET.Fem.Sing	o
superação	NOUN.Fem.Sing	superação
de	ADP	de
posturas	NOUN.Fem.Plur	postura
e	CCONJ	e
atitudes	NOUN.Fem.Plur	atitude
discriminatórias	ADJ.Fem.Plur	discriminatório
,	PUNCT.Comma	,
sendo	AUX.Ger	ser
essas	DET.Fem.Plur	esse
suplantadas	VERB.Part.Fem.Plur	suplantar
por	ADP	por
um	DET.Masc.Sing	um
trabalho	NOUN.Masc.Sing	trabalho
educacional	ADJ.Masc.Sing	educacional
alicerçado	VERB.Part.Masc.Sing	alicerçar
na	ADP_DET.Fem.Sing	em_o
diversidade	NOUN.Fem.Sing	diversidade
cultural	ADJ.Fem.Sing	cultural
e	CCONJ	e
religiosa	ADJ.Fem.Sing	religioso
.	PUNCT.Sent	.
