Verbete	VERB.Fin.Sing	verbetar
alfabetização	NOUN.Fem.Sing	alfabetização
do	ADP_DET.Masc.Sing	de_o
glossário	NOUN.Masc.Sing	glossário
digital	ADJ.Masc.Sing	digital
do	ADP_DET.Masc.Sing	de_o
Centro	PROPN.Masc.Sing	Centro
de	ADP	de
Alfabetização	NOUN.Fem.Sing	alfabetização
,	PUNCT.Comma	,
Leitura	NOUN.Fem.Sing	leitura
e	CCONJ	e
Escrita	NOUN.Fem.Sing	escrita
(	PUNCT.Par.Left	(
CEALE	PROPN.Fem.Sing	<unknown>
)	PUNCT.Par.Right	)
da	ADP_DET.Fem.Sing	de_o
Faculdade	PROPN.Fem.Sing	Faculdade
de	ADP	de
Educação	PROPN.Sing	Educação
da	ADP_DET.Fem.Sing	de_o
Universidade	PROPN.Fem.Sing	Universidade
de	ADP	de
Minas	PROPN.Sing	Minas
Gerais	PROPN.Sing	Gerais
(	PUNCT.Par.Left	(
UFMG	PROPN.Masc.Sing	<unknown>
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Disponível	ADJ.Masc.Sing	disponível
em	ADP	em
:	PUNCT.Colon	:
[	PUNCT.Par.Left	[
http://ceale.fae.ufmg.br/app/we-broot/glossarioceale	NOUN.Masc.Sing	<unknown>
]	PUNCT.Par.Right	_
.	PUNCT.Sent	.
Acesso	NOUN.Masc.Sing	acesso
em	ADP	em
:	PUNCT.Colon	:
10	NUM	10
set	NOUN.Masc.Sing	set
.	PUNCT.Sent	.
2018	NUM	@card@
.	PUNCT.Sent	.
