##	PROPN.Fem.Sing	<unknown>
Geografia	PROPN.Sing	Geografia
Compreendida	VERB.Part.Fem.Sing	compreender
como	ADP	como
um	NUM	um
dos	ADP_DET.Masc.Plur	de_o
componentes	NOUN.Masc.Plur	componente
curriculares	ADJ.Masc.Plur	curricular
da	ADP_DET.Fem.Sing	de_o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	PROPN.Fem.Plur	Ciências
Humanas	ADJ.Fem.Plur	humano
e	CCONJ	e
Sociais	PROPN.Sing	Sociais
Aplicadas	VERB.Part.Fem.Plur	aplicar
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
importância	NOUN.Fem.Sing	importância
da	ADP_DET.Fem.Sing	de_o
Geografia	PROPN.Sing	Geografia
dentro	ADV	dentro
da	ADP_DET.Fem.Sing	de_o
nova	ADJ.Fem.Sing	novo
estrutura	NOUN.Fem.Sing	estrutura
do	ADP_DET.Masc.Sing	de_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
,	PUNCT.Comma	,
agora	ADV	agora
organizado	VERB.Part.Masc.Sing	organizar
por	ADP	por
área	NOUN.Fem.Sing	área
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
fundamental	ADJ.Masc.Sing	fundamental
,	PUNCT.Comma	,
pois	SCONJ	pois
tem	VERB.Fin.Sing	ter
como	ADP	como
função	NOUN	função
propiciar	VERB.Inf	propiciar
ao	ADP_DET.Masc.Sing	a_o
estudante	NOUN.Masc.Sing	estudante
a	ADP	a
visão	NOUN.Fem.Sing	visão
macro	NOUN.Masc.Sing	macro
do	ADP_DET.Masc.Sing	de_o
mundo	NOUN.Masc.Sing	mundo
em	ADP	em
seus	DET.Masc.Plur	seu
aspectos	NOUN.Masc.Plur	aspecto
físicos	ADJ.Masc.Plur	físico
,	PUNCT.Comma	,
humanos	ADJ.Masc.Plur	humano
,	PUNCT.Comma	,
suas	DET.Fem.Plur	seu
transformações	NOUN.Fem.Plur	transformação
,	PUNCT.Comma	,
correlações	NOUN.Fem.Plur	correlação
e	CCONJ	e
interferências	NOUN.Fem.Plur	interferência
,	PUNCT.Comma	,
sob	ADP	sob
uma	DET.Fem.Sing	um
perspectiva	NOUN.Fem.Sing	perspectiva
de	ADP	de
ações	NOUN.Fem.Plur	ação
