##	VERB.Fin.Sing	<unknown>
11	NUM	11
.	PUNCT.Sent	.
TRANSIÇÃO	NOUN.Fem.Sing	transição
DA	ADP_DET.Fem.Sing	de_o
EDUCAÇÃO	NOUN.Fem.Sing	educação
INFANTIL	ADJ.Fem.Sing	infantil
PARA	ADP	para
O	DET.Masc.Sing	o
ENSINO	NOUN.Masc.Sing	ensino
FUNDAMENTAL	ADJ.Masc.Sing	fundamental
Antes	ADV	antes
de	ADP	de
redigir	VERB.Inf	redigir
algo	PRON.Masc.Sing	algo
sobre	ADP	sobre
a	DET.Fem.Sing	o
transição	NOUN.Fem.Sing	transição
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
para	ADP	para
o	DET.Sing	o
Ensino	NOUN.Sing	Ensino
Fundamental	ADJ.Fem.Sing	fundamental
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
situar	VERB.Inf	situar
a	DET.Fem.Sing	o
criança	NOUN.Fem.Sing	criança
que	PRON.Rel.Fem.Sing	que
vivenciará	VERB.Fin.Sing	vivenciar
essa	DET.Fem.Sing	esse
experiência	NOUN.Fem.Sing	experiência
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
qual	PRON.Rel.Fem.Sing	qual
influenciará	VERB.Fin.Sing	influenciar
o	DET.Masc.Sing	o
seu	DET.Masc.Sing	seu
modo	NOUN.Masc.Sing	modo
de	ADP	de
se	PRON.Masc.Sing	se
relacionar	VERB.Inf	relacionar
com	ADP	com
a	DET.Fem.Sing	o
escola	NOUN.Fem.Sing	escola
.	PUNCT.Sent	.
Mas	CCONJ	mas
afinal	ADV	afinal
quem	PRON.Rel.Sing	quem
é	AUX.Fin.Sing	ser
a	DET.Fem.Sing	o
criança	NOUN.Fem.Sing	criança
que	PRON.Rel.Fem.Sing	que
ingressa	VERB.Fin.Sing	ingressar
no	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Masc.Sing	ensino
Fundamental	ADJ.Fem.Sing	fundamental
pela	ADP_DET.Fem.Sing	por_o
primeira	ADJ.Fem.Sing	primeiro
vez	NOUN.Fem.Sing	vez
?	PUNCT.Sent	?
Aos	ADP_DET.Masc.Plur	a_o
06	NUM	@card@
(	PUNCT.Par.Left	(
seis	NUM	seis
)	PUNCT.Par.Right	)
anos	NOUN.Masc.Plur	ano
de	ADP	de
idade	NOUN.Fem.Sing	idade
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
criança	NOUN.Fem.Sing	criança
apresenta	VERB.Fin.Sing	apresentar
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
muito	ADV	muito
