##	VERB.Fin.Sing	<unknown>
3	NUM	3
.	PUNCT.Sent	.
PROPÓSITOS	NOUN.Masc.Plur	propósito
DA	ADP_DET.Fem.Sing	de_o
EDUCAÇÃO	NOUN.Fem.Sing	educação
INFANTIL	ADJ.Fem.Sing	infantil
Os	DET.Masc.Plur	o
propósitos	NOUN.Masc.Plur	propósito
da	ADP_DET.Fem.Sing	de_o
Educação	NOUN	educação
Infantil	ADJ.Masc.Sing	infantil
são	AUX.Fin.Plur	ser
os	DET.Masc.Plur	o
compromissos	NOUN.Masc.Plur	compromisso
que	PRON.Rel.Masc.Plur	que
cada	DET.Fem.Sing	cada
instituição	NOUN.Fem.Sing	instituição
de	ADP	de
Educação	NOUN	educação
Infantil	ADJ.Masc.Sing	infantil
precisa	VERB.Fin.Sing	precisar
assumir	VERB.Inf	assumir
a	ADP	a
fim	NOUN.Masc.Sing	fim
de	ADP	de
garantir	VERB.Inf	garantir
aos	ADP_DET.Masc.Plur	a_o
bebês	NOUN.Masc.Plur	bebê
,	PUNCT.Comma	,
crianças	NOUN.Fem.Plur	criança
bem	ADV	bem
pequenas	ADJ.Fem.Plur	pequeno
e	CCONJ	e
crianças	NOUN.Fem.Plur	criança
pequenas	ADJ.Fem.Plur	pequeno
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
ampliação	NOUN.Fem.Sing	ampliação
do	ADP_DET.Masc.Sing	de_o
universo	NOUN.Masc.Sing	universo
de	ADP	de
suas	DET.Fem.Plur	seu
experiências	NOUN.Fem.Plur	experiência
,	PUNCT.Comma	,
conhecimentos	NOUN.Masc.Plur	conhecimento
,	PUNCT.Comma	,
capacidades	NOUN.Fem.Plur	capacidade
e	CCONJ	e
aprendizagens	NOUN.Fem.Plur	aprendizagem
previstas	ADJ.Fem.Plur	previsto
,	PUNCT.Comma	,
criando	VERB.Ger	criar
as	DET.Fem.Plur	o
condições	NOUN.Fem.Plur	condição
necessárias	ADJ.Fem.Plur	necessário
para	ADP	para
que	SCONJ	que
o	DET.Masc.Sing	o
currículo	NOUN.Masc.Sing	currículo
se	PRON.Masc.Sing	se
efetive	VERB.Fin.Sing	efetivar
.	PUNCT.Sent	.
São	AUX.Fin.Plur	ser
eles	PRON.Masc.Plur	eles
:	PUNCT.Colon	:
-	PUNCT.Hyphen	-
Fazer	VERB.Inf	fazer
da	ADP_DET.Fem.Sing	de_o
instituição	NOUN.Fem.Sing	instituição
de	ADP	de
educação	NOUN.Fem.Sing	educação
infantil	ADJ.Masc.Sing	infantil
espaço	NOUN.Masc.Sing	espaço
de	ADP	de
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
progressivo	ADJ.Masc.Sing	progressivo
das	ADP_DET.Fem.Plur	de_o
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
expressão	NOUN.Fem.Sing	expressão
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
autonomia	NOUN.Fem.Sing	autonomia
,	PUNCT.Comma	,
onde	ADV	onde
cada	DET.Fem.Sing	cada
criança	NOUN.Fem.Sing	criança
possa	AUX.Fin.Sing	poder
exercer	VERB.Inf	exercer
o	DET.Masc.Sing	o
direito	NOUN.Masc.Sing	direito
de	ADP	de
manifestar	VERB.Inf	manifestar
interesses	NOUN.Masc.Plur	interesse
,	PUNCT.Comma	,
desejos	NOUN.Masc.Plur	desejo
,	PUNCT.Comma	,
necessidades	NOUN.Fem.Plur	necessidade
,	PUNCT.Comma	,
sentimentos	NOUN.Masc.Plur	sentimento
,	PUNCT.Comma	,
vontades	NOUN.Fem.Plur	vontade
,	PUNCT.Comma	,
pensamentos	NOUN.Masc.Plur	pensamento
,	PUNCT.Comma	,
ideias	NOUN.Fem.Plur	ideia
,	PUNCT.Comma	,
desagrados	NOUN.Masc.Plur	desagrado
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Contribuir	VERB.Inf	contribuir
para	ADP	para
que	SCONJ	que
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
tenham	VERB.Fin.Plur	ter
uma	DET.Fem.Sing	um
imagem	NOUN.Fem.Sing	imagem
positiva	ADJ.Fem.Sing	positivo
de	ADP	de
si	PRON.Masc.Sing	se
,	PUNCT.Comma	,
ampliando	VERB.Part	ampliar
a	DET.Fem.Sing	o
autoconfiança	NOUN.Fem.Sing	autoconfiança
,	PUNCT.Comma	,
identificando	VERB.Part	identificar
cada	DET.Fem.Sing	cada
vez	NOUN.Fem.Sing	vez
mais	ADV	mais
suas	DET.Fem.Plur	seu
limitações	NOUN.Fem.Plur	limitação
e	CCONJ	e
possibilidades	NOUN.Fem.Plur	possibilidade
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Criar	VERB.Inf	criar
condições	NOUN.Fem.Plur	condição
para	ADP	para
que	SCONJ	que
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
se	PRON.Fem.Plur	se
sintam	VERB.Fin.Plur	sentir
pertencentes	ADJ.Masc.Plur	pertencente
aos	ADP_DET.Masc.Plur	a_o
grupos	NOUN.Masc.Plur	grupo
dos	ADP_DET.Masc.Plur	de_o
quais	PRON.Rel.Masc.Plur	qual
participam	VERB.Fin.Plur	participar
,	PUNCT.Comma	,
aprendendo	VERB.Part	aprender
a	ADP	a
respeitar	VERB.Inf	respeitar
as	DET.Fem.Plur	o
regras	NOUN.Fem.Plur	regra
básicas	ADJ.Fem.Plur	básico
de	ADP	de
convívio	NOUN.Masc.Sing	convívio
social	ADJ.Masc.Sing	social
,	PUNCT.Comma	,
a	ADP	a
diferenciá	NOUN.Masc.Sing	<unknown>
-las	PRON.Fem.Plur	elas
quando	ADV	quando
se	PRON.Fem.Sing	se
tratar	VERB.Inf	tratar
de	ADP	de
espaços	NOUN.Masc.Plur	espaço
públicos	ADJ.Masc.Plur	público
e	CCONJ	e
privados	ADJ.Masc.Plur	privado
e	CCONJ	e
a	ADP	a
considerar	VERB.Inf	considerar
a	DET.Fem.Sing	o
diversidade	NOUN.Fem.Sing	diversidade
própria	ADJ.Fem.Sing	próprio
de	ADP	de
todo	DET.Masc.Sing	todo
agrupamento	NOUN.Masc.Sing	agrupamento
humano	ADJ.Masc.Sing	humano
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Respeitar	VERB.Inf	respeitar
as	DET.Fem.Plur	o
diferenças	NOUN.Fem.Plur	diferença
individuais	ADJ.Fem.Plur	individual
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
considerando	VERB.Ger	considerar
costumes	NOUN.Masc.Plur	costume
,	PUNCT.Comma	,
hábitos	NOUN.Masc.Plur	hábito
,	PUNCT.Comma	,
modos	NOUN.Masc.Plur	modo
de	ADP	de
falar	VERB.Inf	falar
,	PUNCT.Comma	,
valores	NOUN.Masc.Plur	valor
,	PUNCT.Comma	,
crenças	NOUN.Fem.Plur	crença
,	PUNCT.Comma	,
origem	NOUN.Fem.Sing	origem
étnica	ADJ.Fem.Sing	étnico
,	PUNCT.Comma	,
ritmos	NOUN.Masc.Plur	ritmo
de	ADP	de
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
e	CCONJ	e
aprendizagem	NOUN.Fem.Sing	aprendizagem
,	PUNCT.Comma	,
características	NOUN.Fem.Plur	característica
e	CCONJ	e
necessidades	NOUN.Fem.Plur	necessidade
específicas	ADJ.Fem.Plur	específico
,	PUNCT.Comma	,
dentre	VERB.Fin.Sing	dentrar
outras	PRON.Fem.Plur	outro
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Garantir	VERB.Inf	garantir
a	ADP	a
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
múltiplas	ADJ.Fem.Plur	múltiplo
oportunidades	NOUN.Fem.Plur	oportunidade
de	ADP	de
brincar	VERB.Inf	brincar
e	CCONJ	e
de	ADP	de
se	PRON.Masc.Sing	se
relacionar	VERB.Inf	relacionar
cada	DET.Fem.Sing	cada
vez	NOUN.Fem.Sing	vez
mais	ADV	mais
e	CCONJ	e
melhor	ADV	melhor
com	ADP	com
as	DET.Fem.Plur	o
outras	PRON.Fem.Plur	outro
,	PUNCT.Comma	,
possibilitando	VERB.Part	possibilitar
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
de	ADP	de
hábitos	NOUN.Masc.Plur	hábito
de	ADP	de
autocuidado	NOUN.Masc.Sing	autocuidado
e	CCONJ	e
valorização	NOUN.Fem.Sing	valorização
de	ADP	de
atitudes	NOUN.Fem.Plur	atitude
relacionadas	VERB.Part.Fem.Plur	relacionar
com	ADP	com
higiene	NOUN.Fem.Sing	higiene
,	PUNCT.Comma	,
alimentação	NOUN.Fem.Sing	alimentação
,	PUNCT.Comma	,
conforto	NOUN.Masc.Sing	conforto
,	PUNCT.Comma	,
segurança	NOUN.Fem.Sing	segurança
,	PUNCT.Comma	,
proteção	NOUN.Fem.Sing	proteção
do	ADP_DET.Masc.Sing	de_o
corpo	NOUN.Masc.Sing	corpo
e	CCONJ	e
zelo	NOUN.Masc.Sing	zelo
com	ADP	com
a	DET.Fem.Sing	o
aparência	NOUN.Fem.Sing	aparência
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Transformar	VERB.Inf	transformar
todo	DET.Masc.Sing	todo
espaço	NOUN.Masc.Sing	espaço
de	ADP	de
convívio	NOUN.Masc.Sing	convívio
na	ADP_DET.Fem.Sing	em_o
instituição	NOUN.Fem.Sing	instituição
de	ADP	de
educação	NOUN.Fem.Sing	educação
infantil	ADJ.Fem.Sing	infantil
em	ADP	em
ambiente	NOUN.Masc.Sing	ambiente
de	ADP	de
trabalho	NOUN.Masc.Sing	trabalho
colaborativo	ADJ.Masc.Sing	colaborativo
e	CCONJ	e
solidário	ADJ.Masc.Sing	solidário
,	PUNCT.Comma	,
para	ADP	para
que	SCONJ	que
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
possam	AUX.Fin.Plur	poder
enfrentar	VERB.Inf	enfrentar
,	PUNCT.Comma	,
sem	ADP	sem
medo	NOUN.Masc.Sing	medo
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
desafios	NOUN.Masc.Plur	desafio
,	PUNCT.Comma	,
sabendo	VERB.Ger	saber
que	SCONJ	que
contam	VERB.Fin.Plur	contar
com	ADP	com
o	DET.Masc.Sing	o
apoio	NOUN.Masc.Sing	apoio
dos	ADP_DET.Masc.Plur	de_o
adultos	NOUN.Masc.Plur	adulto
e	CCONJ	e
das	ADP_DET.Fem.Plur	de_o
demais	DET.Fem.Plur	demais
crianças	NOUN.Fem.Plur	criança
,	PUNCT.Comma	,
para	ADV	para
darem	VERB.Fin.Plur	dar
o	DET.Masc.Sing	o
melhor	ADJ.Masc.Sing	bom
de	ADP	de
si	PRON.Sing	si
em	ADP	em
diferentes	ADJ.Fem.Plur	diferente
situações	NOUN.Fem.Plur	situação
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Criar	VERB.Inf	criar
contextos	NOUN.Masc.Plur	contexto
que	PRON.Rel.Masc.Plur	que
justifiquem	VERB.Fin.Plur	justificar
o	DET.Masc.Sing	o
trabalho	NOUN.Masc.Sing	trabalho
com	ADP	com
o	DET.Masc.Sing	o
currículo	NOUN.Masc.Sing	currículo
de	ADP	de
forma	NOUN.Fem.Sing	forma
adequada	ADJ.Fem.Sing	adequado
e	CCONJ	e
ajustada	VERB.Part.Fem.Sing	ajustar
à	ADP_DET.Fem.Sing	a_o
faixa	NOUN.Fem.Sing	faixa
etária	ADJ.Fem.Sing	etário
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
,	PUNCT.Comma	,
de	ADP	de
modo	NOUN	modo
a	ADP	a
possibilitar	VERB.Inf	possibilitar
a	DET.Fem.Sing	o
ampliação	NOUN.Fem.Sing	ampliação
do	ADP_DET.Masc.Sing	de_o
uso	NOUN.Masc.Sing	uso
da	ADP_DET.Fem.Sing	de_o
linguagem	NOUN.Fem.Sing	linguagem
oral	ADJ.Fem.Sing	oral
e	CCONJ	e
de	ADP	de
