##	VERB.Fin.Sing	<unknown>
7	NUM	7
.	PUNCT.Sent	.
EDUCAÇÃO	NOUN.Fem.Sing	educação
FÍSICA	ADJ.Fem.Sing	físico
NO	ADP_DET.Masc.Sing	em_o
ENSINO	NOUN.Masc.Sing	ensino
FUNDAMENTAL	ADJ.Masc.Sing	fundamental
Os	DET.Masc.Plur	o
Anos	NOUN.Masc.Plur	ano
Iniciais	ADJ.Masc.Plur	inicial
do	ADP_DET.Masc.Sing	de_o
Ensino	NOUN.Masc.Sing	ensino
Fundamental	ADJ.Fem.Sing	fundamental
possuem	VERB.Fin.Plur	possuir
modos	NOUN.Masc.Plur	modo
próprios	ADJ.Masc.Plur	próprio
de	ADP	de
vida	NOUN.Fem.Sing	vida
e	CCONJ	e
múltiplas	ADJ.Fem.Plur	múltiplo
experiências	NOUN.Fem.Plur	experiência
pessoais	ADJ.Fem.Plur	pessoal
e	CCONJ	e
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
torna	VERB.Fin.Sing	tornar
necessário	ADJ.Masc.Sing	necessário
reconhecer	VERB.Inf	reconhecer
a	DET.Fem.Sing	o
existência	NOUN.Fem.Sing	existência
de	ADP	de
infâncias	NOUN.Fem.Plur	infância
no	ADP_DET.Masc.Sing	em_o
plural	NOUN.Masc.Sing	plural
e	CCONJ	e
,	PUNCT.Comma	,
consequentemente	ADV	consequentemente
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
singularidade	NOUN.Fem.Sing	singularidade
de	ADP	de
qualquer	DET.Masc.Sing	qualquer
processo	NOUN.Masc.Sing	processo
escolar	ADJ.Masc.Sing	escolar
e	CCONJ	e
sua	DET.Fem.Sing	seu
interdependência	NOUN.Fem.Sing	interdependência
com	ADP	com
as	DET.Fem.Plur	o
características	NOUN.Fem.Plur	característica
da	ADP_DET.Fem.Sing	de_o
comunidade	NOUN.Fem.Sing	comunidade
local	ADJ.Fem.Sing	local
.	PUNCT.Sent	.
É	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
reconhecer	VERB.Inf	reconhecer
,	PUNCT.Comma	,
também	ADV	também
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
necessária	ADJ.Fem.Sing	necessário
continuidade	NOUN.Fem.Sing	continuidade
às	ADP_DET.Fem.Plur	a_o
experiências	NOUN.Fem.Plur	experiência
em	ADP	em
torno	NOUN	torno
do	ADP_DET.Masc.Sing	de_o
brincar	VERB.Inf	brincar
,	PUNCT.Comma	,
desenvolvidas	VERB.Part.Fem.Plur	desenvolver
na	ADP_DET.Fem.Sing	em_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
possuem	VERB.Fin.Plur	possuir
conhecimentos	NOUN.Masc.Plur	conhecimento
que	PRON.Rel.Masc.Plur	que
precisam	VERB.Fin.Plur	precisar
ser	AUX.Inf	ser
,	PUNCT.Comma	,
por	ADP	por
um	DET.Masc.Sing	um
lado	NOUN.Masc.Sing	lado
,	PUNCT.Comma	,
reconhecidos	VERB.Part.Masc.Plur	reconhecer
e	CCONJ	e
problematizados	VERB.Part.Masc.Plur	problematizar
nas	ADP_DET.Fem.Plur	em_o
vivências	NOUN.Fem.Plur	vivência
escolares	ADJ.Fem.Plur	escolar
com	ADP	com
vistas	NOUN.Fem.Plur	vista
a	ADP	a
proporcionar	VERB.Inf	proporcionar
a	DET.Fem.Sing	o
compreensão	NOUN.Fem.Sing	compreensão
do	ADP_DET.Masc.Sing	de_o
mundo	NOUN.Masc.Sing	mundo
e	CCONJ	e
,	PUNCT.Comma	,
por	ADP	por
outro	PRON.Masc.Sing	outro
,	PUNCT.Comma	,
ampliados	VERB.Part.Masc.Plur	ampliar
de	ADP	de
maneira	NOUN.Fem.Sing	maneira
a	ADP	a
potencializar	VERB.Inf	potencializar
a	DET.Fem.Sing	o
inserção	NOUN.Fem.Sing	inserção
e	CCONJ	e
o	DET.Masc.Sing	o
trânsito	NOUN.Masc.Sing	trânsito
dessas	ADP_DET.Fem.Plur	de_esse
crianças	NOUN.Fem.Plur	criança
nas	ADP_DET.Fem.Plur	em_o
várias	DET.Fem.Plur	várias
esferas	NOUN.Fem.Plur	esfera
da	ADP_DET.Fem.Sing	de_o
vida	NOUN.Fem.Sing	vida
social	ADJ.Fem.Sing	social
.	PUNCT.Sent	.
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2017	NUM	@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Os	DET.Masc.Plur	o
quadros	NOUN.Masc.Plur	quadro
abaixo	ADV	abaixo
exibem	VERB.Fin.Plur	exibir
a	DET.Fem.Sing	o
distribuição	NOUN.Fem.Sing	distribuição
dos	ADP_DET.Masc.Plur	de_o
quatro	NUM	quatro
blocos	NOUN.Masc.Plur	bloco
com	ADP	com
as	DET.Fem.Plur	o
Unidades	NOUN.Fem.Plur	unidade
Temáticas	ADJ.Fem.Plur	temático
e	CCONJ	e
seus	DET.Masc.Plur	seu
respectivos	ADJ.Masc.Plur	respectivo
objetos	NOUN.Masc.Plur	objeto
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
no	ADP_DET.Masc.Sing	em_o
ensino	NOUN.Masc.Sing	ensino
fundamental	ADJ.Masc.Sing	fundamental
.	PUNCT.Sent	.
|	SYM	|
Unidade	PROPN.Fem.Sing	Unidade
temática	ADJ.Fem.Sing	temático
|	SYM	|
Objetos	NOUN.Masc.Plur	objeto
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
—	PUNCT.Hyphen	-
1º	ADJ.Masc.Sing	1º
e	CCONJ	e
2º	ADJ.Masc.Sing	2º
ano	NOUN.Masc.Sing	ano
(	PUNCT.Par.Left	(
1º	ADJ.Masc.Sing	1º
Bloco	PROPN.Masc.Sing	Bloco
)	PUNCT.Par.Right	)
|	SYM	|
Objetos	NOUN.Masc.Plur	objeto
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
—	PUNCT.Hyphen	-
3º	ADJ.Masc.Sing	3º
ao	ADP_DET.Masc.Sing	a_o
5º	ADJ.Masc.Sing	5º
ano	NOUN.Masc.Sing	ano
(	PUNCT.Par.Left	(
2º	PROPN	2º
Bloco	PROPN.Masc.Sing	Bloco
)	PUNCT.Par.Right	)
|	SYM	|
|---|---|---|	VERB.Fin.Sing	<unknown>
|	SYM	|
Brincadeiras	NOUN.Fem.Plur	brincadeira
e	CCONJ	e
Jogos	PROPN.Masc.Plur	Jogos
|	SYM	|
Brincadeiras	NOUN.Fem.Plur	brincadeira
e	CCONJ	e
jogos	NOUN.Masc.Plur	jogo
da	ADP_DET.Fem.Sing	de_o
cultura	NOUN.Fem.Sing	cultura
popular	ADJ.Fem.Sing	popular
,	PUNCT.Comma	,
presentes	ADJ.Masc.Plur	presente
no	ADP_DET.Masc.Sing	em_o
contexto	NOUN.Masc.Sing	contexto
comunitário	ADJ.Masc.Sing	comunitário
e	CCONJ	e
regional	ADJ.Masc.Sing	regional
|	SYM	|
Brincadeiras	NOUN.Fem.Plur	brincadeira
e	CCONJ	e
jogos	NOUN.Masc.Plur	jogo
populares	ADJ.Masc.Plur	popular
do	ADP_DET.Masc.Sing	de_o
Brasil	PROPN.Masc.Sing	Brasil
e	CCONJ	e
do	ADP_DET.Masc.Sing	de_o
mundo	NOUN.Masc.Sing	mundo
<br>
Brincadeiras	NOUN.Fem.Plur	brincadeira
e	CCONJ	e
jogos	NOUN.Masc.Plur	jogo
de	ADP	de
matriz	NOUN.Fem.Sing	matriz
indígena	ADJ.Fem.Sing	indígena
e	CCONJ	e
africana	ADJ.Fem.Sing	africano
|	SYM	|
|	SYM	|
Esportes	NOUN.Masc.Plur	esporte
|	SYM	|
Esportes	NOUN.Masc.Plur	esporte
de	ADP	de
marca	NOUN	marca
<br>
Esportes	NOUN.Masc.Plur	esporte
de	ADP	de
precisão	NOUN.Fem.Sing	precisão
|	SYM	|
Esportes	NOUN.Masc.Plur	esporte
de	ADP	de
campo	NOUN.Masc.Sing	campo
e	CCONJ	e
taco	NOUN.Masc.Sing	taco
<br>
Esportes	NOUN.Masc.Plur	esporte
de	ADP	de
rede/parede	ADJ.Masc.Plur	<unknown>
<br>
Esportes	NOUN.Masc.Plur	esporte
de	ADP	de
invasão	NOUN.Fem.Sing	invasão
|	SYM	|
|	SYM	|
Ginásticas	ADJ.Fem.Plur	ginástico
|	SYM	|
Ginástica	NOUN.Fem.Sing	ginástica
geral	ADJ.Fem.Sing	geral
|	SYM	|
Ginástica	NOUN.Fem.Sing	ginástica
geral	ADJ.Fem.Sing	geral
|	SYM	|
|	SYM	|
Danças	NOUN.Fem.Plur	dança
|	SYM	|
Danças	NOUN.Fem.Plur	dança
do	ADP_DET.Masc.Sing	de_o
contexto	NOUN.Masc.Sing	contexto
