##	VERB.Fin.Sing	<unknown>
18.3	NUM	@card@
O	DET.Masc.Sing	o
ambiente	NOUN.Masc.Sing	ambiente
educativo	ADJ.Masc.Sing	educativo
e	CCONJ	e
seus	DET.Masc.Plur	seu
diferentes	DET.Masc.Plur	diferentes
espaços	NOUN.Masc.Plur	espaço
na	ADP_DET.Fem.Sing	em_o
fase	NOUN.Fem.Sing	fase
creche	NOUN.Fem.Sing	creche
e	CCONJ	e
pré-escola	VERB.Fin.Sing	<unknown>
Ao	ADP	ao
pensar	VERB.Inf	pensar
no	ADP_DET.Masc.Sing	em_o
processo	NOUN.Masc.Sing	processo
de	ADP	de
construção	NOUN.Fem.Sing	construção
de	ADP	de
espaços	NOUN.Masc.Plur	espaço
para	ADP	para
bebês	NOUN.Masc.Plur	bebê
,	PUNCT.Comma	,
crianças	NOUN.Fem.Plur	criança
bem	ADV	bem
pequenas	ADJ.Fem.Plur	pequeno
e	CCONJ	e
criança	NOUN.Fem.Sing	criança
pequena	ADJ.Fem.Sing	pequeno
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
,	PUNCT.Comma	,
precisamos	VERB.Fin.Plur	precisar
compreender	VERB.Inf	compreender
a	DET.Fem.Sing	o
forma	NOUN.Fem.Sing	forma
como	ADV	como
se	PRON	se
dá	VERB.Fin.Sing	dar
o	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
de	ADP	de
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
e	CCONJ	e
aprendizagem	NOUN.Fem.Sing	aprendizagem
.	PUNCT.Sent	.
Desse	ADP_DET.Masc.Sing	de_esse
modo	NOUN.Masc.Sing	modo
,	PUNCT.Comma	,
cabe	VERB.Fin.Sing	caber
a/ao	NOUN.Masc.Sing	<unknown>
professora/professor	ADJ.Masc.Sing	<unknown>
planejar	VERB.Inf	planejar
atividades	NOUN.Fem.Plur	atividade
experienciais	ADJ.Fem.Plur	experiencial
que	PRON.Rel.Fem.Plur	que
promovam	VERB.Fin.Plur	promover
desafios	NOUN.Masc.Plur	desafio
,	PUNCT.Comma	,
tendo	AUX.Ger	ter
o	DET.Masc.Sing	o
espaço	NOUN.Masc.Sing	espaço
como	ADP	como
um	DET.Masc.Sing	um
colaborador	NOUN.Masc.Sing	colaborador
fundamental	ADJ.Masc.Sing	fundamental
nesse	ADP_DET.Masc.Sing	em_esse
processo	NOUN.Masc.Sing	processo
.	PUNCT.Sent	.
