###	VERB.Fin.Sing	<unknown>
4.3.1.1	NUM	@card@
.	PUNCT.Sent	.
Língua	NOUN.Fem.Sing	língua
Portuguesa	ADJ	portuguesa
>	SYM	>
“	PUNCT.Quot	“
É	AUX.Fin.Sing	ser
preciso	ADJ.Masc.Sing	preciso
que	SCONJ	que
a	DET.Fem.Sing	o
leitura	NOUN.Fem.Sing	leitura
seja	AUX.Fin.Sing	ser
um	DET.Masc.Sing	um
ato	NOUN.Masc.Sing	ato
de	ADP	de
amor	NOUN.Masc.Sing	amor
”	PUNCT.Quot	”
(	PUNCT.Par.Left	(
Paulo	PROPN.Masc.Sing	Paulo
Freire	PROPN.Sing	Freire
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Este	DET.Masc.Sing	este
documento	NOUN.Masc.Sing	documento
curricular	ADJ.Masc.Sing	curricular
foi	AUX.Fin.Sing	ser
produzido	VERB.Part.Masc.Sing	produzir
a	ADP	a
partir	NOUN	partir
da	ADP_DET.Fem.Sing	de_o
Base	NOUN	base
Nacional	ADJ	nacional
Comum	PROPN.Sing	Comum
Curricular	ADJ.Fem.Sing	curricular
(	PUNCT.Par.Left	(
2017	NUM	@card@
)	PUNCT.Par.Right	)
e	CCONJ	e
dos	ADP_DET.Masc.Plur	de_o
documentos	NOUN.Masc.Plur	documento
curriculares	ADJ.Masc.Plur	curricular
vigentes	ADJ.Masc.Plur	vigente
no	ADP_DET.Masc.Sing	em_o
estado	NOUN.Masc.Sing	estado
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
Base	NOUN.Fem.Sing	base
em	ADP	em
sua	DET.Fem.Sing	seu
constituição	NOUN.Fem.Sing	constituição
já	ADV	já
levou	VERB.Fin.Sing	levar
em	ADP	em
consideração	NOUN.Fem.Sing	consideração
os	DET.Masc.Plur	o
documentos	NOUN.Masc.Plur	documento
normativos	ADJ.Masc.Plur	normativo
e	CCONJ	e
instrutivos	ADJ.Masc.Plur	instrutivo
nacionais	ADJ.Masc.Plur	nacional
de	ADP	de
décadas	NOUN.Fem.Plur	década
anteriores	ADJ.Fem.Plur	anterior
,	PUNCT.Comma	,
como	ADP	como
a	DET.Fem.Sing	o
legislação	NOUN.Fem.Sing	legislação
e	CCONJ	e
os	DET.Masc.Plur	o
Parâmetros	NOUN.Masc.Plur	parâmetro
Curriculares	ADJ.Masc.Plur	curricular
Nacionais	PROPN.Sing	Nacionais
(	PUNCT.Par.Left	(
ano	NOUN.Masc.Sing	ano
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Também	ADV	também
em	ADP	em
conformidade	NOUN.Fem.Sing	conformidade
com	ADP	com
a	DET.Fem.Sing	o
abordagem	NOUN.Fem.Sing	abordagem
dos	ADP_DET.Masc.Plur	de_o
currículos	NOUN.Masc.Plur	currículo
do	ADP_DET.Masc.Sing	de_o
estado	NOUN.Masc.Sing	estado
do	ADP_DET.Masc.Sing	de_o
Amapá	PROPN.Masc.Sing	Amapá
(	PUNCT.Par.Left	(
anos	NOUN.Masc.Plur	ano
)	PUNCT.Par.Right	)
e	CCONJ	e
dos	ADP_DET.Masc.Plur	de_o
municípios	NOUN.Masc.Plur	município
de	ADP	de
Macapá	PROPN.Fem.Sing	Macapá
(	PUNCT.Par.Left	(
ano	NOUN.Masc.Sing	ano
)	PUNCT.Par.Right	)
e	CCONJ	e
Santana	PROPN.Masc.Sing	Santana
(	PUNCT.Par.Left	(
ano	NOUN.Masc.Sing	ano
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
reelaboração	NOUN.Fem.Sing	reelaboração
para	ADP	para
um	DET.Masc.Sing	um
único	ADJ.Masc.Sing	único
documento	NOUN.Masc.Sing	documento
que	PRON.Rel.Masc.Sing	que
pudesse	AUX.Fin.Sing	poder
contemplar	VERB.Inf	contemplar
de	ADP	de
forma	NOUN.Fem.Sing	forma
satisfatória	ADJ.Fem.Sing	satisfatório
os	DET.Masc.Plur	o
anseios	NOUN.Masc.Plur	anseio
previstos	VERB.Part.Masc.Plur	prever
guiou	VERB.Fin.Sing	guiar
os	DET.Masc.Plur	o
profissionais	NOUN.Masc.Plur	profissional
de	ADP	de
Língua	PROPN.Sing	Língua
Portuguesa	PROPN.Sing	Portuguesa
envolvidos	VERB.Part.Masc.Plur	envolver
neste	ADP_DET.Masc.Sing	em_este
processo	NOUN.Masc.Sing	processo
de	ADP	de
composição	NOUN.Fem.Sing	composição
do	ADP_DET.Masc.Sing	de_o
currículo	NOUN.Masc.Sing	currículo
.	PUNCT.Sent	.
Espera	VERB.Fin.Sing	esperar
-se	PRON	se
que	SCONJ	que
o	PRON.Masc.Sing	o
ensino-aprendizagem	VERB.Fin.Plur	<unknown>
complete	VERB.Fin.Sing	<unknown>
a	DET.Fem.Sing	o
chegada	NOUN.Fem.Sing	chegada
à	ADP_DET.Fem.Sing	a_o
atuação	NOUN.Fem.Sing	atuação
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
para	ADP	para
onde	ADV	onde
os	DET.Masc.Plur	o
olhos	NOUN.Masc.Plur	olho
dos	ADP_DET.Masc.Plur	de_o
documentos	NOUN.Masc.Plur	documento
educacionais	ADJ.Masc.Plur	educacional
têm	VERB.Fin.Plur	ter
se	PRON.Masc.Sing	se
voltado	VERB.Part.Masc.Sing	voltar
desde	ADP	desde
a	DET.Fem.Sing	o
Lei	NOUN.Fem.Sing	lei
de	ADP	de
Diretrizes	NOUN.Fem.Plur	diretriz
e	CCONJ	e
Bases	PROPN.Sing	Bases
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Sing	Educação
(	PUNCT.Par.Left	(
1996	NUM	1996
)	PUNCT.Par.Right	)
e	CCONJ	e
,	PUNCT.Comma	,
finalmente	ADV	finalmente
,	PUNCT.Comma	,
toma	VERB.Fin.Sing	tomar
forma	NOUN.Fem.Sing	forma
mais	ADV	mais
concreta	ADJ.Fem.Sing	concreto
politicamente	ADV	politicamente
,	PUNCT.Comma	,
com	ADP	com
a	DET.Fem.Sing	o
reformulação	NOUN.Fem.Sing	reformulação
de	ADP	de
currículos	NOUN.Masc.Plur	currículo
locais	ADJ.Masc.Plur	local
mais	ADV	mais
claros	ADJ.Masc.Plur	claro
no	ADP_PRON.Masc.Sing	em_o
que	PRON.Rel.Masc.Sing	que
tange	VERB.Fin.Sing	tanger
à	ADP_DET.Fem.Sing	a_o
formação	NOUN.Fem.Sing	formação
de	ADP	de
seus	DET.Masc.Plur	seu
cidadãos	NOUN.Masc.Plur	cidadão
inseridos	VERB.Part.Masc.Plur	inserir
em	ADP	em
suas	DET.Fem.Plur	seu
comunidades	NOUN.Fem.Plur	comunidade
regionais	ADJ.Fem.Plur	regional
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
último	ADJ.Masc.Sing	último
e	CCONJ	e
determinante	ADJ.Masc.Sing	determinante
estágio	NOUN.Masc.Sing	estágio
deste	ADP_DET.Masc.Sing	de_este
processo	NOUN.Masc.Sing	processo
de	ADP	de
aprimoramento	NOUN.Masc.Sing	aprimoramento
educacional	ADJ.Masc.Sing	educacional
deve	AUX.Fin.Sing	dever
ocorrer	VERB.Inf	ocorrer
no	ADP_DET.Masc.Sing	em_o
palco	NOUN.Masc.Sing	palco
do	ADP_DET.Masc.Sing	de_o
professor	NOUN.Masc.Sing	professor
,	PUNCT.Comma	,
desenvolvendo	VERB.Ger	desenvolver
habilidades	NOUN.Fem.Plur	habilidade
em	ADP	em
sala	NOUN.Fem.Sing	sala
de	ADP	de
aula	NOUN.Fem.Sing	aula
e	CCONJ	e
para	ADP	para
além	NOUN	além
dela	ADP_PRON.Fem.Sing	de_ela
;	PUNCT.Semicolon	;
mais	ADV	mais
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
nunca	ADV	nunca
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
preciso	ADJ.Masc.Sing	preciso
profissionais	NOUN.Masc.Plur	profissional
ousados	VERB.Part.Masc.Plur	ousar
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
pedestal	NOUN.Masc.Sing	pedestal
negro	ADJ.Masc.Sing	negro
e	CCONJ	e
o	DET.Masc.Sing	o
cetro	NOUN.Masc.Sing	cetro
de	ADP	de
giz	NOUN.Masc.Sing	giz
podem	AUX.Fin.Plur	poder
ficar	VERB.Inf	ficar
como	ADP	como
apoio	NOUN.Masc.Sing	apoio
ao	ADP_DET.Masc.Sing	a_o
transformar	VERB.Inf	transformar
minutos	NOUN.Masc.Plur	minuto
de	ADP	de
monólogos	NOUN.Masc.Plur	monólogo
em	ADP	em
processos	NOUN.Masc.Plur	processo
práticos	ADJ.Masc.Plur	prático
mínimos	NOUN.Masc.Plur	mínimo
de	ADP	de
conscientização	NOUN.Fem.Sing	conscientização
da	ADP_DET.Fem.Sing	de_o
linguagem	NOUN.Fem.Sing	linguagem
de	ADP	de
todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
dias	NOUN.Masc.Plur	dia
.	PUNCT.Sent	.
Dissecar	VERB.Inf	dissecar
um	DET.Masc.Sing	um
texto	NOUN.Masc.Sing	texto
como	ADV	como
se	PRON	se
faria	VERB.Fin.Sing	fazer
a	DET.Fem.Sing	o
uma	DET.Fem.Sing	um
cortiça	NOUN.Fem.Sing	cortiça
.	PUNCT.Sent	.
Transformar	VERB.Inf	transformar
o	DET.Masc.Sing	o
aluno	NOUN.Masc.Sing	aluno
em	ADP	em
