###	VERB.Fin.Sing	<unknown>
3.3	NUM	@card@
.	PUNCT.Sent	.
Eixos	NOUN.Masc.Plur	eixo
estruturantes	ADJ.Masc.Plur	estruturante
das	ADP_DET.Fem.Plur	de_o
práticas	NOUN.Fem.Plur	prática
pedagógicas	ADJ.Fem.Plur	pedagógico
:	PUNCT.Colon	:
interações	NOUN.Fem.Plur	interação
e	CCONJ	e
brincadeiras	NOUN.Fem.Plur	brincadeira
De	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
as	DET.Fem.Plur	o
Diretrizes	NOUN.Fem.Plur	diretriz
Curriculares	ADJ.Fem.Plur	curricular
Nacionais	PROPN.Sing	Nacionais
de	ADP	de
Educação	PROPN.Sing	Educação
Infantil	ADJ.Masc.Sing	infantil
,	PUNCT.Comma	,
em	ADP	em
seu	DET.Masc.Sing	seu
Art	PROPN.Fem.Sing	Art
.	PUNCT.Sent	.
4º	ADJ.Masc.Sing	4º
,	PUNCT.Comma	,
definem	VERB.Fin.Plur	definir
a	DET.Fem.Sing	o
criança	NOUN.Fem.Sing	criança
como	ADP	como
“	PUNCT.Quot	“
sujeito	NOUN.Masc.Sing	sujeito
histórico	ADJ.Masc.Sing	histórico
e	CCONJ	e
de	ADP	de
direitos	NOUN.Masc.Plur	direito
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Sing	que
interage	VERB.Fin.Sing	interagir
,	PUNCT.Comma	,
brinca	VERB.Fin.Sing	brincar
,	PUNCT.Comma	,
imagina	VERB.Fin.Sing	imaginar
,	PUNCT.Comma	,
fantasia	NOUN.Fem.Sing	fantasia
,	PUNCT.Comma	,
deseja	VERB.Fin.Sing	desejar
,	PUNCT.Comma	,
aprende	VERB.Fin.Sing	aprender
,	PUNCT.Comma	,
observa	VERB.Fin.Sing	observar
,	PUNCT.Comma	,
experimenta	VERB.Fin.Sing	experimentar
,	PUNCT.Comma	,
narra	VERB.Fin.Sing	narrar
,	PUNCT.Comma	,
questiona	VERB.Fin.Sing	questionar
e	CCONJ	e
constrói	VERB.Fin.Sing	construir
sentidos	NOUN.Masc.Plur	sentido
sobre	ADP	sobre
a	DET.Fem.Sing	o
natureza	NOUN.Fem.Sing	natureza
e	CCONJ	e
a	DET.Fem.Sing	o
sociedade	NOUN.Fem.Sing	sociedade
,	PUNCT.Comma	,
produzindo	VERB.Part	produzir
cultura	NOUN.Fem.Sing	cultura
”	PUNCT.Quot	”
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2009	NUM	@card@
,	PUNCT.Comma	,
p.	NOUN.Fem.Sing	p.
2	NUM	2
)	PUNCT.Par.Right	)
seres	VERB.Fin.Sing	ser
que	SCONJ	que
,	PUNCT.Comma	,
em	ADP	em
suas	DET.Fem.Plur	seu
ações	NOUN.Fem.Plur	ação
e	CCONJ	e
interações	NOUN.Fem.Plur	interação
com	ADP	com
os	DET.Masc.Plur	o
outros	PRON.Masc.Plur	outro
e	CCONJ	e
com	ADP	com
o	DET.Masc.Sing	o
mundo	NOUN.Masc.Sing	mundo
físico	ADJ.Masc.Sing	físico
,	PUNCT.Comma	,
constroem	VERB.Fin.Plur	construir
e	CCONJ	e
se	PRON.Masc.Plur	se
apropriam	VERB.Fin.Plur	apropriar
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
.	PUNCT.Sent	.
Ainda	ADV	ainda
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
as	DET.Fem.Plur	o
DCNEI	PROPN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
em	ADP	em
seu	DET.Masc.Sing	seu
Art	PROPN.Fem.Sing	Art
.	PUNCT.Sent	.
9º	ADJ.Masc.Sing	9º
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
eixos	NOUN.Masc.Plur	eixo
estruturantes	ADJ.Masc.Plur	estruturante
das	ADP_DET.Fem.Plur	de_o
práticas	NOUN.Fem.Plur	prática
pedagógicas	ADJ.Fem.Plur	pedagógico
dessa	ADP_DET.Fem.Sing	de_esse
etapa	NOUN.Fem.Sing	etapa
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
são	AUX.Fin.Plur	ser
as	DET.Fem.Plur	o
interações	NOUN.Fem.Plur	interação
e	CCONJ	e
as	DET.Fem.Plur	o
brincadeiras	NOUN.Fem.Plur	brincadeira
,	PUNCT.Comma	,
experiências	NOUN.Fem.Plur	experiência
por	ADP	por
meio	NOUN	meio
das	ADP_DET.Fem.Plur	de_o
quais	PRON.Rel.Fem.Plur	qual
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
podem	AUX.Fin.Plur	poder
construir	VERB.Inf	construir
e	CCONJ	e
se	PRON.Fem.Sing	se
apropriar	VERB.Inf	apropriar
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
por	ADP	por
meio	NOUN	meio
de	ADP	de
suas	DET.Fem.Plur	seu
ações	NOUN.Fem.Plur	ação
e	CCONJ	e
interações	NOUN.Fem.Plur	interação
com	ADP	com
seus	DET.Masc.Plur	seu
pares	NOUN.Masc.Plur	par
e	CCONJ	e
com	ADP	com
os	DET.Masc.Plur	o
adultos	NOUN.Masc.Plur	adulto
,	PUNCT.Comma	,
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
possibilita	VERB.Fin.Sing	possibilitar
aprendizagens	NOUN.Fem.Plur	aprendizagem
,	PUNCT.Comma	,
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
e	CCONJ	e
socialização	NOUN.Fem.Sing	socialização
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
interação	NOUN.Fem.Sing	interação
durante	ADP	durante
o	PRON.Masc.Sing	o
brincar	VERB.Inf	brincar
caracteriza	VERB.Fin.Sing	caracterizar
o	DET.Masc.Sing	o
cotidiano	ADJ.Masc.Sing	cotidiano
da	ADP_DET.Fem.Sing	de_o
infância	NOUN.Fem.Sing	infância
,	PUNCT.Comma	,
trazendo	VERB.Ger	trazer
consigo	VERB.Fin.Sing	conseguir
muitas	DET.Fem.Plur	muito
aprendizagens	NOUN.Fem.Plur	aprendizagem
e	CCONJ	e
potenciais	NOUN.Masc.Plur	potencial
para	ADP	para
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
integral	ADJ.Masc.Sing	integral
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
.	PUNCT.Sent	.
Para	ADP	para
que	SCONJ	que
o	PRON.Masc.Sing	o
brincar	VERB.Inf	brincar
e	CCONJ	e
o	DET.Masc.Sing	o
aprender	VERB.Inf	aprender
