##	VERB.Fin.Sing	<unknown>
7	NUM	7
.	PUNCT.Sent	.
CONTEXTOS	NOUN.Masc.Plur	contexto
INDICATIVOS	ADJ.Masc.Plur	indicativo
###	VERB.Fin.Plur	<unknown>
7.1	NUM	@card@
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
ENSINO	NOUN.Masc.Sing	ensino
MÉDIO	ADJ.Masc.Sing	médio
NO	ADP_DET.Masc.Sing	em_o
BRASIL	PROPN.Masc.Sing	Brasil
E	CCONJ	e
NA	ADP_DET.Fem.Sing	em_o
BAHIA	PROPN.Fem.Sing	Bahia
Dentre	PROPN.Sing	<unknown>
as	DET.Fem.Plur	o
etapas	NOUN.Fem.Plur	etapa
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
é	AUX.Fin.Sing	ser
a	DET.Fem.Sing	o
que	PRON.Rel.Fem.Sing	que
mais	ADV	mais
requer	VERB.Fin.Sing	requerer
constantes	ADJ.Masc.Plur	constante
estudos	NOUN.Masc.Plur	estudo
e	CCONJ	e
pesquisas	NOUN.Fem.Plur	pesquisa
para	ADP	para
compreender	VERB.Inf	compreender
a	DET.Fem.Sing	o
necessidade	NOUN.Fem.Sing	necessidade
de	ADP	de
jovens	NOUN.Masc.Plur	jovem
com	ADP	com
perfis	NOUN.Masc.Plur	perfil
e	CCONJ	e
valores	NOUN.Masc.Plur	valor
diversos	ADJ.Masc.Plur	diverso
,	PUNCT.Comma	,
inseridos	VERB.Part.Masc.Plur	inserir
em	ADP	em
comunidades	NOUN.Fem.Plur	comunidade
,	PUNCT.Comma	,
famílias	NOUN.Fem.Plur	família
e	CCONJ	e
grupos	NOUN.Masc.Plur	grupo
singulares	ADJ.Masc.Plur	singular
,	PUNCT.Comma	,
com	ADP	com
desejos	NOUN.Masc.Plur	desejo
e	CCONJ	e
posicionamentos	NOUN.Masc.Plur	posicionamento
em	ADP	em
fase	NOUN.Fem.Sing	fase
de	ADP	de
transição	NOUN.Fem.Sing	transição
.	PUNCT.Sent	.
Além	ADV	além
dessas	ADP_DET.Fem.Plur	de_esse
características	NOUN.Fem.Plur	característica
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
dificuldade	NOUN.Fem.Sing	dificuldade
de	ADP	de
lidar	VERB.Inf	lidar
com	ADP	com
algumas	PRON.Fem.Plur	algum
delas	ADP_PRON.Fem.Plur	de_elas
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
jovens	NOUN.Masc.Plur	jovem
enfrentam	VERB.Fin.Plur	enfrentar
um	DET.Masc.Sing	um
cenário	NOUN.Masc.Sing	cenário
social	ADJ.Masc.Sing	social
desafiador	ADJ.Masc.Sing	desafiador
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Sing	que
exige	VERB.Fin.Sing	exigir
conhecimentos	NOUN.Masc.Plur	conhecimento
,	PUNCT.Comma	,
posicionamento	NOUN.Masc.Sing	posicionamento
,	PUNCT.Comma	,
equilíbrio	NOUN.Masc.Sing	equilíbrio
,	PUNCT.Comma	,
envolvimento	NOUN.Masc.Sing	envolvimento
,	PUNCT.Comma	,
ética	NOUN.Fem.Sing	ética
e	CCONJ	e
um	DET.Masc.Sing	um
olhar	NOUN.Masc.Sing	olhar
veloz	ADJ.Masc.Sing	veloz
e	CCONJ	e
perspicaz	ADJ.Masc.Sing	perspicaz
para	ADP	para
questões	NOUN.Fem.Plur	questão
pessoais	ADJ.Fem.Plur	pessoal
