###	VERB.Fin.Sing	<unknown>
4.2.1.3	NUM	@card@
.	PUNCT.Sent	.
Educação	NOUN.Fem.Sing	educação
Física	PROPN.Fem.Sing	Física
####	VERB.Fin.Sing	<unknown>
Apresentação	NOUN.Fem.Sing	apresentação
da	ADP_DET.Fem.Sing	de_o
Área	PROPN.Sing	Área
Alinhados	VERB.Part.Masc.Plur	alinhar
ao	ADP_DET.Masc.Sing	a_o
posicionamento	NOUN.Masc.Sing	posicionamento
da	ADP_DET.Fem.Sing	de_o
BNCC	PROPN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2017	NUM	@card@
)	PUNCT.Par.Right	)
no	ADP_DET.Masc.Sing	em_o
DCRC	PROPN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
assumimos	VERB.Fin.Plur	assumir
que	SCONJ	que
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Física	PROPN.Fem.Sing	Física
no	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Sing	Ensino
Fundamental	ADJ.Fem.Sing	fundamental
é	AUX.Fin.Sing	ser
o	DET.Masc.Sing	o
componente	NOUN.Masc.Sing	componente
curricular	ADJ.Masc.Sing	curricular
que	PRON.Rel.Masc.Sing	que
tematiza	VERB.Fin.Sing	tematizar
o	DET.Masc.Sing	o
corpo	NOUN.Masc.Sing	corpo
e	CCONJ	e
suas	DET.Fem.Plur	seu
práticas	NOUN.Fem.Plur	prática
corporais	ADJ.Fem.Plur	corporal
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
sua	DET.Fem.Sing	seu
finalidade	NOUN.Fem.Sing	finalidade
é	AUX.Fin.Sing	ser
possibilitar	VERB.Inf	possibilitar
,	PUNCT.Comma	,
aos/às	ADJ.Masc.Plur	<unknown>
estudantes	NOUN.Masc.Plur	estudante
,	PUNCT.Comma	,
conhecimentos	NOUN.Masc.Plur	conhecimento
específicos	ADJ.Masc.Plur	específico
da	ADP_DET.Fem.Sing	de_o
Área	PROPN.Sing	Área
de	ADP	de
Linguagens	NOUN.Fem.Plur	linguagem
para	ADP	para
ampliação	NOUN.Fem.Sing	ampliação
de	ADP	de
seu	DET.Masc.Sing	seu
repertório	NOUN.Masc.Sing	repertório
em	ADP	em
manifestações	NOUN.Fem.Plur	manifestação
artísticas	ADJ.Fem.Plur	artístico
,	PUNCT.Comma	,
corporais	ADJ.Fem.Plur	corporal
e	CCONJ	e
linguísticas	ADJ.Fem.Plur	linguístico
,	PUNCT.Comma	,
dando	VERB.Ger	dar
continuidade	NOUN.Fem.Sing	continuidade
ao	ADP_DET.Masc.Sing	a_o
vivenciado	VERB.Part.Masc.Sing	vivenciar
na	ADP_DET.Fem.Sing	em_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
.	PUNCT.Sent	.
Portanto	ADV	portanto
,	PUNCT.Comma	,
entender	VERB.Inf	entender
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Física	NOUN.Fem.Sing	física
como	ADP	como
componente	NOUN.Masc.Sing	componente
curricular	ADJ.Masc.Sing	curricular
da	ADP_DET.Fem.Sing	de_o
área	NOUN.Fem.Sing	área
de	ADP	de
Linguagens	NOUN.Fem.Plur	linguagem
significa	VERB.Fin.Sing	significar
promover	VERB.Inf	promover
atividades	NOUN.Fem.Plur	atividade
didáticas	ADJ.Fem.Plur	didático
que	PRON.Rel.Fem.Plur	que
auxiliem	VERB.Fin.Plur	auxiliar
alunos	NOUN.Masc.Plur	aluno
e	CCONJ	e
alunas	NOUN.Fem.Plur	aluno
a	ADP	a
ler	VERB.Inf	ler
e	CCONJ	e
produzir	VERB.Inf	produzir
as	DET.Fem.Plur	o
manifestações	NOUN.Fem.Plur	manifestação
culturais	ADJ.Fem.Plur	cultural
corporais	ADJ.Fem.Plur	corporal
concebidas	VERB.Part.Fem.Plur	conceber
como	ADP	como
textos	NOUN.Masc.Plur	texto
e	CCONJ	e
contextos	NOUN.Masc.Plur	contexto
da	ADP_DET.Fem.Sing	de_o
linguagem	NOUN.Fem.Sing	linguagem
corporal	ADJ.Fem.Sing	corporal
(	PUNCT.Par.Left	(
NEIRA	PROPN.Fem.Sing	<unknown>
;	PUNCT.Semicolon	;
SOUZA	PROPN.Masc.Sing	Souza
JÚNIOR	ADJ.Masc.Sing	júnior
,	PUNCT.Comma	,
2016	NUM	@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Física	PROPN.Fem.Sing	Física
pode	AUX.Fin.Sing	poder
contribuir	VERB.Inf	contribuir
para	ADP	para
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
integral	ADJ.Fem.Sing	integral
de	ADP	de
alunos	NOUN.Masc.Plur	aluno
e	CCONJ	e
alunas	NOUN.Fem.Plur	aluno
nas	ADP_DET.Fem.Plur	em_o
escolas	NOUN.Fem.Plur	escola
,	PUNCT.Comma	,
sendo	AUX.Ger	ser
sua	DET.Fem.Sing	seu
responsabilidade	NOUN.Fem.Sing	responsabilidade
instigá	VERB.Fin.Sing	<unknown>
-los	PRON.Masc.Plur	eles
(	PUNCT.Par.Left	(
las	NOUN.Fem.Plur	<unknown>
)	PUNCT.Par.Right	)
não	ADV	não
somente	ADV	somente
a	ADP	a
reproduzir	VERB.Inf	reproduzir
movimentos	NOUN.Masc.Plur	movimento
,	PUNCT.Comma	,
mas	CCONJ	mas
a	ADP	a
criar	VERB.Inf	criar
outras	DET.Fem.Plur	outro
possibilidades	NOUN.Fem.Plur	possibilidade
,	PUNCT.Comma	,
posicionando	VERB.Part	posicionar
-se	PRON.Masc.Sing	se
