8.3.2.2.1	PROPN.Masc.Sing	@card@
Biologia	PROPN.Sing	Biologia
-	PUNCT.Hyphen	-
A	DET.Fem.Sing	o
diversidade	NOUN.Fem.Sing	diversidade
e	CCONJ	e
a	DET.Fem.Sing	o
multiplicidade	NOUN.Fem.Sing	multiplicidade
no	ADP_DET.Masc.Sing	em_o
ensino	NOUN.Masc.Sing	ensino
de	ADP	de
Biologia	PROPN.Sing	Biologia
:	PUNCT.Colon	:
narrativas	NOUN.Fem.Plur	narrativo
,	PUNCT.Comma	,
usos	NOUN.Masc.Plur	uso
,	PUNCT.Comma	,
formas	NOUN.Fem.Plur	forma
e	CCONJ	e
espaços	NOUN.Masc.Plur	espaço
de	ADP	de
construção	NOUN.Fem.Sing	construção
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
A	DET.Fem.Sing	o
Biologia	PROPN.Fem.Sing	Biologia
é	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
ciência	NOUN.Fem.Sing	ciência
pautada	VERB.Part.Fem.Sing	pautar
na	ADP_DET.Fem.Sing	em_o
observação	NOUN.Fem.Sing	observação
e	CCONJ	e
investigação	NOUN.Fem.Sing	investigação
da	ADP_DET.Fem.Sing	de_o
natureza	NOUN.Fem.Sing	natureza
e	CCONJ	e
do	ADP_DET.Masc.Sing	de_o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
tecnológico	ADJ.Masc.Sing	tecnológico
,	PUNCT.Comma	,
sendo	AUX.Ger	ser
os	DET.Masc.Plur	o
seus	DET.Masc.Plur	seu
conhecimentos	NOUN.Masc.Plur	conhecimento
resultado	NOUN.Masc.Sing	resultado
e	CCONJ	e
instrumento	NOUN.Masc.Sing	instrumento
da	ADP_DET.Fem.Sing	de_o
evolução	NOUN.Fem.Sing	evolução
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
histórica	ADJ.Fem.Sing	histórico
e	CCONJ	e
econômica	ADJ.Fem.Sing	econômico
.	PUNCT.Sent	.
Diariamente	ADV	diariamente
,	PUNCT.Comma	,
grande	ADJ.Fem.Sing	grande
quantidade	NOUN.Fem.Sing	quantidade
de	ADP	de
informações	NOUN.Fem.Plur	informação
veiculadas	VERB.Part.Fem.Plur	veicular
pelas	ADP_DET.Fem.Plur	por_o
mídias	NOUN.Fem.Plur	mídia
se	PRON.Masc.Sing	se
refere	VERB.Fin.Sing	referir
a	ADP	a
fatos	NOUN.Masc.Plur	fato
cuja	DET.Rel.Fem.Sing	cujo
compreensão	NOUN.Fem.Sing	compreensão
depende	VERB.Fin.Sing	depender
do	ADP_DET.Masc.Sing	de_o
domínio	NOUN.Masc.Sing	domínio
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
científicos	ADJ.Masc.Plur	científico
.	PUNCT.Sent	.
Em	ADP	em
especial	ADJ.Masc.Sing	especial
