##	VERB.Fin.Sing	<unknown>
Temas	PROPN.Masc.Sing	Temas
Integradores	NOUN.Masc.Plur	integrador
na	ADP_DET.Fem.Sing	em_o
Matemática	PROPN.Fem.Sing	Matemática
Os	DET.Masc.Plur	o
temas	NOUN.Masc.Plur	tema
integradores	ADJ.Masc.Plur	integrador
:	PUNCT.Colon	:
Educação	NOUN.Fem.Sing	educação
para	ADP	para
o	DET.Masc.Sing	o
Consumo	PROPN.Sing	Consumo
Consciente	ADJ.Masc.Sing	consciente
;	PUNCT.Semicolon	;
Educação	PROPN.Fem.Sing	Educação
Financeira	ADJ.Fem.Sing	financeiro
e	CCONJ	e
Fiscal	PROPN.Sing	Fiscal
;	PUNCT.Semicolon	;
Educação	PROPN.Fem.Sing	Educação
para	PROPN	para
o	DET.Sing	o
Trânsito	PROPN.Sing	Trânsito
;	PUNCT.Semicolon	;
Educação	PROPN.Masc.Sing	Educação
Ambiental	PROPN.Sing	Ambiental
e	CCONJ	e
Trabalho	PROPN.Sing	Trabalho
,	PUNCT.Comma	,
Ciência	PROPN.Sing	Ciência
e	CCONJ	e
Tecnologia	PROPN.Sing	Tecnologia
,	PUNCT.Comma	,
dentre	VERB.Fin.Sing	dentrar
outros	DET.Masc.Plur	outro
possíveis	NOUN.Masc.Plur	possível
,	PUNCT.Comma	,
trazem	VERB.Fin.Plur	trazer
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
integração	NOUN.Fem.Sing	integração
das	ADP_DET.Fem.Plur	de_o
habilidades	NOUN.Fem.Plur	habilidade
e	CCONJ	e
dos	ADP_DET.Masc.Plur	de_o
objetos	NOUN.Masc.Plur	objeto
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
da	ADP_DET.Fem.Sing	de_o
Matemática	PROPN.Fem.Sing	Matemática
com	ADP	com
as	DET.Fem.Plur	o
demais	DET.Fem.Plur	demais
áreas	NOUN.Fem.Plur	área
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
,	PUNCT.Comma	,
favorecendo	VERB.Part	favorecer
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
integral	ADJ.Fem.Sing	integral
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
e	CCONJ	e
promovendo	VERB.Ger	promover
a	DET.Fem.Sing	o
aprendizagem	NOUN.Fem.Sing	aprendizagem
do	ADP_DET.Masc.Sing	de_o
sujeito	NOUN.Masc.Sing	sujeito
como	ADP	como
cidadão	NOUN.Masc.Sing	cidadão
e	CCONJ	e
sua	DET.Fem.Sing	seu
relação	NOUN.Fem.Sing	relação
com	ADP	com
o	DET.Masc.Sing	o
meio	NOUN.Masc.Sing	meio
social	ADJ.Masc.Sing	social
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
Currículo	NOUN.Masc.Sing	currículo
do	ADP_DET.Masc.Sing	de_o
Espírito	PROPN.Masc.Sing	Espírito
Santo	PROPN.Sing	Santo
propõe	VERB.Fin.Sing	propor
pensar	VERB.Inf	pensar
a	DET.Fem.Sing	o
BNCC	PROPN.Fem.Sing	<unknown>
como	ADP	como
referencial	NOUN.Masc.Sing	referencial
para	ADP	para
a	DET.Fem.Sing	o
elaboração	NOUN.Fem.Sing	elaboração
de	ADP	de
uma	DET.Fem.Sing	um
proposta	NOUN.Fem.Sing	proposta
que	PRON.Rel.Fem.Sing	que
considera	VERB.Fin.Sing	considerar
singularidades	NOUN.Fem.Plur	singularidade
,	PUNCT.Comma	,
novos	ADJ.Masc.Plur	novo
problemas	NOUN.Masc.Plur	problema
e	CCONJ	e
questões	NOUN.Fem.Plur	questão
a	ADP	a
serem	AUX.Inf.Plur	ser
incorporadas	VERB.Part.Fem.Plur	incorporar
,	PUNCT.Comma	,
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
as	DET.Fem.Plur	o
características	NOUN.Fem.Plur	característica
de	ADP	de
cada	DET.Fem.Sing	cada
região	NOUN.Fem.Sing	região
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
sentido	NOUN.Masc.Sing	sentido
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
processo	NOUN.Masc.Sing	processo
de	ADP	de
elaboração	NOUN.Fem.Sing	elaboração
do	ADP_DET.Masc.Sing	de_o
documento	NOUN.Masc.Sing	documento
,	PUNCT.Comma	,
surgiu	VERB.Fin.Sing	surgir
a	DET.Fem.Sing	o
necessidade	NOUN.Fem.Sing	necessidade
de	ADP	de
acrescentar	VERB.Inf	acrescentar
novos	ADJ.Masc.Plur	novo
temas	NOUN.Masc.Plur	tema
integradores	ADJ.Masc.Plur	integrador
e	CCONJ	e
retomar	VERB.Inf	retomar
alguns	PRON.Masc.Plur	algum
já	ADV	já
propostos	VERB.Part.Masc.Plur	propor
na	ADP_DET.Fem.Sing	em_o
BNCC	PROPN.Fem.Sing	<unknown>
com	ADP	com
um	DET.Masc.Sing	um
olhar	NOUN.Masc.Sing	olhar
crítico	ADJ.Masc.Sing	crítico
e	CCONJ	e
que	SCONJ	que
se	PRON.Masc.Plur	se
percebem	VERB.Fin.Plur	perceber
as	DET.Fem.Plur	o
variações	NOUN.Fem.Plur	variação
específicas	ADJ.Fem.Plur	específico
do	ADP_DET.Masc.Sing	de_o
nosso	DET.Masc.Sing	nosso
Estado	NOUN.Masc.Sing	estado
.	PUNCT.Sent	.
Os	DET.Masc.Plur	o
novos	ADJ.Masc.Plur	novo
temas	NOUN.Masc.Plur	tema
integradores	ADJ.Masc.Plur	integrador
incluídos	VERB.Part.Masc.Plur	incluir
pelo	ADP_DET.Masc.Sing	por_o
Currículo	NOUN.Masc.Sing	currículo
do	ADP_DET.Masc.Sing	de_o
Espírito	PROPN.Masc.Sing	Espírito
Santo	PROPN.Sing	Santo
são	AUX.Fin.Plur	ser
:	PUNCT.Colon	:
Trabalho	NOUN.Masc.Sing	trabalho
e	CCONJ	e
Relações	PROPN.Sing	Relações
de	ADP	de
Poder	PROPN.Sing	Poder
,	PUNCT.Comma	,
Ética	PROPN.Fem.Sing	Ética
e	CCONJ	e
Cidadania	NOUN.Fem.Sing	cidadania
;	PUNCT.Semicolon	;
Gênero	NOUN.Masc.Sing	gênero
,	PUNCT.Comma	,
Sexualidade	NOUN.Fem.Sing	sexualidade
,	PUNCT.Comma	,
Poder	PROPN.Sing	Poder
