##	VERB.Fin.Sing	<unknown>
2	NUM	2
.	PUNCT.Sent	.
DISPOSIÇÕES	NOUN.Fem.Plur	disposição
GERAIS	ADJ.Fem.Plur	geral
:	PUNCT.Colon	:
A	DET.Fem.Sing	o
LEGISLAÇÃO	NOUN.Fem.Sing	legislação
ASSEGURA	VERB.Fin.Sing	assegurar
A	DET.Fem.Sing	o
LEGITIMIDADE	NOUN.Fem.Sing	legitimidade
Por	ADP	por
meio	NOUN	meio
da	ADP_DET.Fem.Sing	de_o
Resolução	NOUN.Fem.Sing	resolução
CNE/CEB	PROPN.Fem.Sing	<unknown>
nº	NOUN.Masc.Sing	nº
4	NUM	4
,	PUNCT.Comma	,
de	ADP	de
12	NUM	12
de	ADP	de
maio	NOUN.Masc.Sing	maio
de	ADP	de
2025	NUM	@card@
,	PUNCT.Comma	,
foram	AUX.Fin.Plur	ser
instituídos	VERB.Part.Masc.Plur	instituir
os	DET.Masc.Plur	o
Parâmetros	NOUN.Masc.Plur	parâmetro
Nacionais	PROPN.Sing	Nacionais
para	ADP	para
a	DET.Fem.Sing	o
Oferta	NOUN.Fem.Sing	oferta
dos	ADP_DET.Masc.Plur	de_o
Itinerários	NOUN.Masc.Plur	itinerário
Formativos	ADJ.Masc.Plur	formativo
de	ADP	de
Aprofundamento	NOUN.Masc.Sing	aprofundamento
IFAs	VERB.Fin.Sing	<unknown>
no	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
.	PUNCT.Sent	.
Esse	DET.Masc.Sing	esse
documento	NOUN.Masc.Sing	documento
possui	VERB.Fin.Sing	possuir
uma	DET.Fem.Sing	um
finalidade	NOUN.Fem.Sing	finalidade
específica	ADJ.Fem.Sing	específico
no	ADP_DET.Masc.Sing	em_o
contexto	NOUN.Masc.Sing	contexto
da	ADP_DET.Fem.Sing	de_o
reestruturação	NOUN.Fem.Sing	reestruturação
do	ADP_DET.Masc.Sing	de_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
brasileiro	ADJ.Masc.Sing	brasileiro
promovida	VERB.Part.Fem.Sing	promover
pela	ADP_DET.Fem.Sing	por_o
Lei	PROPN.Fem.Sing	Lei
nº	NOUN.Masc.Sing	nº
14.945/2024	NUM	@card@
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
finalidade	NOUN.Fem.Sing	finalidade
desta	ADP_DET.Fem.Sing	de_este
Resolução	NOUN.Fem.Sing	resolução
é	AUX.Fin.Sing	ser
estabelecer	VERB.Inf	estabelecer
diretrizes	NOUN.Fem.Plur	diretriz
e	CCONJ	e
parâmetros	NOUN.Masc.Plur	parâmetro
para	ADP	para
a	DET.Fem.Sing	o
organização	NOUN.Fem.Sing	organização
,	PUNCT.Comma	,
implementação	NOUN.Fem.Sing	implementação
e	CCONJ	e
avaliação	NOUN.Fem.Sing	avaliação
dos	ADP_DET.Masc.Plur	de_o
IFAs	NOUN.Masc.Plur	<unknown>
em	ADP	em
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
redes	NOUN.Fem.Plur	rede
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
do	ADP_DET.Masc.Sing	de_o
país	NOUN.Masc.Sing	país
,	PUNCT.Comma	,
garantindo	VERB.Ger	garantir
qualidade	NOUN.Fem.Sing	qualidade
,	PUNCT.Comma	,
equidade	NOUN.Fem.Sing	equidade
e	CCONJ	e
coerência	NOUN.Fem.Sing	coerência
curricular	ADJ.Fem.Sing	curricular
na	ADP_DET.Fem.Sing	em_o
etapa	NOUN.Fem.Sing	etapa
final	ADJ.Fem.Sing	final
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
.	PUNCT.Sent	.
Trata	VERB.Fin.Sing	tratar
-se	PRON	se
de	ADP	de
um	DET.Masc.Sing	um
documento	NOUN.Masc.Sing	documento
que	PRON.Rel.Masc.Sing	que
vai	AUX.Fin.Sing	ir
orientar	VERB.Inf	orientar
os	DET.Masc.Plur	o
estados	NOUN.Masc.Plur	estado
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
distrito	NOUN.Masc.Sing	distrito
federal	ADJ.Masc.Sing	federal
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
municípios	NOUN.Masc.Plur	município
e	CCONJ	e
as	DET.Fem.Plur	o
escolas	NOUN.Fem.Plur	escola
na	ADP_DET.Fem.Sing	em_o
reorganização	NOUN.Fem.Sing	reorganização
e	CCONJ	e
implementação	NOUN.Fem.Sing	implementação
da	ADP_DET.Fem.Sing	de_o
parte	NOUN.Fem.Sing	parte
flexível	ADJ.Fem.Sing	flexível
e	CCONJ	e
diversificada	VERB.Part.Fem.Sing	diversificar
do	ADP_DET.Masc.Sing	de_o
currículo	NOUN.Masc.Sing	currículo
do	ADP_DET.Masc.Sing	de_o
Novo	ADJ.Masc.Sing	novo
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
Resolução	NOUN.Fem.Sing	resolução
é	AUX.Fin.Sing	ser
de	ADP	de
grande	ADJ.Fem.Sing	grande
relevância	NOUN.Fem.Sing	relevância
para	ADP	para
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
dos(as)	VERB.Fin.Sing	<unknown>
estudantes	NOUN.Masc.Plur	estudante
,	PUNCT.Comma	,
pois	SCONJ	pois
ele	PRON.Masc.Sing	ele
estabelece	VERB.Fin.Sing	estabelecer
uma	DET.Fem.Sing	um
nova	ADJ.Fem.Sing	novo
proposta	NOUN.Fem.Sing	proposta
educativa	ADJ.Fem.Sing	educativo
para	ADP	para
a	DET.Fem.Sing	o
etapa	NOUN.Fem.Sing	etapa
final	ADJ.Fem.Sing	final
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
básica	ADJ.Fem.Sing	básico
,	PUNCT.Comma	,
que	PRON.Rel.Fem.Sing	que
impacta	VERB.Fin.Sing	impactar
diretamente	ADV	diretamente
no	ADP_DET.Masc.Sing	em_o
tipo	NOUN.Masc.Sing	tipo
de	ADP	de
cidadão/cidadã	NOUN.Fem.Sing	cidadão/cidadão
que	SCONJ	que
a	DET.Fem.Sing	o
escola	NOUN.Fem.Sing	escola
pretende	VERB.Fin.Sing	pretender
formar	VERB.Inf	formar
.	PUNCT.Sent	.
Assim	ADV	assim
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
documento	NOUN.Masc.Sing	documento
reforça	VERB.Fin.Sing	reforçar
que	SCONJ	que
os	DET.Masc.Plur	o
Itinerários	NOUN.Masc.Plur	itinerário
Formativos	ADJ.Masc.Plur	formativo
(	PUNCT.Par.Left	(
IFAs	PROPN.Masc.Sing	<unknown>
)	PUNCT.Par.Right	)
complementam	VERB.Fin.Plur	complementar
a	DET.Fem.Sing	o
Formação	NOUN.Fem.Sing	formação
Geral	PROPN.Sing	Geral
Básica	ADJ.Fem.Sing	básico
(	PUNCT.Par.Left	(
FGB	PROPN.Fem.Sing	<unknown>
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Sing	que
,	PUNCT.Comma	,
por	ADP	por
sua	DET.Fem.Sing	seu
vez	NOUN.Fem.Sing	vez
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
sólida	ADJ.Fem.Sing	sólido
e	CCONJ	e
obrigatória	ADJ.Fem.Sing	obrigatório
para	ADP	para
todos	PRON.Masc.Plur	todo
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
objetivo	NOUN.Masc.Sing	objetivo
primordial	ADJ.Masc.Sing	primordial
é	AUX.Fin.Sing	ser
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
integral	ADJ.Masc.Sing	integral
do	ADP_PRON.Masc.Sing	de_o
educando	VERB.Part	educar
,	PUNCT.Comma	,
considerando	VERB.Ger	considerar
aspectos	NOUN.Masc.Plur	aspecto
físicos	ADJ.Masc.Plur	físico
,	PUNCT.Comma	,
cognitivos	ADJ.Masc.Plur	cognitivo
,	PUNCT.Comma	,
éticos	ADJ.Masc.Plur	ético
,	PUNCT.Comma	,
socioculturais	ADJ.Masc.Plur	sociocultural
e	CCONJ	e
afetivos	ADJ.Masc.Plur	afetivo
.	PUNCT.Sent	.
Esta	DET.Fem.Sing	este
Resolução	NOUN.Fem.Sing	resolução
representa	VERB.Fin.Sing	representar
mais	ADV	mais
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
uma	DET.Fem.Sing	um
mera	NOUN.Fem.Sing	mero
diretriz	ADJ.Fem.Sing	diretor
curricular	ADJ.Fem.Sing	curricular
.	PUNCT.Sent	.
Ela	PRON.Fem.Sing	ela
é	AUX.Fin.Sing	ser
a	DET.Fem.Sing	o
peça	NOUN.Fem.Sing	peça
fundamental	ADJ.Fem.Sing	fundamental
para	ADP	para
operacionalizar	VERB.Inf	operacionalizar
uma	DET.Fem.Sing	um
mudança	NOUN.Fem.Sing	mudança
de	ADP	de
paradigma	NOUN.Masc.Sing	paradigma
na	ADP_DET.Fem.Sing	em_o
formação	NOUN.Fem.Sing	formação
dos(as)	VERB.Fin.Sing	<unknown>
estudantes	NOUN.Masc.Plur	estudante
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
brasileira	ADJ.Fem.Sing	brasileiro
,	PUNCT.Comma	,
particularmente	ADV	particularmente
no	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
.	PUNCT.Sent	.
Sua	DET.Fem.Sing	seu
importância	NOUN.Fem.Sing	importância
reside	VERB.Fin.Sing	residir
,	PUNCT.Comma	,
antes	ADV	antes
de	ADP	de
tudo	PRON.Masc.Sing	tudo
,	PUNCT.Comma	,
em	ADP	em
reorientar	VERB.Inf	reorientar
o	DET.Masc.Sing	o
propósito	NOUN.Masc.Sing	propósito
dessa	ADP_DET.Fem.Sing	de_esse
etapa	NOUN.Fem.Sing	etapa
final	ADJ.Fem.Sing	final
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
básica	ADJ.Fem.Sing	básico
,	PUNCT.Comma	,
valorizando	VERB.Ger	valorizar
uma	DET.Fem.Sing	um
formação	NOUN.Fem.Sing	formação
humana	ADJ.Fem.Sing	humano
integral	ADJ.Fem.Sing	integral
.	PUNCT.Sent	.
Esta	DET.Fem.Sing	este
visão	NOUN.Fem.Sing	visão
integral	ADJ.Fem.Sing	integral
compreende	VERB.Fin.Sing	compreender
que	SCONJ	que
o	DET.Masc.Sing	o
estudante	NOUN.Masc.Sing	estudante
é	AUX.Fin.Sing	ser
um	DET.Masc.Sing	um
sujeito	NOUN.Masc.Sing	sujeito
complexo	ADJ.Masc.Sing	complexo
,	PUNCT.Comma	,
cujo	DET.Rel.Masc.Sing	cujo
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
pleno	ADJ.Masc.Sing	pleno
depende	VERB.Fin.Sing	depender
do	ADP_DET.Masc.Sing	de_o
equilíbrio	NOUN.Masc.Sing	equilíbrio
entre	ADP	entre
a	DET.Fem.Sing	o
aquisição	NOUN.Fem.Sing	aquisição
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
fundamentais	ADJ.Masc.Plur	fundamental
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
de	ADP	de
competências	NOUN.Fem.Plur	competência
para	ADP	para
a	DET.Fem.Sing	o
vida	NOUN.Fem.Sing	vida
e	CCONJ	e
a	DET.Fem.Sing	o
construção	NOUN.Fem.Sing	construção
de	ADP	de
um	DET.Masc.Sing	um
projeto	NOUN.Masc.Sing	projeto
de	ADP	de
vida	NOUN.Fem.Sing	vida
ético	ADJ.Masc.Sing	ético
e	CCONJ	e
solidário	ADJ.Masc.Sing	solidário
.	PUNCT.Sent	.
Para	ADP	para
concretizar	VERB.Inf	concretizar
essa	DET.Fem.Sing	esse
