##	PROPN.Masc.Sing	<unknown>
Educação	PROPN.Sing	Educação
e	CCONJ	e
as	DET.Fem.Plur	o
Diversidades	PROPN.Fem.Sing	Diversidades
Guiando	VERB.Part	guiar
-se	PRON.Masc.Sing	se
pelas	ADP_DET.Fem.Plur	por_o
concepções	NOUN.Fem.Plur	concepção
que	PRON.Rel.Fem.Plur	que
regem	VERB.Fin.Plur	reger
o	DET.Masc.Sing	o
Currículo	NOUN.Masc.Sing	currículo
do	ADP_DET.Masc.Sing	de_o
Espírito	PROPN.Masc.Sing	Espírito
Santo	PROPN.Sing	Santo
,	PUNCT.Comma	,
especialmente	ADV	especialmente
no	ADP_PRON.Masc.Sing	em_o
que	PRON.Rel.Masc.Sing	que
se	PRON	se
refere	VERB.Fin.Sing	referir
à	ADP_DET.Fem.Sing	a_o
Educação	PROPN.Fem.Sing	Educação
Inclusiva	ADJ.Fem.Sing	inclusivo
e	CCONJ	e
à	ADP_DET.Fem.Sing	a_o
Equidade	NOUN.Fem.Sing	equidade
,	PUNCT.Comma	,
faz	VERB.Fin.Sing	fazer
-se	PRON.Masc.Sing	se
necessário	ADJ.Masc.Sing	necessário
abordar	VERB.Inf	abordar
as	DET.Fem.Plur	o
diversas	DET.Fem.Plur	diversos
modalidades	NOUN.Fem.Plur	modalidade
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
que	PRON.Rel.Masc.Sing	que
também	ADV	também
são	AUX.Fin.Plur	ser
contempladas	VERB.Part.Fem.Plur	contemplar
neste	ADP_DET.Masc.Sing	em_este
documento	NOUN.Masc.Sing	documento
.	PUNCT.Sent	.
Trata	VERB.Fin.Sing	tratar
-se	PRON	se
de	ADP	de
um	DET.Masc.Sing	um
olhar	NOUN.Masc.Sing	olhar
para	ADP	para
o	DET.Masc.Sing	o
diverso	ADJ.Masc.Sing	diverso
,	PUNCT.Comma	,
não	ADV	não
excludente	ADJ.Fem.Sing	excludente
e	CCONJ	e
nem	ADV	nem
puramente	ADV	puramente
isolado	VERB.Part.Masc.Sing	isolar
.	PUNCT.Sent	.
No	ADP_DET.Masc.Sing	em_o
dia	NOUN.Masc.Sing	dia
a	ADP	a
dia	NOUN.Masc.Sing	dia
das	ADP_DET.Fem.Plur	de_o
nossas	DET.Fem.Plur	nosso
escolas	NOUN.Fem.Plur	escola
,	PUNCT.Comma	,
sejam	AUX.Fin.Plur	ser
elas	PRON.Fem.Plur	ele
de	ADP	de
atendimento	NOUN.Masc.Sing	atendimento
regular	ADJ.Masc.Sing	regular
,	PUNCT.Comma	,
especializado	VERB.Part.Masc.Sing	especializar
ou	CCONJ	ou
misto	NOUN.Masc.Sing	misto
das	ADP_DET.Fem.Plur	de_o
modalidades	NOUN.Fem.Plur	modalidade
,	PUNCT.Comma	,
estão	AUX.Fin.Plur	estar
postas	VERB.Part.Fem.Plur	pôr
as	DET.Fem.Plur	o
diferentes	ADJ.Fem.Plur	diferente
realidades	NOUN.Fem.Plur	realidade
de	ADP	de
nossos	DET.Masc.Plur	nosso
estudantes	NOUN.Masc.Plur	estudante
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Plur	que
se	PRON.Masc.Plur	se
entrecruzam	VERB.Fin.Plur	entrecruzar
e	CCONJ	e
nos	PRON.Masc.Plur	nós
desafiam	VERB.Fin.Plur	desafiar
a	ADP	a
ressignificar	VERB.Inf	ressignificar
práticas	NOUN.Fem.Plur	prática
educativas	ADJ.Fem.Plur	educativo
visando	VERB.Ger	visar
garantir	VERB.Inf	garantir
o	DET.Masc.Sing	o
direito	NOUN.Masc.Sing	direito
de	ADP	de
todos	PRON.Masc.Plur	todo
à	ADP_DET.Fem.Sing	a_o
educação	NOUN.Fem.Sing	educação
,	PUNCT.Comma	,
como	ADV	como
preconiza	VERB.Fin.Sing	preconizar
a	DET.Fem.Sing	o
Constituição	PROPN.Fem.Sing	Constituição
Federal	PROPN.Sing	Federal
Brasileira	PROPN.Sing	Brasileira
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
1988	NUM	1988
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Quando	ADV	quando
a	DET.Fem.Sing	o
escola	NOUN.Fem.Sing	escola
regular	ADJ.Fem.Sing	regular
,	PUNCT.Comma	,
indígena	ADJ.Fem.Sing	indígena
ou	CCONJ	ou
quilombola	NOUN.Masc.Sing	quilombola
tem	VERB.Fin.Sing	ter
em	ADP	em
seu	DET.Masc.Sing	seu
público	NOUN.Masc.Sing	público
estudantes	NOUN.Plur	estudante
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
especial	ADJ.Fem.Sing	especial
,	PUNCT.Comma	,
quando	ADV	quando
a	DET.Fem.Sing	o
EJA	NOUN.Fem.Sing	<unknown>
recebe	VERB.Fin.Sing	receber
também	ADV	também
o	DET.Masc.Sing	o
jovem	NOUN.Masc.Sing	jovem
em	ADP	em
privação	NOUN.Fem.Sing	privação
de	ADP	de
liberdade	NOUN.Fem.Sing	liberdade
na	ADP_DET.Fem.Sing	em_o
escola	NOUN.Fem.Sing	escola
,	PUNCT.Comma	,
quando	ADV	quando
crianças	NOUN.Fem.Plur	criança
e	CCONJ	e
jovens	ADJ.Masc.Plur	jovem
do	ADP_DET.Masc.Sing	de_o
campo	NOUN.Masc.Sing	campo
,	PUNCT.Comma	,
indígenas	NOUN.Masc.Plur	indígena
e	CCONJ	e
quilombolas	NOUN.Masc.Plur	quilombola
são	AUX.Fin.Plur	ser
atendidos	VERB.Part.Masc.Plur	atender
em	ADP	em
escolas	NOUN.Fem.Plur	escola
fora	ADV	fora
de	ADP	de
suas	DET.Fem.Plur	seu
comunidades	NOUN.Fem.Plur	comunidade
,	PUNCT.Comma	,
entre	ADP	entre
tantas	DET.Fem.Plur	tanto
outras	DET.Fem.Plur	outro
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
entrecruzamentos	NOUN.Masc.Plur	entrecruzamento
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
desafios	NOUN.Masc.Plur	desafio
do	ADP_DET.Masc.Sing	de_o
fazer	VERB.Inf	fazer
escolar	ADJ.Fem.Sing	escolar
se	SCONJ	se
ampliam	VERB.Fin.Plur	ampliar
e	CCONJ	e
reforçam	VERB.Fin.Plur	reforçar
ainda	ADV	ainda
mais	ADV	mais
a	DET.Fem.Sing	o
necessidade	NOUN.Fem.Sing	necessidade
de	ADP	de
uma	DET.Fem.Sing	um
postura	NOUN.Fem.Sing	postura
acolhedora	ADJ.Fem.Sing	acolhedor
e	CCONJ	e
inclusiva	ADJ.Fem.Sing	inclusivo
,	PUNCT.Comma	,
de	ADP	de
formação	NOUN.Fem.Sing	formação
continuada	VERB.Part.Fem.Sing	continuar
docente	ADJ.Masc.Sing	docente
e	CCONJ	e
de	ADP	de
políticas	NOUN.Fem.Plur	política
públicas	ADJ.Fem.Plur	público
que	PRON.Rel.Fem.Plur	que
deem	VERB.Fin.Plur	dar
sustentação	NOUN.Fem.Sing	sustentação
à	ADP_DET.Fem.Sing	a_o
melhoria	NOUN.Fem.Sing	melhoria
das	ADP_DET.Fem.Plur	de_o
condições	NOUN.Fem.Plur	condição
de	ADP	de
atendimento	NOUN.Masc.Sing	atendimento
escolar	ADJ.Masc.Sing	escolar
.	PUNCT.Sent	.
Ao	ADP_DET.Masc.Sing	a_o
mesmo	ADJ.Masc.Sing	mesmo
tempo	NOUN.Masc.Sing	tempo
,	PUNCT.Comma	,
há	VERB.Fin.Sing	haver
que	SCONJ	que
se	PRON	se
considerar	VERB.Inf.Sing	considerar
a	DET.Fem.Sing	o
luta	NOUN.Fem.Sing	luta
política	ADJ.Fem.Sing	político
pelo	ADP_DET.Masc.Sing	por_o
reconhecimento	NOUN.Masc.Sing	reconhecimento
e	CCONJ	e
fortalecimento	NOUN.Masc.Sing	fortalecimento
das	ADP_DET.Fem.Plur	de_o
modalidades	NOUN.Fem.Plur	modalidade
