##	PROPN.Masc.Sing	<unknown>
IV	PROPN.Sing	IV
.	PUNCT.Sent	.
ENSINO	NOUN.Masc.Sing	ensino
FUNDAMENTAL	ADJ.Masc.Sing	fundamental
O	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Fundamental	ADJ.Fem.Sing	fundamental
de	ADP	de
9	NUM	9
anos	NOUN.Masc.Plur	ano
resulta	VERB.Fin.Sing	resultar
da	ADP_DET.Fem.Sing	de_o
luta	NOUN.Fem.Sing	luta
pelo	ADP_DET.Masc.Sing	por_o
direito	NOUN.Masc.Sing	direito
à	ADP_DET.Fem.Sing	a_o
educação	NOUN.Fem.Sing	educação
de	ADP	de
qualidade	NOUN.Fem.Sing	qualidade
,	PUNCT.Comma	,
socialmente	ADV	socialmente
referenciada	VERB.Part.Fem.Sing	referenciar
,	PUNCT.Comma	,
e	CCONJ	e
objetiva	VERB.Fin.Sing	objetivar
a	DET.Fem.Sing	o
emancipação	NOUN.Fem.Sing	emancipação
do	ADP_DET.Masc.Sing	de_o
indivíduo	NOUN.Masc.Sing	indivíduo
e	CCONJ	e
a	DET.Fem.Sing	o
promoção	NOUN.Fem.Sing	promoção
da	ADP_DET.Fem.Sing	de_o
igualdade	NOUN.Fem.Sing	igualdade
social	ADJ.Fem.Sing	social
(	PUNCT.Par.Left	(
DCNG	PROPN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
2013	NUM	@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Para	ADP	para
tanto	ADV	tanto
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
universalização	NOUN.Fem.Sing	universalização
do	ADP_DET.Masc.Sing	de_o
acesso	NOUN.Masc.Sing	acesso
à	ADP_DET.Fem.Sing	a_o
escola	NOUN.Fem.Sing	escola
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
democratização	NOUN.Fem.Sing	democratização
do	ADP_DET.Masc.Sing	de_o
ensino	NOUN.Masc.Sing	ensino
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
valorização	NOUN.Fem.Sing	valorização
profissional	ADJ.Fem.Sing	profissional
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
engajamento	NOUN.Masc.Sing	engajamento
da	ADP_DET.Fem.Sing	de_o
sociedade	NOUN.Fem.Sing	sociedade
são	AUX.Fin.Plur	ser
condições	NOUN.Fem.Plur	condição
essenciais	ADJ.Fem.Plur	essencial
para	ADP	para
construção	NOUN.Fem.Sing	construção
de	ADP	de
um	DET.Masc.Sing	um
projeto	NOUN.Masc.Sing	projeto
