##	VERB.Fin.Sing	<unknown>
2.2	NUM	@card@
-	PUNCT.Hyphen	-
Os	PROPN.Masc.Plur	Os
Caminhos	PROPN.Sing	Caminhos
do	ADP_DET.Masc.Sing	de_o
Aprender	VERB.Inf	aprender
e	CCONJ	e
as	DET.Fem.Plur	o
Competências	NOUN.Fem.Plur	competência
Socioemocionais	VERB.Fin.Plur	Socioemocionar
O	DET.Masc.Sing	o
“	PUNCT.Quot	“
Relatório	NOUN.Masc.Sing	relatório
para	ADP	para
a	DET.Fem.Sing	o
UNESCO	PROPN.Fem.Sing	UNESCO
,	PUNCT.Comma	,
da	ADP_DET.Fem.Sing	de_o
Comissão	PROPN.Fem.Sing	Comissão
Internacional	PROPN.Sing	Internacional
Sobre	ADP	sobre
Educação	PROPN.Sing	Educação
para	ADP	para
o	DET.Masc.Sing	o
Século	PROPN.Masc.Sing	Século
XXI	ADJ.Masc.Sing	xxi
”	PUNCT.Quot	”
,	PUNCT.Comma	,
elaborado	VERB.Part.Masc.Sing	elaborar
em	ADP	em
1996	NUM	1996
,	PUNCT.Comma	,
apresenta	VERB.Fin.Sing	apresentar
quatro	NUM	quatro
pilares	NOUN.Masc.Plur	pilar
considerados	VERB.Part.Masc.Plur	considerar
essenciais	ADJ.Masc.Plur	essencial
para	ADP	para
que	SCONJ	que
“	PUNCT.Quot	“
a	DET.Fem.Sing	o
educação	NOUN.Fem.Sing	educação
apareça	VERB.Fin.Sing	aparecer
como	ADP	como
uma	DET.Fem.Sing	um
experiência	NOUN.Fem.Sing	experiência
global	ADJ.Fem.Sing	global
a	ADP	a
levar	VERB.Inf	levar
a	ADP	a
cabo	NOUN	cabo
ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
de	ADP	de
toda	DET.Fem.Sing	todo
a	DET.Fem.Sing	o
vida	NOUN.Fem.Sing	vida
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
plano	NOUN.Masc.Sing	plano
cognitivo	ADJ.Masc.Sing	cognitivo
prático	ADJ.Masc.Sing	prático
,	PUNCT.Comma	,
para	ADP	para
o	DET.Masc.Sing	o
indivíduo	NOUN.Masc.Sing	indivíduo
enquanto	ADP	enquanto
pessoa	NOUN.Fem.Sing	pessoa
e	CCONJ	e
membro	NOUN.Masc.Sing	membro
da	ADP_DET.Fem.Sing	de_o
sociedade	NOUN.Fem.Sing	sociedade
”	PUNCT.Quot	”
(	PUNCT.Par.Left	(
DELORS	PROPN.Masc.Sing	Delors
,	PUNCT.Comma	,
2002	NUM	2002
,	PUNCT.Comma	,
p.	NOUN.Fem.Sing	p.
89	NUM	89
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
trazendo	VERB.Ger	trazer
em	ADP	em
si	PRON.Sing	si
