3.3.2	NUM	@card@
.	PUNCT.Sent	.
Organização	NOUN.Fem.Sing	organização
da	ADP_DET.Fem.Sing	de_o
Ação	NOUN.Fem.Sing	ação
Pedagógica	ADJ.Fem.Sing	pedagógico
Ao	ADP_DET.Masc.Sing	a_o
professor	NOUN.Masc.Sing	professor
de	ADP	de
Educação	NOUN	educação
Infantil	ADJ.Masc.Sing	infantil
está	AUX.Fin.Sing	estar
posto	VERB.Part.Masc.Sing	pôr
o	DET.Masc.Sing	o
desafio	NOUN.Masc.Sing	desafio
de	ADP	de
se	PRON.Masc.Sing	se
permitir	VERB.Inf	permitir
aprender	VERB.Inf	aprender
e	CCONJ	e
desenvolver	VERB.Inf	desenvolver
na	ADP_DET.Fem.Sing	em_o
convivência	NOUN.Fem.Sing	convivência
diária	ADJ.Fem.Sing	diário
com	ADP	com
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
e	CCONJ	e
ter	VERB.Inf	ter
clareza	NOUN.Fem.Sing	clareza
de	ADP	de
que	SCONJ	que
seus	DET.Masc.Plur	seu
próprios	DET.Masc.Plur	próprio
repertórios	NOUN.Masc.Plur	repertório
irão	AUX.Fin.Plur	ir
influenciar	VERB.Inf	influenciar
de	ADP	de
maneira	NOUN.Fem.Sing	maneira
direta	ADJ.Fem.Sing	direto
na	ADP_DET.Fem.Sing	em_o
ampliação	NOUN.Fem.Sing	ampliação
dos	ADP_DET.Masc.Plur	de_o
repertórios	NOUN.Masc.Plur	repertório
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
sentido	NOUN.Masc.Sing	sentido
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
necessário	ADJ.Masc.Sing	necessário
que	SCONJ	que
rompa	VERB.Fin.Sing	romper
com	ADP	com
seus	DET.Masc.Plur	seu
próprios	ADJ.Masc.Plur	próprio
estereótipos	NOUN.Masc.Plur	estereótipo
,	PUNCT.Comma	,
desenvolva	VERB.Fin.Sing	desenvolver
e/ou	NOUN.Masc.Sing	e/ou
amplie	VERB.Fin.Sing	ampliar
sua	DET.Fem.Sing	seu
capacidade	NOUN.Fem.Sing	capacidade
expressiva	ADJ.Fem.Sing	expressivo
,	PUNCT.Comma	,
brinque	VERB.Fin.Sing	brincar
com	ADP	com
diferentes	DET.Masc.Plur	diferentes
materiais	NOUN.Masc.Plur	material
,	PUNCT.Comma	,
suportes	NOUN.Masc.Plur	suporte
,	PUNCT.Comma	,
instrumentos	NOUN.Masc.Plur	instrumento
musicais	ADJ.Masc.Plur	musical
,	PUNCT.Comma	,
ouça	VERB.Fin.Sing	ouvir
muitas	PRON.Fem.Plur	muito
e	CCONJ	e
diferentes	ADJ.Fem.Plur	diferente
músicas	NOUN.Fem.Plur	música
,	PUNCT.Comma	,
contemple	VERB.Fin.Sing	contemplar
obras	NOUN.Fem.Plur	obra
de	ADP	de
arte	NOUN.Fem.Sing	arte
,	PUNCT.Comma	,
visite	VERB.Fin.Sing	visitar
diversificados	VERB.Part.Masc.Plur	diversificar
espaços	NOUN.Masc.Plur	espaço
de	ADP	de
cultura	NOUN.Fem.Sing	cultura
,	PUNCT.Comma	,
assista	VERB.Fin.Sing	assistir
espetáculos	NOUN.Masc.Plur	espetáculo
,	PUNCT.Comma	,
leia	VERB.Fin.Sing	ler
,	PUNCT.Comma	,
se	PRON.Masc.Sing	se
permita	VERB.Fin.Sing	permitir
experimentar	VERB.Inf	experimentar
.	PUNCT.Sent	.
Também	ADV	também
é	AUX.Fin.Sing	ser
preciso	ADJ.Masc.Sing	preciso
fazer	VERB.Inf	fazer
mediações	NOUN.Fem.Plur	mediação
e	CCONJ	e
intervenções	NOUN.Fem.Plur	intervenção
que	PRON.Rel.Fem.Plur	que
oportunizem	VERB.Fin.Plur	<unknown>
a	DET.Fem.Sing	o
experimentação	NOUN.Fem.Sing	experimentação
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
expressão	NOUN.Fem.Sing	expressão
infantil	ADJ.Fem.Sing	infantil
,	PUNCT.Comma	,
bem	ADV	bem
como	ADP	como
a	DET.Fem.Sing	o
apropriação	NOUN.Fem.Sing	apropriação
por	ADP	por
parte	NOUN.Fem.Sing	parte
da	ADP_DET.Fem.Sing	de_o
criança	NOUN.Fem.Sing	criança
,	PUNCT.Comma	,
do	ADP_DET.Masc.Sing	de_o
patrimônio	NOUN.Masc.Sing	patrimônio
artístico	ADJ.Masc.Sing	artístico
e	CCONJ	e
cultural	ADJ.Masc.Sing	cultural
produzido	VERB.Part.Masc.Sing	produzir
pela	ADP_DET.Fem.Sing	por_o
humanidade	NOUN.Fem.Sing	humanidade
.	PUNCT.Sent	.
Ao	ADP_DET.Masc.Sing	a_o
professor	NOUN.Masc.Sing	professor
também	ADV	também
cabe	VERB.Fin.Sing	caber
ampliar	VERB.Inf	ampliar
os	DET.Masc.Plur	o
repertórios	NOUN.Masc.Plur	repertório
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
,	PUNCT.Comma	,
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
pressupõe	VERB.Fin.Sing	pressupor
saber	VERB.Inf	saber
quais	DET.Rel.Fem.Plur	qual
repertórios	NOUN.Masc.Plur	repertório
elas	PRON.Fem.Plur	ele
têm	VERB.Fin.Plur	ter
,	PUNCT.Comma	,
conhecer	VERB.Inf	conhecer
sua	DET.Fem.Sing	seu
realidade	NOUN.Fem.Sing	realidade
,	PUNCT.Comma	,
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
lhes	PRON.Plur	eles/elas
interessa	VERB.Fin.Sing	interessar
,	PUNCT.Comma	,
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
lhes	PRON.Plur	eles/elas
chama	VERB.Fin.Sing	chamar
a	DET.Fem.Sing	o
atenção	NOUN.Fem.Sing	atenção
.	PUNCT.Sent	.
É	AUX.Fin.Sing	ser
preciso	ADJ.Masc.Sing	preciso
então	ADV	então
saber	VERB.Inf	saber
:	PUNCT.Colon	:
Que	ADV	que
músicas	ADJ.Fem.Plur	músico
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
conhecem	VERB.Fin.Plur	conhecer
?	PUNCT.Sent	?
Quais	PRON.Int.Masc.Plur	qual
ouvem	VERB.Fin.Plur	ouvir
com	ADP	com
maior	ADJ.Fem.Sing	grande
frequência	NOUN.Fem.Sing	frequência
?	PUNCT.Sent	?
Quais	PRON.Int.Masc.Plur	qual
são	AUX.Fin.Plur	ser
seus	DET.Masc.Plur	seu
hábitos	NOUN.Masc.Plur	hábito
e	CCONJ	e
costumes	NOUN.Masc.Plur	costume
?	PUNCT.Sent	?
Elas	PRON.Fem.Plur	elas
já	ADV	já
visitaram	VERB.Fin.Plur	visitar
algum	DET.Masc.Sing	algum
espaço	NOUN.Masc.Sing	espaço
de	ADP	de
cultura	NOUN.Fem.Sing	cultura
?	PUNCT.Sent	?
Qual	INTJ	qual
?	PUNCT.Sent	?
Há	VERB.Fin.Sing	haver
algum	DET.Masc.Sing	algum
artista	NOUN.Masc.Sing	artista
em	ADP	em
suas	DET.Fem.Plur	seu
famílias	NOUN.Fem.Plur	família
?	PUNCT.Sent	?
Participam	VERB.Fin.Plur	participar
de	ADP	de
alguma	DET.Fem.Sing	algum
manifestação	NOUN.Fem.Sing	manifestação
cultural	ADJ.Fem.Sing	cultural
-	PUNCT.Hyphen	-
congada	NOUN.Fem.Sing	congada
,	PUNCT.Comma	,
folia	NOUN.Fem.Sing	folia
de	ADP	de
reis	NOUN.Masc.Plur	rei
,	PUNCT.Comma	,
capoeira	ADJ.Masc.Sing	capoeira
,	PUNCT.Comma	,
banda	NOUN.Fem.Sing	banda
de	ADP	de
música	NOUN.Fem.Sing	música
,	PUNCT.Comma	,
coral	NOUN.Masc.Sing	coral
,	PUNCT.Comma	,
grupo	NOUN.Masc.Sing	grupo
de	ADP	de
dança	NOUN.Fem.Sing	dança
,	PUNCT.Comma	,
de	ADP	de
teatro	NOUN.Masc.Sing	teatro
ou	CCONJ	ou
de	ADP	de
circo	NOUN.Masc.Sing	circo
?	PUNCT.Sent	?
A	DET.Fem.Sing	o
comunidade	NOUN.Fem.Sing	comunidade
da	ADP_DET.Fem.Sing	de_o
qual	PRON.Rel.Fem.Sing	qual
a	DET.Fem.Sing	o
instituição	NOUN.Fem.Sing	instituição
faz	VERB.Fin.Sing	fazer
parte	NOUN.Fem.Sing	parte
pode	AUX.Fin.Sing	poder
e	CCONJ	e
deve	AUX.Fin.Sing	dever
ser	AUX.Inf	ser
integrada	VERB.Part.Fem.Sing	integrar
ao	ADP_DET.Masc.Sing	a_o
processo	NOUN.Masc.Sing	processo
de	ADP	de
ampliação	NOUN.Fem.Sing	ampliação
de	ADP	de
repertório	NOUN.Masc.Sing	repertório
,	PUNCT.Comma	,
convidando	VERB.Ger	convidar
as	DET.Fem.Plur	o
