##	VERB.Fin.Sing	<unknown>
2	NUM	2
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
BNCC	PROPN.Fem.Sing	<unknown>
e	CCONJ	e
o	DET.Masc.Sing	o
Currículo	NOUN.Masc.Sing	currículo
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
Nas	ADP_DET	em_o
DCNEI	PROPN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2009	NUM	@card@
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
como	ADV	como
citado	VERB.Part.Masc.Sing	citar
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
currículo	NOUN.Masc.Sing	currículo
,	PUNCT.Comma	,
tendo	AUX.Ger	ter
como	ADP	como
pressuposto	NOUN.Masc.Sing	pressuposto
a	DET.Fem.Sing	o
criança	NOUN.Fem.Sing	criança
como	ADP	como
centro	NOUN.Masc.Sing	centro
do	ADP_DET.Masc.Sing	de_o
planejamento	NOUN.Masc.Sing	planejamento
curricular	ADJ.Masc.Sing	curricular
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
concebido	VERB.Part.Masc.Sing	conceber
como	ADP	como
um	DET.Masc.Sing	um
conjunto	NOUN.Masc.Sing	conjunto
de	ADP	de
práticas	NOUN.Fem.Plur	prática
que	PRON.Rel.Fem.Plur	que
deve	AUX.Fin.Sing	dever
articular	VERB.Inf	articular
os	PRON.Masc.Plur	o
saberes	VERB.Fin.Sing	saber
e	CCONJ	e
as	DET.Fem.Plur	o
vivências	NOUN.Fem.Plur	vivência
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
com	ADP	com
os	DET.Masc.Plur	o
conhecimentos	NOUN.Masc.Plur	conhecimento
produzidos	VERB.Part.Masc.Plur	produzir
ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
da	ADP_DET.Fem.Sing	de_o
humanidade	NOUN.Fem.Sing	humanidade
,	PUNCT.Comma	,
categorizados	VERB.Part.Masc.Plur	categorizar
,	PUNCT.Comma	,
conforme	ADV	conforme
citado	VERB.Part.Masc.Sing	citar
,	PUNCT.Comma	,
em	ADP	em
científico	ADJ.Masc.Sing	científico
,	PUNCT.Comma	,
tecnológico	ADJ.Masc.Sing	tecnológico
,	PUNCT.Comma	,
ambiental	ADJ.Masc.Sing	ambiental
,	PUNCT.Comma	,
artístico	ADJ.Masc.Sing	artístico
e	CCONJ	e
cultural	ADJ.Masc.Sing	cultural
,	PUNCT.Comma	,
sendo	AUX.Ger	ser
os	DET.Masc.Plur	o
seus	DET.Masc.Plur	seu
eixos	NOUN.Masc.Plur	eixo
estruturantes	ADJ.Masc.Plur	estruturante
as	DET.Fem.Plur	o
brincadeiras	NOUN.Fem.Plur	brincadeira
e	CCONJ	e
as	DET.Fem.Plur	o
interações	NOUN.Fem.Plur	interação
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
desafio	NOUN.Masc.Sing	desafio
que	PRON.Rel.Masc.Sing	que
se	PRON	se
apresenta	VERB.Fin.Sing	apresentar
para	ADP	para
a	DET.Fem.Sing	o
efetivação	NOUN.Fem.Sing	efetivação
desse	ADP_DET.Masc.Sing	de_esse
currículo	NOUN.Masc.Sing	currículo
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
cotidiano	ADJ.Masc.Sing	cotidiano
das	ADP_DET.Fem.Plur	de_o
instituições	NOUN.Fem.Plur	instituição
educacionais	ADJ.Fem.Plur	educacional
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
o	PRON.Masc.Sing	o
da	ADP_DET.Fem.Sing	de_o
organização	NOUN.Fem.Sing	organização
da	ADP_DET.Fem.Sing	de_o
ação	NOUN.Fem.Sing	ação
pedagógica	ADJ.Fem.Sing	pedagógico
considerando	VERB.Ger	considerar
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
é	AUX.Fin.Sing	ser
próprio	ADJ.Masc.Sing	próprio
da	ADP_DET.Fem.Sing	de_o
criança	NOUN.Fem.Sing	criança
no	ADP_DET.Masc.Sing	em_o
sentido	NOUN.Masc.Sing	sentido
do	ADP_DET.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
ela	PRON.Fem.Sing	ela
já	ADV	já
sabe	VERB.Fin.Sing	saber
,	PUNCT.Comma	,
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
ela	PRON.Fem.Sing	ela
questiona	VERB.Fin.Sing	questionar
,	PUNCT.Comma	,
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
ela	PRON.Fem.Sing	ela
demonstra	VERB.Fin.Sing	demonstrar
querer	VERB.Inf	querer
conhecer	VERB.Inf	conhecer
,	PUNCT.Comma	,
descobrir	VERB.Inf	descobrir
,	PUNCT.Comma	,
explorar	VERB.Inf	explorar
,	PUNCT.Comma	,
experimentar	VERB.Inf	experimentar
e	CCONJ	e
sua	DET.Fem.Sing	seu
relação	NOUN.Fem.Sing	relação
com	ADP	com
os	DET.Masc.Plur	o
conhecimentos	NOUN.Masc.Plur	conhecimento
do	ADP_DET.Masc.Sing	de_o
patrimônio	NOUN.Masc.Sing	patrimônio
da	ADP_DET.Fem.Sing	de_o
humanidade	NOUN.Fem.Sing	humanidade
.	PUNCT.Sent	.
Equacionar	VERB.Inf	equacionar
essas	DET.Fem.Plur	esse
duas	NUM	dois
dimensões	NOUN.Fem.Plur	dimensão
é	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
tarefa	NOUN.Fem.Sing	tarefa
complexa	ADJ.Fem.Sing	complexo
,	PUNCT.Comma	,
que	PRON.Rel.Fem.Sing	que
pressupõe	VERB.Fin.Sing	pressupor
mudança	NOUN.Fem.Sing	mudança
de	ADP	de
paradigmas	NOUN.Masc.Plur	paradigma
,	PUNCT.Comma	,
de	ADP	de
concepções	NOUN.Fem.Plur	concepção
e	CCONJ	e
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
é	AUX.Fin.Sing	ser
ser	AUX.Inf	ser
professor(a)	ADJ.Masc.Sing	<unknown>
de	ADP	de
crianças	NOUN.Fem.Plur	criança
de	ADP	de
0	NUM	0
(	PUNCT.Par.Left	(
zero	NUM	zero
)	PUNCT.Par.Right	)
a	ADP	a
5	NUM	5
(	PUNCT.Par.Left	(
cinco	NUM	cinco
)	PUNCT.Par.Right	)
anos	NOUN.Masc.Plur	ano
de	ADP	de
idade	NOUN.Fem.Sing	idade
,	PUNCT.Comma	,
como	ADV	como
mencionado	VERB.Part.Masc.Sing	mencionar
.	PUNCT.Sent	.
Na	ADP_DET.Fem.Sing	em_o
BNCC	PROPN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2017	NUM	@card@
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
essa	DET.Fem.Sing	esse
concepção	NOUN.Fem.Sing	concepção
de	ADP	de
currículo	NOUN.Masc.Sing	currículo
é	AUX.Fin.Sing	ser
reafirmada	VERB.Part.Fem.Sing	reafirmar
,	PUNCT.Comma	,
ao	ADP_DET.Masc.Sing	a_o
apresentar	VERB.Inf	apresentar
uma	DET.Fem.Sing	um
organização	NOUN.Fem.Sing	organização
curricular	ADJ.Fem.Sing	curricular
específica	ADJ.Fem.Sing	específico
para	ADP	para
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
com	ADP	com
intuito	NOUN.Masc.Sing	intuito
de	ADP	de
orientar	VERB.Inf	orientar
os	DET.Masc.Plur	o
sistemas	NOUN.Masc.Plur	sistema
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
instituições	NOUN.Fem.Plur	instituição
educacionais	ADJ.Fem.Plur	educacional
,	PUNCT.Comma	,
sejam	AUX.Fin.Plur	ser
públicas	ADJ.Fem.Plur	público
ou	CCONJ	ou
privadas	ADJ.Fem.Plur	privado
,	PUNCT.Comma	,
e	CCONJ	e
o	DET.Masc.Sing	o
trabalho	NOUN.Masc.Sing	trabalho
do(a)	ADJ.Masc.Sing	<unknown>
professor(a)	VERB.Fin.Sing	<unknown>
,	PUNCT.Comma	,
para	ADP	para
que	PRON.Rel.Masc.Plur	que
respeitem	VERB.Fin.Plur	respeitar
as	DET.Fem.Plur	o
singularidades	NOUN.Fem.Plur	singularidade
das	ADP_DET.Fem.Plur	de_o
infâncias	NOUN.Fem.Plur	infância
e	CCONJ	e
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
,	PUNCT.Comma	,
considerando	VERB.Ger	considerar
os	DET.Masc.Plur	o
seus	DET.Masc.Plur	seu
modos	NOUN.Masc.Plur	modo
próprios	ADJ.Masc.Plur	próprio
de	ADP	de
aprender	VERB.Inf	aprender
e	CCONJ	e
de	ADP	de
agir	VERB.Inf	agir
no	ADP_DET.Masc.Sing	em_o
mundo	NOUN.Masc.Sing	mundo
.	PUNCT.Sent	.
Para	ADP	para
tanto	ADV	tanto
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
aprendizagens	NOUN.Fem.Plur	aprendizagem
essenciais	ADJ.Fem.Plur	essencial
,	PUNCT.Comma	,
que	PRON.Rel.Fem.Plur	que
devem	AUX.Fin.Plur	dever
ser	AUX.Inf	ser
garantidas	VERB.Part.Fem.Plur	garantir
às	ADP_DET.Fem.Plur	a_o
crianças	NOUN.Fem.Plur	criança
,	PUNCT.Comma	,
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
a	DET.Fem.Sing	o
BNCC	PROPN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2017	NUM	@card@
)	PUNCT.Par.Right	)
e	CCONJ	e
reafirmadas	VERB.Part.Fem.Plur	reafirmar
nesse	ADP_DET.Masc.Sing	em_esse
Documento	NOUN.Masc.Sing	documento
,	PUNCT.Comma	,
estão	AUX.Fin.Plur	estar
organizadas	VERB.Part.Fem.Plur	organizar
em	ADP	em
direitos	NOUN.Masc.Plur	direito
de	ADP	de
aprendizagens	NOUN.Fem.Plur	aprendizagem
e	CCONJ	e
desenvolvimento¹²	VERB.Fin.Sing	<unknown>
,	PUNCT.Comma	,
em	ADP	em
campos	NOUN.Masc.Plur	campo
de	ADP	de
experiências	NOUN.Fem.Plur	experiência
que	PRON.Rel.Fem.Plur	que
se	PRON.Fem.Plur	se
desdobram	VERB.Fin.Plur	desdobrar
em	ADP	em
objetivos	NOUN.Masc.Plur	objetivo
de	ADP	de
aprendizagens	NOUN.Fem.Plur	aprendizagem
