###	VERB.Fin.Sing	<unknown>
Competências	NOUN.Fem.Plur	competência
específicas	ADJ.Fem.Plur	específico
do	ADP_DET.Masc.Sing	de_o
componente	NOUN.Masc.Sing	componente
As	DET.Fem.Plur	o
competências	NOUN.Fem.Plur	competência
específicas	ADJ.Fem.Plur	específico
de	ADP	de
Língua	PROPN.Sing	Língua
Inglesa	ADJ.Fem.Sing	inglês
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2017:246	NUM	@card@
)	PUNCT.Par.Right	)
para	ADP	para
o	DET.Sing	o
Ensino	NOUN.Sing	Ensino
Fundamental	ADJ.Fem.Sing	fundamental
estão	AUX.Fin.Plur	estar
articuladas	VERB.Part.Fem.Plur	articular
com	ADP	com
as	DET.Fem.Plur	o
10	NUM	10
competências	NOUN.Fem.Plur	competência
gerais	ADJ.Fem.Plur	geral
para	ADP	para
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Básica[^6	PROPN.Sing	<unknown>
]	PUNCT.Par.Right	_
–	PUNCT.Hyphen	-
segundo	ADP	segundo
a	DET.Fem.Sing	o
BNCC	PROPN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2017:9	NUM	@card@
)	PUNCT.Par.Right	)
–	PUNCT.Hyphen	-
e	CCONJ	e
,	PUNCT.Comma	,
ainda	ADV	ainda
,	PUNCT.Comma	,
com	ADP	com
as	DET.Fem.Plur	o
seis	NUM	seis
competências	NOUN.Fem.Plur	competência
específicas	ADJ.Fem.Plur	específico
da	ADP_DET.Fem.Sing	de_o
área	NOUN.Fem.Sing	área
de	ADP	de
Linguagens	NOUN.Fem.Plur	linguagem
,	PUNCT.Comma	,
que	PRON.Rel.Fem.Plur	que
fazem	VERB.Fin.Plur	fazer
parte	NOUN.Fem.Sing	parte
da	ADP_DET.Fem.Sing	de_o
BNCC	PROPN.Fem.Sing	<unknown>
.	PUNCT.Sent	.
Portanto	ADV	portanto
,	PUNCT.Comma	,
devem	AUX.Fin.Plur	dever
constar	VERB.Inf	constar
neste	ADP_DET.Masc.Sing	em_este
documento	NOUN.Masc.Sing	documento
.	PUNCT.Sent	.
São	AUX.Fin.Plur	ser
elas	PRON.Fem.Plur	ele
:	PUNCT.Colon	:
–	PUNCT.Hyphen	-
Identificar	VERB.Inf	identificar
o	DET.Masc.Sing	o
lugar	NOUN.Masc.Sing	lugar
de	ADP	de
si	NOUN	si
e	CCONJ	e
o	DET.Masc.Sing	o
do	ADP_DET.Masc.Sing	de_o
outro	NOUN.Masc.Sing	outro
em	ADP	em
um	DET.Masc.Sing	um
mundo	NOUN.Masc.Sing	mundo
plurilíngue	ADJ.Masc.Sing	plurilíngue
e	CCONJ	e
multicultural	ADJ.Masc.Sing	multicultural
,	PUNCT.Comma	,
refletindo	VERB.Ger	refletir
,	PUNCT.Comma	,
criticamente	ADV	criticamente
,	PUNCT.Comma	,
sobre	ADP	sobre
como	ADV	como
a	DET.Fem.Sing	o
aprendizagem	NOUN.Fem.Sing	aprendizagem
da	ADP_DET.Fem.Sing	de_o
língua	NOUN.Fem.Sing	língua
inglesa	ADJ.Fem.Sing	inglês
contribui	VERB.Fin.Sing	contribuir
para	ADP	para
a	DET.Fem.Sing	o
inserção	NOUN.Fem.Sing	inserção
dos	ADP_DET.Masc.Plur	de_o
sujeitos	NOUN.Masc.Plur	sujeito
no	ADP_DET.Masc.Sing	em_o
mundo	NOUN.Masc.Sing	mundo
globalizado	ADJ.Masc.Sing	globalizado
,	PUNCT.Comma	,
inclusive	ADV	inclusive
no	ADP_PRON.Masc.Sing	em_o
que	PRON.Rel.Masc.Sing	que
concerne	VERB.Fin.Sing	concernir
ao	ADP_DET.Masc.Sing	a_o
mundo	NOUN.Masc.Sing	mundo
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
desta	ADP_DET.Fem.Sing	de_este
competência	NOUN.Fem.Sing	competência
depende	VERB.Fin.Sing	depender
da	ADP_DET.Fem.Sing	de_o
proposição	NOUN.Fem.Sing	proposição
de	ADP	de
atividades	NOUN.Fem.Plur	atividade
de	ADP	de
investigação	NOUN.Fem.Sing	investigação
dos	ADP_DET.Masc.Plur	de_o
múltiplos	ADJ.Masc.Plur	múltiplo
espaços	NOUN.Masc.Plur	espaço
sociais	ADJ.Masc.Plur	social
existentes	ADJ.Masc.Plur	existente
em	ADP	em
diversas	DET.Fem.Plur	diversos
comunidades	NOUN.Fem.Plur	comunidade
humanas	ADJ.Fem.Plur	humano
que	PRON.Rel.Fem.Plur	que
falam	VERB.Fin.Plur	falar
o	DET.Masc.Sing	o
inglês	NOUN.Masc.Sing	inglês
,	PUNCT.Comma	,
envolvendo	VERB.Ger	envolver
várias	DET.Fem.Plur	várias
questões	NOUN.Fem.Plur	questão
de	ADP	de
ordem	NOUN.Fem.Sing	ordem
individual	ADJ.Fem.Sing	individual
e	CCONJ	e
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
inclusive	ADV	inclusive
dando	VERB.Ger	dar
ênfase	NOUN.Fem.Sing	ênfase
ao	ADP_DET.Masc.Sing	a_o
mundo	NOUN.Masc.Sing	mundo
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
como	ADP	como
parte	NOUN	parte
dos	ADP_DET.Masc.Plur	de_o
projetos	NOUN.Masc.Plur	projeto
de	ADP	de
vida	NOUN.Fem.Sing	vida
dos	ADP_DET.Masc.Plur	de_o
educandos	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Essas	DET.Fem.Plur	esse
pesquisas	NOUN.Fem.Plur	pesquisa
devem	AUX.Fin.Plur	dever
gerar	VERB.Inf	gerar
comparações	NOUN.Fem.Plur	comparação
com	ADP	com
as	DET.Fem.Plur	o
realidades	NOUN.Fem.Plur	realidade
dos	ADP_DET.Masc.Plur	de_o
educandos	ADJ.Masc.Plur	<unknown>
e	CCONJ	e
,	PUNCT.Comma	,
ainda	ADV	ainda
,	PUNCT.Comma	,
devem	AUX.Fin.Plur	dever
ser	AUX.Inf	ser
balizadas	VERB.Part.Fem.Plur	balizar
no	ADP_DET.Masc.Sing	em_o
cultivo	NOUN.Masc.Sing	cultivo
de	ADP	de
valores	NOUN.Masc.Plur	valor
universais	ADJ.Masc.Plur	universal
,	PUNCT.Comma	,
como	ADP	como
respeito	NOUN.Masc.Sing	respeito
e	CCONJ	e
cooperação	NOUN.Fem.Sing	cooperação
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
quais	PRON.Rel.Masc.Plur	qual
reforçam	VERB.Fin.Plur	reforçar
a	DET.Fem.Sing	o
importância	NOUN.Fem.Sing	importância
do	ADP_DET.Masc.Sing	de_o
conviver	VERB.Inf	conviver
harmoniosamente	ADV	harmoniosamente
,	PUNCT.Comma	,
como	ADP	como
parte	NOUN	parte
