###	VERB.Fin.Sing	<unknown>
7.3	NUM	@card@
Especificidades	NOUN.Fem.Plur	especificidade
do	ADP_DET.Masc.Sing	de_o
Componente	NOUN.Masc.Sing	componente
Curricular	ADJ.Masc.Sing	curricular
Educação	PROPN.Fem.Sing	Educação
Física	PROPN.Fem.Sing	Física
Reconhecer	VERB.Inf	reconhecer
a	DET.Fem.Sing	o
Cultura	NOUN.Fem.Sing	cultura
Corporal	ADJ.Fem.Sing	corporal
de	ADP	de
Movimentos	NOUN.Masc.Plur	movimento
como	ADP	como
objeto	NOUN.Masc.Sing	objeto
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Física	NOUN.Fem.Sing	física
escolar	ADJ.Fem.Sing	escolar
é	AUX.Fin.Sing	ser
explicitar	VERB.Inf	explicitar
uma	DET.Fem.Sing	um
concepção	NOUN.Fem.Sing	concepção
que	PRON.Rel.Fem.Sing	que
elege	VERB.Fin.Sing	eleger
o	DET.Masc.Sing	o
trabalho	NOUN.Masc.Sing	trabalho
com	ADP	com
a	DET.Fem.Sing	o
dimensão	NOUN.Fem.Sing	dimensão
da	ADP_DET.Fem.Sing	de_o
corporeidade	NOUN.Fem.Sing	corporeidade
humana	ADJ.Fem.Sing	humano
,	PUNCT.Comma	,
entendendo	VERB.Part	entender
-a	PRON.Fem.Sing	ela
,	PUNCT.Comma	,
portanto	ADV	portanto
,	PUNCT.Comma	,
como	ADP	como
fruto	NOUN.Masc.Sing	fruto
de	ADP	de
sua	DET.Fem.Sing	seu
constituição	NOUN.Fem.Sing	constituição
histórica	ADJ.Fem.Sing	histórico
,	PUNCT.Comma	,
sócio-política	ADJ.Fem.Sing	sócio-político
e	CCONJ	e
cultural	ADJ.Fem.Sing	cultural
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
sentido	NOUN.Masc.Sing	sentido
,	PUNCT.Comma	,
compreendendo	VERB.Part	compreender
o	DET.Masc.Sing	o
ser	NOUN.Masc.Sing	ser
humano	ADJ.Masc.Sing	humano
como	ADP	como
