##	VERB.Fin.Sing	<unknown>
6.2.2	NUM	@card@
Sujeitos	NOUN.Masc.Plur	sujeito
em	ADP	em
sua	DET.Fem.Sing	seu
ampla	ADJ.Fem.Sing	amplo
diversidade	NOUN.Fem.Sing	diversidade
e	CCONJ	e
territorialidade	NOUN.Fem.Sing	territorialidade
Como	ADV	como
afirma	VERB.Fin.Sing	afirmar
ARROYO	PROPN.Masc.Sing	Arroyo
&	PROPN.Sing	&
FERNANDES	PROPN.Sing	Fernandes
(	PUNCT.Par.Left	(
1999	NUM	1999
,	PUNCT.Comma	,
p.	NOUN.Fem.Sing	p.
21	NUM	21
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
experiência	NOUN.Fem.Sing	experiência
que	PRON.Rel.Fem.Sing	que
nos	ADP_DET.Masc.Plur	em_o
marca	NOUN	marca
a	ADP	a
todos	PRON.Masc.Plur	todo
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
a	DET.Fem.Sing	o
experiência	NOUN.Fem.Sing	experiência
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
,	PUNCT.Comma	,
da	ADP_DET.Fem.Sing	de_o
produção	NOUN.Fem.Sing	produção
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
ato	NOUN.Masc.Sing	ato
produtivo	ADJ.Masc.Sing	produtivo
que	PRON.Rel.Masc.Sing	que
nos	PRON.Plur	nós
produz	VERB.Fin.Sing	produzir
como	ADP	como
pessoas	NOUN.Fem.Plur	pessoa
.	PUNCT.Sent	.
A	ADP	a
partir	NOUN	partir
dessa	ADP_DET.Fem.Sing	de_esse
observação	NOUN.Fem.Sing	observação
,	PUNCT.Comma	,
podemos	AUX.Fin.Plur	poder
ir	VERB.Inf	ir
além	ADV	além
e	CCONJ	e
dizer	VERB.Inf	dizer
que	SCONJ	que
,	PUNCT.Comma	,
trabalhando	VERB.Ger	trabalhar
e	CCONJ	e
modificando	VERB.Part	modificar
a	DET.Fem.Sing	o
natureza	NOUN.Fem.Sing	natureza
ao	ADP_DET.Masc.Sing	a_o
redor	NOUN.Masc.Sing	redor
,	PUNCT.Comma	,
produzimos	VERB.Fin.Plur	produzir
conhecimento	NOUN.Masc.Sing	conhecimento
acerca	ADV	acerca
da	ADP_DET.Fem.Sing	de_o
realidade	NOUN.Fem.Sing	realidade
circundante	ADJ.Fem.Sing	circundante
e	CCONJ	e
de	ADP	de
nós	NOUN.Masc.Plur	nó
mesmos	ADJ.Masc.Plur	mesmo
enquanto	ADP	enquanto
animais	NOUN.Masc.Plur	animal
políticos	ADJ.Masc.Plur	político
e	CCONJ	e
sociais	ADJ.Masc.Plur	social
.	PUNCT.Sent	.
Descobrindo	VERB.Part	descobrir
a	ADP	a
nós	NOUN.Masc.Plur	nó
mesmos	ADJ.Masc.Plur	mesmo
nesse	ADP_DET.Masc.Sing	em_esse
processo	NOUN.Masc.Sing	processo
,	PUNCT.Comma	,
acabamos	VERB.Fin.Plur	acabar
impelidos	VERB.Part.Masc.Plur	impelir
a	ADP	a
buscar	VERB.Inf	buscar
saber	VERB.Inf	saber
ainda	ADV	ainda
mais	ADV	mais
sobre	ADP	sobre
quem	PRON.Rel.Sing	quem
somos	AUX.Fin.Plur	ser
.	PUNCT.Sent	.
E	CCONJ	e
,	PUNCT.Comma	,
em	ADP	em
decorrência	NOUN.Fem.Sing	decorrência
da	ADP_DET.Fem.Sing	de_o
sistematização	NOUN.Fem.Sing	sistematização
desses	ADP_DET.Masc.Plur	de_esse
processos	NOUN.Masc.Plur	processo
investigativos	ADJ.Masc.Plur	investigativo
fundamentais	ADJ.Masc.Plur	fundamental
,	PUNCT.Comma	,
erigimos	VERB.Fin.Plur	erigir
a	DET.Fem.Sing	o
cultura	NOUN.Fem.Sing	cultura
e	CCONJ	e
a	DET.Fem.Sing	o
educação	NOUN.Fem.Sing	educação
como	ADP	como
traços	NOUN.Masc.Plur	traço
distintivos	ADJ.Masc.Plur	distintivo
da	ADP_DET.Fem.Sing	de_o
nossa	DET.Fem.Sing	nosso
espécie	NOUN.Fem.Sing	espécie
.	PUNCT.Sent	.
Enfim	ADV	enfim
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
educação	NOUN.Fem.Sing	educação
nos	PRON.Plur	nós
torna	VERB.Fin.Sing	tornar
quem	PRON.Rel.Sing	quem
somos	AUX.Fin.Plur	ser
,	PUNCT.Comma	,
pois	ADV	pois
para	ADP	para
ser	AUX.Inf	ser
homem	NOUN.Masc.Sing	homem
não	ADV	não
basta	VERB.Fin.Sing	bastar
nascer	VERB.Inf	nascer
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
preciso	ADJ.Masc.Sing	preciso
também	ADV	também
aprender	VERB.Inf	aprender
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
genética	NOUN.Fem.Sing	genético
nos	PRON.Plur	nós
predispõe	VERB.Fin.Sing	predispor
a	PRON.Fem.Sing	ela
chegarmos	VERB.Fin.Plur	chegar
a	ADP	a
ser	AUX.Inf	ser
humanos	ADJ.Masc.Plur	humano
,	PUNCT.Comma	,
porém	ADV	porém
só	ADV	só
por	ADP	por
meio	NOUN	meio
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
convivência	NOUN.Fem.Sing	convivência
social	ADJ.Fem.Sing	social
conseguimos	VERB.Fin.Plur	conseguir
