###	VERB.Fin.Sing	<unknown>
6.5.4	NUM	@card@
Ações	NOUN.Fem.Plur	ação
e	CCONJ	e
atividades	NOUN.Fem.Plur	atividade
práticas	ADJ.Fem.Plur	prático
específicas	ADJ.Fem.Plur	específico
Tendo	VERB.Ger	ter
em	ADP	em
vista	NOUN	vista
que	PRON.Rel.Masc.Sing	que
a	DET.Fem.Sing	o
perspectiva	NOUN.Fem.Sing	perspectiva
inclusiva	ADJ.Fem.Sing	inclusivo
aborda	VERB.Fin.Sing	abordar
o	DET.Masc.Sing	o
direito	NOUN.Masc.Sing	direito
de	ADP	de
acesso	NOUN.Masc.Sing	acesso
ao	ADP_DET.Masc.Sing	a_o
currículo	NOUN.Masc.Sing	currículo
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
ingresso	NOUN.Masc.Sing	ingresso
dos	ADP_DET.Masc.Plur	de_o
estudantes	NOUN.Masc.Plur	estudante
com	ADP	com
deficiência	NOUN.Fem.Sing	deficiência
nas	ADP_DET.Fem.Plur	em_o
escolas	NOUN.Fem.Plur	escola
comuns	ADJ.Fem.Plur	comum
demandou	VERB.Fin.Sing	demandar
um	DET.Masc.Sing	um
“	PUNCT.Quot	“
repensar	VERB.Inf	repensar
de	ADP	de
práticas	NOUN.Fem.Plur	prática
”	PUNCT.Quot	”
em	ADP	em
todo	DET.Masc.Sing	todo
o	DET.Masc.Sing	o
âmbito	NOUN.Masc.Sing	âmbito
pedagógico	ADJ.Masc.Sing	pedagógico
.	PUNCT.Sent	.
Por	ADP	por
isso	PRON.Masc.Sing	isso
,	PUNCT.Comma	,
uma	DET.Fem.Sing	um
prática	NOUN.Fem.Sing	prática
pedagógica	ADJ.Fem.Sing	pedagógico
que	PRON.Rel.Fem.Sing	que
se	PRON.Fem.Sing	se
reinventa	VERB.Fin.Sing	reinventar
a	ADP	a
cada	DET.Masc.Sing	cada
dia	NOUN.Masc.Sing	dia
,	PUNCT.Comma	,
recursos	NOUN.Masc.Plur	recurso
humanos	ADJ.Masc.Plur	humano
,	PUNCT.Comma	,
físicos	ADJ.Masc.Plur	físico
e	CCONJ	e
pedagógicos	ADJ.Masc.Plur	pedagógico
,	PUNCT.Comma	,
somados	VERB.Part.Masc.Plur	somar
às	ADP_DET.Fem.Plur	a_o
teorias	NOUN.Fem.Plur	teoria
já	ADV	já
existentes	ADJ.Fem.Plur	existente
,	PUNCT.Comma	,
constituem	VERB.Fin.Plur	constituir
-se	PRON.Masc.Plur	se
instrumentos	NOUN.Masc.Plur	instrumento
valiosos	ADJ.Masc.Plur	valioso
para	ADP	para
efetivar	VERB.Inf	efetivar
esse	DET.Masc.Sing	esse
acesso	NOUN.Masc.Sing	acesso
,	PUNCT.Comma	,
visando	VERB.Ger	visar
a	DET.Fem.Sing	o
uma	DET.Fem.Sing	um
aprendizagem	NOUN.Fem.Sing	aprendizagem
de	ADP	de
qualidade	NOUN.Fem.Sing	qualidade
e	CCONJ	e
ao	ADP_DET.Masc.Sing	a_o
rompimento	NOUN.Masc.Sing	rompimento
das	ADP_DET.Fem.Plur	de_o
barreiras	NOUN.Fem.Plur	barreira
que	PRON.Rel.Fem.Plur	que
podem	AUX.Fin.Plur	poder
obstruir	VERB.Inf	obstruir
sua	DET.Fem.Sing	seu
participação	NOUN.Fem.Sing	participação
plena	ADJ.Fem.Sing	pleno
e	CCONJ	e
efetiva	ADJ.Fem.Sing	efetivo
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
atendimento	NOUN.Masc.Sing	atendimento
às	ADP_DET.Fem.Plur	a_o
dificuldades	NOUN.Fem.Plur	dificuldade
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
desses	ADP_DET.Masc.Plur	de_esse
educandos	NOUN.Masc.Plur	<unknown>
necessitam	VERB.Fin.Plur	necessitar
de	ADP	de
adequação	NOUN.Fem.Sing	adequação
do	ADP_DET.Masc.Sing	de_o
currículo	NOUN.Masc.Sing	currículo
regular	ADJ.Masc.Sing	regular
.	PUNCT.Sent	.
Diante	ADV	diante
das	ADP_DET.Fem.Plur	de_o
necessidades	NOUN.Fem.Plur	necessidade
específicas	ADJ.Fem.Plur	específico
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Currículo	NOUN.Masc.Sing	currículo
Referência	NOUN.Fem.Sing	referência
oferece	VERB.Fin.Sing	oferecer
dinamismo	NOUN.Masc.Sing	dinamismo
e	CCONJ	e
permite	VERB.Fin.Sing	permitir
ao	ADP_DET.Masc.Sing	a_o
docente	NOUN.Masc.Sing	docente
ou	CCONJ	ou
à	ADP_DET.Fem.Sing	a_o
equipe	NOUN.Fem.Sing	equipe
pedagógica	ADJ.Fem.Sing	pedagógico
criar	VERB.Inf	criar
alternativas	NOUN.Fem.Plur	alternativa
e	CCONJ	e
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
as	DET.Fem.Plur	o
realidades	NOUN.Fem.Plur	realidade
específicas	ADJ.Fem.Plur	específico
de	ADP	de
cada	DET.Fem.Sing	cada
localidade	NOUN.Fem.Sing	localidade
e	CCONJ	e
situações	NOUN.Fem.Plur	situação
.	PUNCT.Sent	.
Além	ADV	além
disso	ADP_PRON.Masc.Sing	de_isso
,	PUNCT.Comma	,
ele	PRON.Masc.Sing	ele
permite	VERB.Fin.Sing	permitir
aos	ADP_DET.Masc.Plur	a_o
docentes	NOUN.Masc.Plur	docente
,	PUNCT.Comma	,
juntamente	ADV	juntamente
com	ADP	com
os	DET.Masc.Plur	o
gestores	NOUN.Masc.Plur	gestor
e	CCONJ	e
um	DET.Masc.Sing	um
PPP	NOUN.Masc.Sing	Ppp
democrático	ADJ.Masc.Sing	democrático
definirem	VERB.Inf.Plur	definir
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
os	DET.Masc.Plur	o
educandos	NOUN.Masc.Plur	<unknown>
devem	AUX.Fin.Plur	dever
aprender	VERB.Inf	aprender
,	PUNCT.Comma	,
como	ADV	como
e	CCONJ	e
quando	ADV	quando
aprender	VERB.Inf	aprender
e	CCONJ	e
que	SCONJ	que
forma	NOUN.Fem.Sing	forma
de	ADP	de
organização	NOUN.Fem.Sing	organização
do	ADP_DET.Masc.Sing	de_o
ensino	NOUN.Masc.Sing	ensino
atende	VERB.Fin.Sing	atendar
melhor	ADV	melhor
o	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
.	PUNCT.Sent	.
É	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
ressaltar	VERB.Inf	ressaltar
que	SCONJ	que
,	PUNCT.Comma	,
para	ADP	para
um	DET.Masc.Sing	um
melhor	ADJ.Masc.Sing	bom
aproveitamento	NOUN.Masc.Sing	aproveitamento
dos	ADP_DET.Masc.Plur	de_o
estudantes	NOUN.Masc.Plur	estudante
na	ADP_DET.Fem.Sing	em_o
Educação	PROPN.Fem.Sing	Educação
Especial	PROPN.Sing	Especial
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
necessário	ADJ.Masc.Sing	necessário
que	SCONJ	que
haja	VERB.Fin.Sing	haver
a	DET.Fem.Sing	o
participação	NOUN.Fem.Sing	participação
efetiva	ADJ.Fem.Sing	efetivo
dos	ADP_DET.Masc.Plur	de_o
educandos	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Para	ADP	para
que	SCONJ	que
isso	PRON.Masc.Sing	isso
aconteça	VERB.Fin.Sing	acontecer
é	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
a	DET.Fem.Sing	o
preparação	NOUN.Fem.Sing	preparação
e	CCONJ	e
a	DET.Fem.Sing	o
dedicação	NOUN.Fem.Sing	dedicação
da	ADP_DET.Fem.Sing	de_o
equipe	NOUN.Fem.Sing	equipe
de	ADP	de
educadores	NOUN.Masc.Plur	educador
e	CCONJ	e
docentes	NOUN.Masc.Plur	docente
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
apoio	NOUN.Masc.Sing	apoio
adequado	ADJ.Masc.Sing	adequado
,	PUNCT.Comma	,
recursos	NOUN.Masc.Plur	recurso
especializados	VERB.Part.Masc.Plur	especializar
e	CCONJ	e
acesso	NOUN.Masc.Sing	acesso
ao	ADP_DET.Masc.Sing	a_o
currículo	NOUN.Masc.Sing	currículo
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
currículo	NOUN.Masc.Sing	currículo
adequado	ADJ.Masc.Sing	adequado
à	ADP_DET.Fem.Sing	a_o
Educação	PROPN.Fem.Sing	Educação
Especial	PROPN.Sing	Especial
é	AUX.Fin.Sing	ser
aquele	PRON.Masc.Sing	aquele
que	PRON.Rel.Masc.Sing	que
atenda	VERB.Fin.Sing	atender
às	ADP_DET.Fem.Plur	a_o
necessidades	NOUN.Fem.Plur	necessidade
específicas	ADJ.Fem.Plur	específico
dos	ADP_DET.Masc.Plur	de_o
educandos	NOUN.Masc.Plur	<unknown>
,	PUNCT.Comma	,
estabelecendo	VERB.Ger	estabelecer
uma	DET.Fem.Sing	um
relação	NOUN.Fem.Sing	relação
entre	ADP	entre
essas	DET.Fem.Plur	esse
especificidades	NOUN.Fem.Plur	especificidade
e	CCONJ	e
a	DET.Fem.Sing	o
realidade	NOUN.Fem.Sing	realidade
curricular	ADJ.Fem.Sing	curricular
,	PUNCT.Comma	,
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
o	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
for	AUX.Fin.Sing	ser
planejado	VERB.Part	planejar
em	ADP	em
seu	DET.Masc.Sing	seu
Plano	PROPN.Masc.Sing	Plano
de	ADP	de
Desenvolvimento	PROPN.Sing	Desenvolvimento
Individual	NOUN.Masc.Sing	individual
(	PUNCT.Par.Left	(
PDI	PROPN.Masc.Sing	PDI
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Essa	PRON.Fem.Sing	esse
é	AUX.Fin.Sing	ser
a	DET.Fem.Sing	o
proposta	NOUN.Fem.Sing	proposta
do	ADP_DET.Masc.Sing	de_o
Currículo	NOUN.Masc.Sing	currículo
Referência	NOUN.Fem.Sing	referência
,	PUNCT.Comma	,
pois	SCONJ	pois
,	PUNCT.Comma	,
ao	ADP_DET.Masc.Sing	a_o
se	PRON.Masc.Sing	se
falar	VERB.Inf	falar
em	ADP	em
acesso	NOUN.Masc.Sing	acesso
ao	ADP_DET.Masc.Sing	a_o
currículo	NOUN.Masc.Sing	currículo
pelos	ADP_DET.Masc.Plur	por_o
estudantes	NOUN.Masc.Plur	estudante
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
especial	ADJ.Fem.Sing	especial
,	PUNCT.Comma	,
faz	VERB.Fin.Sing	fazer
-se	PRON.Masc.Sing	se
necessário	ADJ.Masc.Sing	necessário
abordar	VERB.Inf	abordar
,	PUNCT.Comma	,
também	ADV	também
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
flexibilização	NOUN.Fem.Sing	flexibilização
curricular	ADJ.Fem.Sing	curricular
,	PUNCT.Comma	,
uma	DET.Fem.Sing	um
vez	NOUN.Fem.Sing	vez
que	PRON.Rel.Fem.Sing	que
pressupõe	VERB.Fin.Sing	pressupor
respostas	NOUN.Fem.Plur	resposta
educativas	ADJ.Fem.Plur	educativo
que	PRON.Rel.Fem.Plur	que
vão	AUX.Fin.Plur	ir
ao	ADP_DET.Masc.Sing	a_o
encontro	NOUN.Masc.Sing	encontro
das	ADP_DET.Fem.Plur	de_o
necessidades	NOUN.Fem.Plur	necessidade
específicas	ADJ.Fem.Plur	específico
apresentadas	VERB.Part.Fem.Plur	apresentar
pelos	ADP_DET.Masc.Plur	por_o
estudantes	NOUN.Masc.Plur	estudante
com	ADP	com
deficiência	NOUN.Fem.Sing	deficiência
,	PUNCT.Comma	,
Transtornos	PROPN.Sing	Transtornos
Globais	ADJ.Fem.Plur	global
do	ADP_DET.Masc.Sing	de_o
Desenvolvimento	NOUN	desenvolvimento
e	CCONJ	e
Altas	ADJ.Fem.Plur	alto
Habilidades/Superdotação	NOUN.Fem.Sing	Habilidades/Superdotação
no	ADP_DET.Masc.Sing	em_o
ambiente	NOUN.Masc.Sing	ambiente
escolar	ADJ.Masc.Sing	escolar
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
sentido	NOUN.Masc.Sing	sentido
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
adaptações	NOUN.Fem.Plur	adaptação
curriculares	ADJ.Fem.Plur	curricular
se	PRON.Fem.Plur	se
tornam	VERB.Fin.Plur	tornar
uma	DET.Fem.Sing	um
possibilidade	NOUN.Fem.Sing	possibilidade
de	ADP	de
atender	VERB.Inf	atender
a	ADP	a
essas	DET.Fem.Plur	esse
necessidades	NOUN.Fem.Plur	necessidade
,	PUNCT.Comma	,
criando	VERB.Ger	criar
condições	NOUN.Fem.Plur	condição
para	ADP	para
a	DET.Fem.Sing	o
apreensão	NOUN.Fem.Sing	apreensão
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
e	CCONJ	e
inclusão	NOUN.Fem.Sing	inclusão
no	ADP_DET.Masc.Sing	em_o
processo	NOUN.Masc.Sing	processo
de	ADP	de
ensino/aprendizagem	NOUN.Fem.Sing	ensino/aprendizagem
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
de	ADP	de
flexibilização/adaptação	NOUN.Fem.Sing	flexibilização/adaptação
não	ADV	não
pode	AUX.Fin.Sing	poder
ser	AUX.Inf	ser
entendido	VERB.Part.Masc.Sing	entender
como	ADP	como
uma	DET.Fem.Sing	um
mera	ADJ.Fem.Sing	mero
modificação	NOUN.Fem.Sing	modificação
ou	CCONJ	ou
acréscimo	NOUN.Masc.Sing	acréscimo
de	ADP	de
atividades	NOUN.Fem.Plur	atividade
complementares	ADJ.Fem.Plur	complementar
na	ADP_DET.Fem.Sing	em_o
estrutura	NOUN.Fem.Sing	estrutura
curricular	ADJ.Fem.Sing	curricular
.	PUNCT.Sent	.
Ele	PRON.Masc.Sing	ele
exige	VERB.Fin.Sing	exigir
que	SCONJ	que
as	DET.Fem.Plur	o
mudanças	NOUN.Fem.Plur	mudança
na	ADP_DET.Fem.Sing	em_o
prática	NOUN.Fem.Sing	prática
pedagógica	ADJ.Fem.Sing	pedagógico
estejam	AUX.Fin.Plur	estar
em	ADP	em
consonância	NOUN.Fem.Sing	consonância
com	ADP	com
os	DET.Masc.Plur	o
princípios	NOUN.Masc.Plur	princípio
e	CCONJ	e
com	ADP	com
as	DET.Fem.Plur	o
diretrizes	NOUN.Fem.Plur	diretriz
do	ADP_DET.Masc.Sing	de_o
PPP	PROPN.Masc.Sing	PPP
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
perspectiva	NOUN.Fem.Sing	perspectiva
de	ADP	de
um	DET.Masc.Sing	um
ensino	NOUN.Masc.Sing	ensino
de	ADP	de
qualidade	NOUN.Fem.Sing	qualidade
para	ADP	para
todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
estudantes	NOUN.Masc.Plur	estudante
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
contexto	NOUN.Masc.Sing	contexto
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
adaptações	NOUN.Fem.Plur	adaptação
necessárias	ADJ.Fem.Plur	necessário
para	ADP	para
atender	VERB.Inf	atender
as	DET.Fem.Plur	o
necessidades	NOUN.Fem.Plur	necessidade
apresentadas	VERB.Part.Fem.Plur	apresentar
pelo	ADP_DET.Masc.Sing	por_o
público	NOUN.Masc.Sing	público
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
especial	ADJ.Sing	especial
perpassam	VERB.Fin.Plur	perpassar
pelos	ADP_DET.Masc.Plur	por_o
materiais	NOUN.Masc.Plur	material
,	PUNCT.Comma	,
objetivos	NOUN.Masc.Plur	objetivo
,	PUNCT.Comma	,
metodologias	NOUN.Fem.Plur	metodologia
,	PUNCT.Comma	,
conteúdos	NOUN.Masc.Plur	conteúdo
,	PUNCT.Comma	,
temporalidade	NOUN.Fem.Sing	temporalidade
e	CCONJ	e
avaliações	NOUN.Fem.Plur	avaliação
,	PUNCT.Comma	,
realizando	VERB.Part	realizar
-se	PRON.Masc.Sing	se
,	PUNCT.Comma	,
então	ADV	então
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
esfera	NOUN.Fem.Sing	esfera
do	ADP_DET.Masc.Sing	de_o
PPP	PROPN.Masc.Sing	PPP
,	PUNCT.Comma	,
da	ADP_DET.Fem.Sing	de_o
sala	NOUN.Fem.Sing	sala
de	ADP	de
aula	NOUN.Fem.Sing	aula
e	CCONJ	e
individualmente	ADV	individualmente
.	PUNCT.Sent	.
É	AUX.Fin.Sing	ser
primordial	ADJ.Masc.Sing	primordial
redirecionar	VERB.Inf	<unknown>
as	DET.Fem.Plur	o
práticas	NOUN.Fem.Plur	prática
pedagógicas	ADJ.Fem.Plur	pedagógico
visando	VERB.Ger	visar
ao	ADP_DET.Masc.Sing	a_o
