###	VERB.Fin.Sing	<unknown>
1.5.1	NUM	@card@
Desenvolvimento	NOUN	desenvolvimento
das	ADP_DET.Fem.Plur	de_o
competências	NOUN.Fem.Plur	competência
gerais	ADJ.Fem.Plur	geral
na	ADP_DET.Fem.Sing	em_o
etapa	NOUN.Fem.Sing	etapa
do	ADP_DET.Masc.Sing	de_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
As	DET.Fem.Plur	o
Dez	NUM	dez
Competências	NOUN.Fem.Plur	competência
Gerais	PROPN.Sing	Gerais
a	ADP	a
serem	AUX.Inf.Plur	ser
desenvolvidas	VERB.Part.Fem.Plur	desenvolver
pelos	ADP_DET.Masc.Plur	por_o
estudantes	NOUN.Masc.Plur	estudante
ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
apresentam	VERB.Fin.Plur	apresentar
uma	DET.Fem.Sing	um
inter-relação	NOUN.Fem.Sing	inter-relação
e	CCONJ	e
desdobram	VERB.Fin.Plur	desdobrar
-se	PRON.Masc.Plur	se
na	ADP_DET.Fem.Sing	em_o
ação	NOUN.Fem.Sing	ação
pedagógica	ADJ.Fem.Sing	pedagógico
,	PUNCT.Comma	,
“	PUNCT.Quot	“
articulando	VERB.Part	articular
-se	PRON.Masc.Sing	se
na	ADP_DET.Fem.Sing	em_o
construção	NOUN.Fem.Sing	construção
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
de	ADP	de
habilidades	NOUN.Fem.Plur	habilidade
e	CCONJ	e
na	ADP_DET.Fem.Sing	em_o
formação	NOUN.Fem.Sing	formação
de	ADP	de
atitudes	NOUN.Fem.Plur	atitude
e	CCONJ	e
valores	NOUN.Masc.Plur	valor
”	PUNCT.Quot	”
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
2018	NUM	@card@
,	PUNCT.Comma	,
p.8	NOUN.Masc.Sing	p@card@
)	PUNCT.Par.Right	)
essenciais	ADJ.Masc.Plur	essencial
para	ADP	para
a	DET.Fem.Sing	o
vida	NOUN.Fem.Sing	vida
no	ADP_DET.Masc.Sing	em_o
século	NOUN.Masc.Sing	século
XXI	ADJ.Masc.Sing	xxi
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
sentido	NOUN.Masc.Sing	sentido
,	PUNCT.Comma	,
de	ADP	de
forma	NOUN.Fem.Sing	forma
articulada	VERB.Part.Fem.Sing	articular
e	CCONJ	e
progressiva	ADJ.Fem.Sing	progressivo
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
propostas	NOUN.Fem.Plur	proposta
e	CCONJ	e
práticas	NOUN.Fem.Plur	prática
pedagógicas	ADJ.Fem.Plur	pedagógico
devem	AUX.Fin.Plur	dever
consubstanciar	VERB.Inf	consubstanciar
os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
e	CCONJ	e
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
entre	ADP	entre
as	DET.Fem.Plur	o
etapas	NOUN.Fem.Plur	etapa
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
de	ADP	de
forma	NOUN.Fem.Sing	forma
que	PRON.Rel.Fem.Sing	que
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
estudante	NOUN.Masc.Sing	estudante
possa	AUX.Fin.Sing	poder
ampliar	VERB.Inf	ampliar
e	CCONJ	e
aprofundar	VERB.Inf	aprofundar
os	DET.Masc.Plur	o
conhecimentos	NOUN.Masc.Plur	conhecimento
com	ADP	com
autonomia	NOUN.Fem.Sing	autonomia
,	PUNCT.Comma	,
responsabilidade	NOUN.Fem.Sing	responsabilidade
,	PUNCT.Comma	,
ética	NOUN.Fem.Sing	ética
e	CCONJ	e
consciência	NOUN.Fem.Sing	consciência
socioambiental	ADJ.Fem.Sing	socioambiental
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
Competência	NOUN.Fem.Sing	competência
2	NUM	2
refere	VERB.Fin.Sing	referir
-se	PRON.Masc.Sing	se
à	ADP_DET.Fem.Sing	a_o
criatividade	NOUN.Fem.Sing	criatividade
e	CCONJ	e
ao	ADP_DET.Masc.Sing	a_o
pensamento	NOUN.Masc.Sing	pensamento
científico	ADJ.Masc.Sing	científico
e	CCONJ	e
crítico	ADJ.Masc.Sing	crítico
e	CCONJ	e
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
âmbito	NOUN.Masc.Sing	âmbito
pedagógico	ADJ.Masc.Sing	pedagógico
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
articulações	NOUN.Fem.Plur	articulação
e	CCONJ	e
progressões	NOUN.Fem.Plur	progressão
devem	AUX.Fin.Plur	dever
propor	VERB.Inf	propor
exploração	NOUN.Fem.Sing	exploração
de	ADP	de
ideias	NOUN.Fem.Plur	ideia
e	CCONJ	e
suas	DET.Fem.Plur	seu
conexões	NOUN.Fem.Plur	conexão
,	PUNCT.Comma	,
criação	NOUN.Fem.Sing	criação
de	ADP	de
processos	NOUN.Masc.Plur	processo
de	ADP	de
investigação	NOUN.Fem.Sing	investigação
,	PUNCT.Comma	,
formulação	NOUN.Fem.Sing	formulação
e	CCONJ	e
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
de	ADP	de
hipóteses	NOUN.Fem.Plur	hipótese
,	PUNCT.Comma	,
análise	NOUN.Fem.Sing	análise
de	ADP	de
dados	NOUN.Masc.Plur	dado
,	PUNCT.Comma	,
lógica	ADJ.Fem.Sing	lógico
,	PUNCT.Comma	,
raciocínio	NOUN.Masc.Sing	raciocínio
,	PUNCT.Comma	,
avaliação	NOUN.Fem.Sing	avaliação
de	ADP	de
processos	NOUN.Masc.Plur	processo
cognitivos	ADJ.Masc.Plur	cognitivo
,	PUNCT.Comma	,
explicação	NOUN.Fem.Sing	explicação
de	ADP	de
evidências	NOUN.Fem.Plur	evidência
e	CCONJ	e
síntese	NOUN.Fem.Sing	síntese
.	PUNCT.Sent	.
Espera	VERB.Fin.Sing	esperar
-se	PRON	se
que	SCONJ	que
o	DET.Masc.Sing	o
estudante	NOUN.Masc.Sing	estudante
faça	VERB.Fin.Sing	fazer
conexões	NOUN.Fem.Plur	conexão
adequadas	ADJ.Fem.Plur	adequado
e	CCONJ	e
claras	ADJ.Fem.Plur	claro
entre	ADP	entre
as	DET.Fem.Plur	o
ideias	NOUN.Fem.Plur	ideia
mais	ADV	mais
amplas	ADJ.Fem.Plur	amplo
,	PUNCT.Comma	,
utilizando	VERB.Ger	utilizar
estratégias	NOUN.Fem.Plur	estratégia
ou	CCONJ	ou
caminhos	NOUN.Masc.Plur	caminho
diferentes	ADJ.Masc.Plur	diferente
,	PUNCT.Comma	,
dominando	VERB.Part	dominar
o	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
de	ADP	de
articulação	NOUN.Fem.Sing	articulação
entre	ADP	entre
as	DET.Fem.Plur	o
ideias	NOUN.Fem.Plur	ideia
mais	ADV	mais
complexas	ADJ.Fem.Plur	complexo
,	PUNCT.Comma	,
resolvendo	VERB.Part	resolver
situações	NOUN.Fem.Plur	situação
e	CCONJ	e
propondo	VERB.Ger	propor
soluções	NOUN.Fem.Plur	solução
criativas	ADJ.Fem.Plur	criativo
.	PUNCT.Sent	.
Espera	VERB.Fin.Sing	esperar
-se	PRON	se
que	SCONJ	que
ele	PRON.Masc.Sing	ele
elabore	VERB.Fin.Sing	elaborar
plano	NOUN.Masc.Sing	plano
de	ADP	de
investigação	NOUN.Fem.Sing	investigação
,	PUNCT.Comma	,
abordando	VERB.Part	abordar
vários	DET.Masc.Plur	vários
aspectos	NOUN.Masc.Plur	aspecto
a	ADP	a
serem	AUX.Inf.Plur	ser
analisados	VERB.Part.Masc.Plur	analisar
,	PUNCT.Comma	,
formulando	VERB.Part	formular
hipóteses	NOUN.Fem.Plur	hipótese
,	PUNCT.Comma	,
verificando	VERB.Part	verificar
-as	PRON.Fem.Plur	elas
com	ADP	com
os	DET.Masc.Plur	o
dados	NOUN.Masc.Plur	dado
analisados	VERB.Part.Masc.Plur	analisar
de	ADP	de
forma	NOUN.Fem.Sing	forma
científica	ADJ.Fem.Sing	científico
,	PUNCT.Comma	,
interpretando	VERB.Ger	interpretar
-os	PRON.Masc.Plur	eles
de	ADP	de
forma	NOUN.Fem.Sing	forma
coesa	ADJ.Fem.Sing	coeso
e	CCONJ	e
clara	ADJ.Fem.Sing	claro
,	PUNCT.Comma	,
com	ADP	com
a	DET.Fem.Sing	o
utilização	NOUN.Fem.Sing	utilização
de	ADP	de
diferentes	ADJ.Fem.Plur	diferente
estratégias	NOUN.Fem.Plur	estratégia
e	CCONJ	e
conceitos	NOUN.Masc.Plur	conceito
analíticos	ADJ.Masc.Plur	analítico
,	PUNCT.Comma	,
sendo	AUX.Ger	ser
capaz	ADJ.Masc.Sing	capaz
de	ADP	de
avaliar	VERB.Inf	avaliar
e	CCONJ	e
se	PRON.Fem.Sing	se
posicionar	VERB.Inf	posicionar
de	ADP	de
forma	NOUN.Fem.Sing	forma
científica	ADJ.Fem.Sing	científico
e	CCONJ	e
ética	ADJ.Fem.Sing	ético
,	PUNCT.Comma	,
explicando	VERB.Ger	explicar
as	DET.Fem.Plur	o
conclusões	NOUN.Fem.Plur	conclusão
lógicas	ADJ.Fem.Plur	lógico
geradas	VERB.Part.Fem.Plur	gerar
a	ADP	a
partir	NOUN	partir
da	ADP_DET.Fem.Sing	de_o
investigação	NOUN.Fem.Sing	investigação
.	PUNCT.Sent	.
Na	ADP_DET.Fem.Sing	em_o
Competência	NOUN.Fem.Sing	competência
3	NUM	3
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
abordagem	NOUN.Fem.Sing	abordagem
pedagógica	ADJ.Fem.Sing	pedagógico
,	PUNCT.Comma	,
com	ADP	com
foco	NOUN.Masc.Sing	foco
na	ADP_DET.Fem.Sing	em_o
progressão	NOUN.Fem.Sing	progressão
sistemática	ADJ.Fem.Sing	sistemático
e	CCONJ	e
articulada	VERB.Part.Fem.Sing	articular
,	PUNCT.Comma	,
pauta	VERB.Fin.Sing	pautar
-se	PRON.Masc.Sing	se
no	ADP_DET.Masc.Sing	em_o
repertório	NOUN.Masc.Sing	repertório
cultural	ADJ.Masc.Sing	cultural
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
identidade	NOUN.Fem.Sing	identidade
e	CCONJ	e
diversidade	NOUN.Fem.Sing	diversidade
cultural	ADJ.Fem.Sing	cultural
,	PUNCT.Comma	,
propiciando	VERB.Part	propiciar
ao	ADP_DET.Masc.Sing	a_o
estudante	NOUN.Masc.Sing	estudante
a	ADP	a
fruição	NOUN.Fem.Sing	fruição
e	CCONJ	e
participação	NOUN.Fem.Sing	participação
em	ADP	em
contextos	NOUN.Masc.Plur	contexto
artísticos	ADJ.Masc.Plur	artístico
e	CCONJ	e
culturais	ADJ.Masc.Plur	cultural
,	PUNCT.Comma	,
expressando	VERB.Part	expressar
sentimentos	NOUN.Masc.Plur	sentimento
e	CCONJ	e
experiências	NOUN.Fem.Plur	experiência
por	ADP	por
meio	NOUN	meio
das	ADP_DET.Fem.Plur	de_o
