##	VERB.Fin.Sing	<unknown>
2.7.2	NUM	@card@
Avaliação	PROPN.Sing	Avaliação
Institucional	PROPN.Sing	Institucional
A	DET.Sing	A
Avaliação	PROPN.Sing	Avaliação
Institucional	PROPN.Sing	Institucional
é	AUX.Fin.Sing	ser
um	DET.Masc.Sing	um
instrumento	NOUN.Masc.Sing	instrumento
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
do	ADP_DET.Masc.Sing	de_o
contexto	NOUN.Masc.Sing	contexto
e	CCONJ	e
das	ADP_DET.Fem.Plur	de_o
necessidades	NOUN.Fem.Plur	necessidade
da	ADP_DET.Fem.Sing	de_o
instituição	NOUN.Fem.Sing	instituição
escolar	ADJ.Fem.Sing	escolar
.	PUNCT.Sent	.
É	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
ferramenta	NOUN.Fem.Sing	ferramenta
de	ADP	de
acompanhamento	NOUN.Masc.Sing	acompanhamento
das	ADP_DET.Fem.Plur	de_o
atividades	NOUN.Fem.Plur	atividade
desenvolvidas	VERB.Part.Fem.Plur	desenvolver
em	ADP	em
instituições	NOUN.Fem.Plur	instituição
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
,	PUNCT.Comma	,
dentro	ADV	dentro
de	ADP	de
uma	DET.Fem.Sing	um
abordagem	NOUN.Fem.Sing	abordagem
construtiva	ADJ.Fem.Sing	construtivo
e	CCONJ	e
dialógica	ADJ.Fem.Sing	dialógico
.	PUNCT.Sent	.
Deve	AUX.Fin.Sing	dever
ter	AUX.Inf	ter
sempre	ADV	sempre
por	ADP	por
princípio	NOUN.Masc.Sing	princípio
a	DET.Fem.Sing	o
melhoria	NOUN.Fem.Sing	melhoria
contínua	ADJ.Fem.Sing	contínuo
dos	ADP_DET.Masc.Plur	de_o
processos	NOUN.Masc.Plur	processo
acadêmicos	ADJ.Masc.Plur	acadêmico
,	PUNCT.Comma	,
a	ADP	a
fim	NOUN.Masc.Sing	fim
de	ADP	de
instigar	VERB.Inf	instigar
a	DET.Fem.Sing	o
instituição	NOUN.Fem.Sing	instituição
no	ADP_DET.Masc.Sing	em_o
seu	DET.Masc.Sing	seu
percurso	NOUN.Masc.Sing	percurso
de	ADP	de
crescimento	NOUN.Masc.Sing	crescimento
e/ou	NOUN.Masc.Sing	e/ou
consolidação	NOUN.Fem.Sing	consolidação
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
exercício	NOUN.Masc.Sing	exercício
reflexivo	ADJ.Masc.Sing	reflexivo
de	ADP	de
Avaliação	PROPN.Sing	Avaliação
Institucional	PROPN.Sing	Institucional
tem	VERB.Fin.Sing	ter
o	DET.Masc.Sing	o
propósito	NOUN.Masc.Sing	propósito
de	ADP	de
revelar	VERB.Inf	revelar
as	DET.Fem.Plur	o
diferentes	ADJ.Fem.Plur	diferente
visões	NOUN.Fem.Plur	visão
dos	ADP_DET.Masc.Plur	de_o
segmentos	NOUN.Masc.Plur	segmento
da	ADP_DET.Fem.Sing	de_o
escola	NOUN.Fem.Sing	escola
e	CCONJ	e
fomentar	VERB.Inf	fomentar
as	DET.Fem.Plur	o
ações	NOUN.Fem.Plur	ação
desenvolvidas	VERB.Part.Fem.Plur	desenvolver
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
políticas	NOUN.Fem.Plur	política
que	PRON.Rel.Fem.Plur	que
fundamentam	VERB.Fin.Plur	fundamentar
as	DET.Fem.Plur	o
práticas	NOUN.Fem.Plur	prática
gestoras	ADJ.Fem.Plur	gestor
e	CCONJ	e
educativas	ADJ.Fem.Plur	educativo
e	CCONJ	e
as	DET.Fem.Plur	o
inter-relações	NOUN.Fem.Plur	inter-relação
existentes	ADJ.Fem.Plur	existente
para	ADP	para
que	SCONJ	que
sejam	AUX.Fin.Plur	ser
democráticas	ADJ.Fem.Plur	democrático
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
sentido	NOUN.Masc.Sing	sentido
,	PUNCT.Comma	,
Afonso	PROPN.Masc.Sing	Afonso
(	PUNCT.Par.Left	(
2005	NUM	@card@
)	PUNCT.Par.Right	)
defende	VERB.Fin.Sing	defender
a	ADP	a
Avaliação	NOUN	avaliação
Institucional	PROPN.Sing	Institucional
como	ADP	como
uma	DET.Fem.Sing	um
forma	NOUN.Fem.Sing	forma
de	ADP	de
as	DET.Fem.Plur	o
instituições	NOUN.Fem.Plur	instituição
se	PRON.Fem.Plur	se
conhecerem	VERB.Inf.Plur	conhecer
profundamente	ADV	profundamente
,	PUNCT.Comma	,
pois	SCONJ	pois
as	DET.Fem.Plur	o
especificidades	NOUN.Fem.Plur	especificidade
do	ADP_DET.Masc.Sing	de_o
contexto	NOUN.Masc.Sing	contexto
escolar	ADJ.Masc.Sing	escolar
tornam	VERB.Fin.Plur	tornar
difícil	ADJ.Masc.Sing	difícil
conhecer	VERB.Inf	conhecer
sua	DET.Fem.Sing	seu
organização	NOUN.Fem.Sing	organização
apenas	ADV	apenas
por	ADP	por
informações	NOUN.Fem.Plur	informação
advindas	VERB.Part.Fem.Plur	advir
de	ADP	de
avaliações	NOUN.Fem.Plur	avaliação
padronizadas	VERB.Part.Fem.Plur	padronizar
.	PUNCT.Sent	.
A	ADP	a
Avaliação	PROPN.Sing	Avaliação
Institucional	PROPN.Sing	Institucional
é	AUX.Fin.Sing	ser
um	DET.Masc.Sing	um
processo	NOUN.Masc.Sing	processo
planejado	VERB.Part.Masc.Sing	planejar
e	CCONJ	e
,	PUNCT.Comma	,
necessariamente	ADV	necessariamente
,	PUNCT.Comma	,
possui	VERB.Fin.Sing	possuir
uma	DET.Fem.Sing	um
coerência	NOUN.Fem.Sing	coerência
interna	ADJ.Fem.Sing	interno
que	PRON.Rel.Fem.Sing	que
possibilita	VERB.Fin.Sing	possibilitar
a	DET.Fem.Sing	o
articulação	NOUN.Fem.Sing	articulação
das	ADP_DET.Fem.Plur	de_o
informações	NOUN.Fem.Plur	informação
levantadas	VERB.Part.Fem.Plur	levantar
,	PUNCT.Comma	,
por	ADP	por
meio	NOUN	meio
de	ADP	de
metodologias	NOUN.Fem.Plur	metodologia
que	PRON.Rel.Fem.Plur	que
permitam	VERB.Fin.Plur	permitir
a	DET.Fem.Sing	o
cada	DET.Fem.Sing	cada
instituição	NOUN.Fem.Sing	instituição
conhecer	VERB.Inf	conhecer
e	CCONJ	e
avaliar	VERB.Inf	avaliar
o	DET.Masc.Sing	o
seu	DET.Masc.Sing	seu
desempenho	NOUN.Masc.Sing	desempenho
quantitativo	ADJ.Masc.Sing	quantitativo
e	CCONJ	e
qualitativo	ADJ.Masc.Sing	qualitativo
.	PUNCT.Sent	.
Essa	DET.Fem.Sing	esse
avaliação	NOUN.Fem.Sing	avaliação
ocorre	VERB.Fin.Sing	ocorrer
de	ADP	de
duas	NUM	dois
formas	NOUN.Fem.Plur	forma
:	PUNCT.Colon	:
-	PUNCT.Hyphen	-
**Avaliação	NOUN.Fem.Sing	**Avaliação
Institucional	PROPN.Sing	Institucional
Interna:**	PROPN.Sing	<unknown>
é	AUX.Fin.Sing	ser
o	DET.Masc.Sing	o
momento	NOUN.Masc.Sing	momento
em	ADP	em
que	PRON.Rel.Masc.Sing	que
a	DET.Fem.Sing	o
própria	ADJ.Fem.Sing	próprio
instituição	NOUN.Fem.Sing	instituição
volta	AUX.Fin.Sing	voltar
-se	PRON.Fem.Sing	se
para	ADP	para
o	DET.Masc.Sing	o
levantamento	NOUN.Masc.Sing	levantamento
da	ADP_DET.Fem.Sing	de_o
sua	DET.Fem.Sing	seu
realidade	NOUN.Fem.Sing	realidade
,	PUNCT.Comma	,
utilizando	VERB.Ger	utilizar
metodologias	NOUN.Fem.Plur	metodologia
e	CCONJ	e
instrumentos	NOUN.Masc.Plur	instrumento
que	PRON.Rel.Masc.Plur	que
possibilitem	VERB.Fin.Plur	possibilitar
uma	DET.Fem.Sing	um
análise	NOUN.Fem.Sing	análise
abrangente	ADJ.Fem.Sing	abrangente
e	CCONJ	e
profunda	ADJ.Fem.Sing	profundo
sobre	ADP	sobre
a	DET.Fem.Sing	o
sua	DET.Fem.Sing	seu
estrutura	NOUN.Fem.Sing	estrutura
institucional	ADJ.Fem.Sing	institucional
;	PUNCT.Semicolon	;
e	CCONJ	e
-	PUNCT.Hyphen	-
**Avaliação	NOUN.Fem.Sing	**Avaliação
Institucional	PROPN.Sing	Institucional
Externa:**	VERB.Fin.Sing	<unknown>
é	AUX.Fin.Sing	ser
o	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
realizado	VERB.Part.Masc.Sing	realizar
pela	ADP_DET.Fem.Sing	por_o
mantenedora	NOUN.Fem.Sing	mantenedor
,	PUNCT.Comma	,
com	ADP	com
olhar	NOUN.Masc.Sing	olhar
externo	ADJ.Masc.Sing	externo
para	ADP	para
a	DET.Fem.Sing	o
organização	NOUN.Fem.Sing	organização
,	PUNCT.Comma	,
ações	NOUN.Fem.Plur	ação
e	CCONJ	e
condições	NOUN.Fem.Plur	condição
das	ADP_DET.Fem.Plur	de_o
unidades	NOUN.Fem.Plur	unidade
escolares	ADJ.Fem.Plur	escolar
.	PUNCT.Sent	.
Em	ADP	em
Mato	PROPN.Masc.Sing	Mato
Grosso	PROPN.Sing	Grosso
do	ADP_DET.Masc.Sing	de_o
Sul	PROPN.Sing	Sul
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
Secretaria	PROPN.Fem.Sing	Secretaria
de	ADP	de
Estado	PROPN.Sing	Estado
de	ADP	de
Educação	PROPN.Sing	Educação
–	PUNCT.Hyphen	-
SED	PROPN.Masc.Sing	<unknown>
implantou	VERB.Fin.Sing	implantar
em	ADP	em
2001	NUM	@card@
a	ADP	a
Avaliação	PROPN.Sing	Avaliação
Institucional	PROPN.Sing	Institucional
Externa	ADJ.Fem.Sing	externo
de	ADP	de
Mato	PROPN.Masc.Sing	Mato
Grosso	PROPN.Sing	Grosso
do	ADP_DET.Masc.Sing	de_o
Sul	PROPN.Sing	Sul
–	PUNCT.Hyphen	-
AIEMS	PROPN.Fem.Sing	<unknown>
,	PUNCT.Comma	,
em	ADP	em
parceria	NOUN.Fem.Sing	parceria
com	ADP	com
o	DET.Masc.Sing	o
Conselho	PROPN.Masc.Sing	Conselho
Estadual	PROPN.Sing	Estadual
de	ADP	de
Educação	PROPN.Sing	Educação
,	PUNCT.Comma	,
com	ADP	com
base	NOUN	base
nas	ADP_DET.Fem.Plur	em_o
legislações	NOUN.Fem.Plur	legislação
nacional	ADJ.Fem.Sing	nacional
(	PUNCT.Par.Left	(
a	DET.Fem.Sing	o
Constituição	PROPN.Fem.Sing	Constituição
Federal	PROPN.Sing	Federal
,	PUNCT.Comma	,
de	ADP	de
1988	NUM	1988
e	CCONJ	e
a	DET.Fem.Sing	o
Lei	NOUN.Fem.Sing	lei
de	ADP	de
Diretrizes	NOUN.Fem.Plur	diretriz
e	CCONJ	e
Bases	PROPN.Sing	Bases
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Sing	Educação
,	PUNCT.Comma	,
de	ADP	de
1996	NUM	1996
)	PUNCT.Par.Right	)
e	CCONJ	e
estadual	ADJ.Masc.Sing	estadual
(	PUNCT.Par.Left	(
Lei	PROPN.Fem.Sing	Lei
de	ADP	de
Sistema	PROPN.Sing	Sistema
Estadual	PROPN.Sing	Estadual
de	ADP	de
Ensino	PROPN.Sing	Ensino
de	ADP	de
Mato	PROPN.Masc.Sing	Mato
Grosso	PROPN.Sing	Grosso
do	ADP_DET.Masc.Sing	de_o
Sul	PROPN.Sing	Sul
,	PUNCT.Comma	,
de	ADP	de
2003	NUM	2003
e	CCONJ	e
Deliberações	NOUN.Fem.Plur	deliberação
do	ADP_DET.Masc.Sing	de_o
Conselho	PROPN.Masc.Sing	Conselho
Estadual	PROPN.Sing	Estadual
de	ADP	de
Educação	PROPN.Sing	Educação
de	ADP	de
MS	PROPN.Masc.Sing	MS
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
AIEMS	PROPN.Fem.Sing	<unknown>
compreende	VERB.Fin.Sing	compreender
um	DET.Masc.Sing	um
amplo	ADJ.Masc.Sing	amplo
diagnóstico	NOUN.Masc.Sing	diagnóstico
da	ADP_DET.Fem.Sing	de_o
escola	NOUN.Fem.Sing	escola
a	ADP	a
partir	NOUN	partir
da	ADP_DET.Fem.Sing	de_o
percepção	NOUN.Fem.Sing	percepção
dos	ADP_DET.Masc.Plur	de_o
representantes	NOUN.Masc.Plur	representante
da	ADP_DET.Fem.Sing	de_o
comunidade	NOUN.Fem.Sing	comunidade
escolar	ADJ.Fem.Sing	escolar
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Plur	que
avaliam	VERB.Fin.Plur	avaliar
a	DET.Fem.Sing	o
gestão	NOUN.Fem.Sing	gestão
administrativa	ADJ.Fem.Sing	administrativo
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
processos	NOUN.Masc.Plur	processo
pedagógicos	ADJ.Masc.Plur	pedagógico
e	CCONJ	e
organizacionais	ADJ.Masc.Plur	organizacional
e	CCONJ	e
as	DET.Fem.Plur	o
condições	NOUN.Fem.Plur	condição
estruturais	ADJ.Fem.Plur	estrutural
da	ADP_DET.Fem.Sing	de_o
instituição	NOUN.Fem.Sing	instituição
,	PUNCT.Comma	,
com	ADP	com
o	DET.Masc.Sing	o
objetivo	NOUN.Masc.Sing	objetivo
de	ADP	de
gerar	VERB.Inf	gerar
informações	NOUN.Fem.Plur	informação
confiáveis	ADJ.Fem.Plur	confiável
,	PUNCT.Comma	,
primando	VERB.Part	primar
pela	ADP_DET.Fem.Sing	por_o
transparência	NOUN.Fem.Sing	transparência
dos	ADP_DET.Masc.Plur	de_o
trabalhos	NOUN.Masc.Plur	trabalho
desenvolvidos	VERB.Part.Masc.Plur	desenvolver
.	PUNCT.Sent	.
Os	DET.Masc.Plur	o
resultados	NOUN.Masc.Plur	resultado
gerados	VERB.Part.Masc.Plur	gerar
propiciam	VERB.Fin.Plur	propiciar
à	ADP_DET.Fem.Sing	a_o
SED/MS	PROPN.Fem.Sing	<unknown>
e	CCONJ	e
ao	ADP_DET.Masc.Sing	a_o
Conselho	PROPN.Masc.Sing	Conselho
Estadual	PROPN.Sing	Estadual
de	ADP	de
Educação	PROPN.Sing	Educação
suporte	NOUN.Masc.Sing	suporte
nas	ADP_DET.Fem.Plur	em_o
tomadas	NOUN.Fem.Plur	tomado
de	ADP	de
decisão	NOUN.Fem.Sing	decisão
dos	ADP_DET.Masc.Plur	de_o
gestores	NOUN.Masc.Plur	gestor
e	CCONJ	e
implantação	NOUN.Fem.Sing	implantação
e/ou	NOUN.Masc.Sing	e/ou
implementação	NOUN.Fem.Sing	implementação
de	ADP	de
ações	NOUN.Fem.Plur	ação
voltadas	VERB.Part.Fem.Plur	voltar
à	ADP_DET.Fem.Sing	a_o
qualidade	NOUN.Fem.Sing	qualidade
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
das	ADP_DET.Fem.Plur	de_o
unidades	NOUN.Fem.Plur	unidade
escolares	ADJ.Fem.Plur	escolar
pertencentes	ADJ.Fem.Plur	pertencente
ao	ADP_DET.Masc.Sing	a_o
Sistema	PROPN.Masc.Sing	Sistema
Estadual	PROPN.Sing	Estadual
de	ADP	de
Ensino	PROPN.Sing	Ensino
de	ADP	de
Mato	PROPN.Masc.Sing	Mato
Grosso	PROPN.Sing	Grosso
