###	VERB.Fin.Sing	<unknown>
1.4.4.3	NUM	@card@
.	PUNCT.Sent	.
Unidade	NOUN.Fem.Sing	unidade
Temática	ADJ.Fem.Sing	temático
de	ADP	de
Ginástica	NOUN.Fem.Sing	ginástica
A	DET.Fem.Sing	o
Ginástica	NOUN.Fem.Sing	ginástica
tem	VERB.Fin.Sing	ter
suas	DET.Fem.Plur	seu
origens	NOUN.Fem.Plur	origem
na	ADP_DET.Fem.Sing	em_o
cultura	NOUN.Fem.Sing	cultura
grega	ADJ.Fem.Sing	grego
antiga	ADJ.Fem.Sing	antigo
,	PUNCT.Comma	,
como	ADP	como
a	DET.Fem.Sing	o
arte	NOUN.Fem.Sing	arte
de	ADP	de
exercitar	VERB.Inf	exercitar
o	DET.Masc.Sing	o
corpo	NOUN.Masc.Sing	corpo
nu	ADJ.Masc.Sing	nu
.	PUNCT.Sent	.
Como	ADV	como
já	ADV	já
foi	AUX.Fin.Sing	ser
abordado	VERB.Part.Masc.Sing	abordar
anteriormente	ADV	anteriormente
,	PUNCT.Comma	,
houve	VERB.Fin.Sing	haver
uma	DET.Fem.Sing	um
influência	NOUN.Fem.Sing	influência
muito	ADV	muito
forte	ADJ.Fem.Sing	forte
dos	ADP_DET.Masc.Plur	de_o
métodos	NOUN.Masc.Plur	método
ginásticos	ADJ.Masc.Plur	ginástico
europeus	ADJ.Masc.Plur	europeu
nas	ADP_DET.Fem.Plur	em_o
primeiras	ADJ.Fem.Plur	primeiro
décadas	NOUN.Fem.Plur	década
do	ADP_DET.Masc.Sing	de_o
século	NOUN.Masc.Sing	século
passado	ADJ.Masc.Sing	passado
.	PUNCT.Sent	.
Atualmente	ADV	atualmente
,	PUNCT.Comma	,
pode	AUX.Fin.Sing	poder
-se	PRON	se
dizer	VERB.Inf	dizer
que	SCONJ	que
este	DET.Masc.Sing	este
conteúdo	NOUN.Masc.Sing	conteúdo
é	AUX.Fin.Sing	ser
pouco	DET.Masc.Sing	pouco
presente	NOUN.Masc.Sing	presente
nas	ADP_DET.Fem.Plur	em_o
aulas	NOUN.Fem.Plur	aula
de	ADP	de
Educação	NOUN	educação
Física	PROPN.Fem.Sing	Física
,	PUNCT.Comma	,
principalmente	ADV	principalmente
devido	ADV	devido
à	ADP_DET.Fem.Sing	a_o
falta	NOUN.Fem.Sing	falta
de	ADP	de
equipamentos	NOUN.Masc.Plur	equipamento
e	CCONJ	e
infraestrutura	NOUN.Fem.Sing	infraestrutura
específicos	ADJ.Masc.Plur	específico
