##	VERB.Fin.Sing	<unknown>
Introdução	NOUN.Fem.Sing	introdução
O	DET.Masc.Sing	o
Documento	NOUN.Masc.Sing	documento
de	ADP	de
Referência	NOUN.Fem.Sing	referência
Curricular	ADJ.Fem.Sing	curricular
para	ADP	para
Mato	PROPN.Masc.Sing	Mato
Grosso	PROPN.Sing	Grosso
–	PUNCT.Hyphen	-
Etapa	NOUN.Fem.Sing	etapa
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
(	PUNCT.Par.Left	(
DRC-MT-EM	PROPN.Masc.Sing	<unknown>
)	PUNCT.Par.Right	)
é	AUX.Fin.Sing	ser
proposto	VERB.Part.Masc.Sing	propor
na	ADP_DET.Fem.Sing	em_o
perspectiva	NOUN.Fem.Sing	perspectiva
de	ADP	de
contemplar	VERB.Inf	contemplar
as	DET.Fem.Plur	o
dimensões	NOUN.Fem.Plur	dimensão
de	ADP	de
ciência	NOUN.Fem.Sing	ciência
,	PUNCT.Comma	,
cultura	NOUN.Fem.Sing	cultura
,	PUNCT.Comma	,
trabalho	NOUN.Masc.Sing	trabalho
e	CCONJ	e
tecnologia	NOUN.Fem.Sing	tecnologia
,	PUNCT.Comma	,
a	ADP	a
partir	NOUN	partir
da	ADP_DET.Fem.Sing	de_o
flexibilização	NOUN.Fem.Sing	flexibilização
curricular	ADJ.Fem.Sing	curricular
,	PUNCT.Comma	,
com	ADP	com
vistas	NOUN.Fem.Plur	vista
à	ADP_DET.Fem.Sing	a_o
formação	NOUN.Fem.Sing	formação
integral	ADJ.Fem.Sing	integral
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
.	PUNCT.Sent	.
Ao	ADP_DET.Masc.Sing	a_o
considerar	VERB.Inf	considerar
as	DET.Fem.Plur	o
singularidades	NOUN.Fem.Plur	singularidade
e	CCONJ	e
diversidades	NOUN.Fem.Plur	diversidade
dessa	ADP_DET.Fem.Sing	de_esse
etapa	NOUN.Fem.Sing	etapa
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
,	PUNCT.Comma	,
visa	VERB.Fin.Sing	visar
contribuir	VERB.Inf	contribuir
com	ADP	com
a	DET.Fem.Sing	o
sociedade	NOUN.Fem.Sing	sociedade
na	ADP_DET.Fem.Sing	em_o
promoção	NOUN.Fem.Sing	promoção
da	ADP_DET.Fem.Sing	de_o
equidade	NOUN.Fem.Sing	equidade
social	ADJ.Fem.Sing	social
o	DET.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
abarca	VERB.Fin.Sing	abarcar
aspectos	NOUN.Masc.Plur	aspecto
de	ADP	de
justiça	NOUN.Fem.Sing	justiça
,	PUNCT.Comma	,
