###	VERB.Fin.Sing	<unknown>
7.10	NUM	@card@
O	PRON.Masc.Sing	o
que	PRON.Rel.Masc.Sing	que
se	PRON	se
espera	VERB.Fin.Sing	esperar
dos	ADP_DET.Masc.Plur	de_o
estudantes	NOUN.Masc.Plur	estudante
a	ADP	a
partir	NOUN	partir
das	ADP_DET.Fem.Plur	de_o
aprendizagens	NOUN.Fem.Plur	aprendizagem
em	ADP	em
CHSA	NOUN.Fem.Sing	<unknown>
Com	ADP	com
o	DET.Masc.Sing	o
aprofundamento	NOUN.Masc.Sing	aprofundamento
do	ADP_DET.Masc.Sing	de_o
estudo	NOUN.Masc.Sing	estudo
das	ADP_DET.Fem.Plur	de_o
Ciências	PROPN.Fem.Plur	Ciências
Humanas	ADJ.Fem.Plur	humano
e	CCONJ	e
Sociais	PROPN.Sing	Sociais
Aplicadas	VERB.Part.Fem.Plur	aplicar
,	PUNCT.Comma	,
espera	VERB.Fin.Sing	esperar
-se	PRON.Fem.Sing	se
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
de	ADP	de
cidadãos	NOUN.Masc.Plur	cidadão
que	PRON.Rel.Masc.Plur	que
sejam	AUX.Fin.Plur	ser
capazes	ADJ.Plur	capaz
de	ADP	de
serem	AUX.Inf.Plur	ser
protagonistas	NOUN.Masc.Plur	protagonista
no	ADP_DET.Masc.Sing	em_o
processo	NOUN.Masc.Sing	processo
educativo	ADJ.Masc.Sing	educativo
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Plur	que
saibam	VERB.Fin.Plur	saber
planejar	VERB.Inf	planejar
seu	DET.Masc.Sing	seu
projeto	NOUN.Masc.Sing	projeto
de	ADP	de
vida	NOUN.Fem.Sing	vida
,	PUNCT.Comma	,
responder	VERB.Inf	responder
aos	ADP_DET.Masc.Plur	a_o
desafios	NOUN.Masc.Plur	desafio
colocados	VERB.Part.Masc.Plur	colocar
pela	ADP_DET.Fem.Sing	por_o
vida	NOUN.Fem.Sing	vida
social	ADJ.Fem.Sing	social
e	CCONJ	e
exercer	VERB.Inf	exercer
a	DET.Fem.Sing	o
cidadania	NOUN.Fem.Sing	cidadania
