##	VERB.Fin.Sing	<unknown>
2.2.1	NUM	@card@
Direitos	PROPN.Sing	Direitos
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
e	CCONJ	e
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
no	ADP_DET.Masc.Sing	em_o
campo	NOUN.Masc.Sing	campo
de	ADP	de
experiências	NOUN.Fem.Plur	experiência
corpo	NOUN.Masc.Sing	corpo
,	PUNCT.Comma	,
gestos	NOUN.Masc.Plur	gesto
e	CCONJ	e
movimentos	NOUN.Masc.Plur	movimento
(	PUNCT.Par.Left	(
CG	PROPN.Masc.Sing	<unknown>
)	PUNCT.Par.Right	)
No	ADP_DET.Masc.Sing	em_o
campo	NOUN.Masc.Sing	campo
de	ADP	de
experiências	NOUN.Fem.Plur	experiência
corpo	NOUN.Masc.Sing	corpo
,	PUNCT.Comma	,
gestos	NOUN.Masc.Plur	gesto
e	CCONJ	e
movimentos	NOUN.Masc.Plur	movimento
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
podem	AUX.Fin.Plur	poder
ser	AUX.Inf	ser
assegurados	VERB.Part.Masc.Plur	assegurar
quando	ADV	quando
oportunizamos	VERB.Fin.Plur	<unknown>
às	ADP_DET.Fem.Plur	a_o
crianças	NOUN.Fem.Plur	criança
:	PUNCT.Colon	:
-	PUNCT.Hyphen	-
**CONVIVER**	VERB.Fin.Sing	<unknown>
com	ADP	com
crianças	NOUN.Fem.Plur	criança
e	CCONJ	e
adultos	NOUN.Masc.Plur	adulto
vivenciando	VERB.Part	vivenciar
aspectos	NOUN.Masc.Plur	aspecto
da	ADP_DET.Fem.Sing	de_o
cultura	NOUN.Fem.Sing	cultura
corporal	ADJ.Fem.Sing	corporal
nos	ADP_DET.Masc.Plur	em_o
cuidados	NOUN.Masc.Plur	cuidado
com	ADP	com
si	NOUN	si
e	CCONJ	e
nas	ADP_DET.Fem.Plur	em_o
diferentes	ADJ.Fem.Plur	diferente
representações	NOUN.Fem.Plur	representação
culturais	ADJ.Fem.Plur	cultural
(	PUNCT.Par.Left	(
dança	NOUN.Fem.Sing	dança
,	PUNCT.Comma	,
música	NOUN.Fem.Sing	música
,	PUNCT.Comma	,
teatro	NOUN.Masc.Sing	teatro
,	PUNCT.Comma	,
artes	NOUN.Fem.Plur	arte
circenses	ADJ.Fem.Plur	circense
,	PUNCT.Comma	,
escuta	NOUN.Fem.Sing	escuta
de	ADP	de
histórias	NOUN.Fem.Plur	história
e	CCONJ	e
brincadeiras	NOUN.Fem.Plur	brincadeira
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
**BRINCAR**	VERB.Fin.Sing	<unknown>
de	ADP	de
forma	NOUN.Fem.Sing	forma
criativa	ADJ.Fem.Sing	criativo
utilizando	VERB.Ger	utilizar
o	DET.Masc.Sing	o
repertório	NOUN.Masc.Sing	repertório
da	ADP_DET.Fem.Sing	de_o
cultura	NOUN.Fem.Sing	cultura
