###	VERB.Fin.Sing	<unknown>
3.2.5	NUM	@card@
Área	PROPN.Sing	Área
de	ADP	de
Conhecimento	NOUN.Masc.Sing	conhecimento
:	PUNCT.Colon	:
Ciências	PROPN.Fem.Plur	Ciências
da	ADP_DET.Fem.Sing	de_o
Natureza	NOUN.Fem.Sing	natureza
####	VERB.Fin.Sing	<unknown>
3.2.5.1	NUM	@card@
Componente	NOUN.Masc.Sing	componente
Curricular	ADJ.Masc.Sing	curricular
:	PUNCT.Colon	:
Ciências	PROPN.Fem.Plur	Ciências
O	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
de	ADP	de
Ciências	NOUN	ciência
no	ADP_DET.Masc.Sing	em_o
Brasil	PROPN.Masc.Sing	Brasil
no	ADP_DET.Masc.Sing	em_o
início	NOUN.Masc.Sing	início
do	ADP_DET.Masc.Sing	de_o
século	NOUN.Masc.Sing	século
XX	ADJ.Masc.Sing	xx
foi	AUX.Fin.Sing	ser
marcadamente	ADV	marcadamente
constituído	VERB.Part.Masc.Sing	constituir
pelos	ADP_DET.Masc.Plur	por_o
ideários	NOUN.Masc.Plur	ideário
positivistas	ADJ.Masc.Plur	positivista
e	CCONJ	e
deterministas	ADJ.Masc.Plur	determinista
segundo	ADP	segundo
os	DET.Masc.Plur	o
quais	DET.Rel.Masc.Plur	qual
a	DET.Fem.Sing	o
Ciência	NOUN.Fem.Sing	ciência
,	PUNCT.Comma	,
por	ADP	por
seu	DET.Masc.Sing	seu
caráter	NOUN.Masc.Sing	caráter
pragmático	ADJ.Masc.Sing	pragmático
e	CCONJ	e
utilitarista	ADJ.Masc.Sing	utilitarista
,	PUNCT.Comma	,
seria	AUX.Fin.Sing	ser
capaz	ADJ.Masc.Sing	capaz
de	ADP	de
promover	VERB.Inf	promover
o	DET.Masc.Sing	o
bem-estar	NOUN.Masc.Sing	bem-estar
social	ADJ.Masc.Sing	social
.	PUNCT.Sent	.
Como	ADP	como
todo	NOUN.Masc.Sing	todo
e	CCONJ	e
qualquer	DET.Masc.Sing	qualquer
fenômeno	NOUN.Masc.Sing	fenômeno
construído	VERB.Part.Masc.Sing	construir
sócio	NOUN.Masc.Sing	sócio
historicamente	ADV	historicamente
,	PUNCT.Comma	,
esse	DET.Masc.Sing	esse
campo	NOUN.Masc.Sing	campo
experimentou	VERB.Fin.Sing	experimentar
nas	ADP_DET.Fem.Plur	em_o
últimas	ADJ.Fem.Plur	último
décadas	NOUN.Fem.Plur	década
mudanças	NOUN.Fem.Plur	mudança
conceituais	ADJ.Fem.Plur	conceitual
e	CCONJ	e
