**Quadro	NOUN.Masc.Sing	<unknown>
15	NUM	15
:	PUNCT.Colon	:
Correlação	NOUN.Fem.Sing	correlação
entre	ADP	entre
as	DET.Fem.Plur	o
Categorias	NOUN.Fem.Plur	categoria
de	ADP	de
Área	PROPN.Sing	Área
e	CCONJ	e
as	DET.Fem.Plur	o
Competências	NOUN.Fem.Plur	competência
Específicas	ADJ.Fem.Plur	específico
da	ADP_DET.Fem.Sing	de_o
Área	PROPN.Sing	Área
de	ADP	de
Ciências	PROPN.Sing	Ciências
Humanas	ADJ.Fem.Plur	humano
e	CCONJ	e
Sociais	PROPN.Sing	Sociais
Aplicadas**	VERB.Fin.Sing	<unknown>
|	SYM	|
Categorias	NOUN.Fem.Plur	categoria
de	ADP	de
áreas	NOUN.Fem.Plur	área
|	SYM	|
Competências	NOUN.Fem.Plur	competência
específicas	ADJ.Fem.Plur	específico
da	ADP_DET.Fem.Sing	de_o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	PROPN.Fem.Plur	Ciências
Humanas	ADJ.Fem.Plur	humano
e	CCONJ	e
Sociais	PROPN.Sing	Sociais
Aplicadas	VERB.Part.Fem.Plur	aplicar
|	SYM	|
|---|---|	VERB.Fin.Sing	<unknown>
|	SYM	|
Tempo	PROPN.Sing	Tempo
e	CCONJ	e
Espaço	PROPN.Masc.Sing	Espaço
;	PUNCT.Semicolon	;
Território	PROPN.Sing	Território
e	CCONJ	e
Fronteira	NOUN.Fem.Sing	fronteira
;	PUNCT.Semicolon	;
Natureza	PROPN.Sing	Natureza
e	CCONJ	e
Cultura	PROPN.Sing	Cultura
;	PUNCT.Semicolon	;
Sociedade	PROPN.Fem.Sing	Sociedade
,	PUNCT.Comma	,
Indivíduo	NOUN.Masc.Sing	indivíduo
,	PUNCT.Comma	,
Identidade	NOUN.Fem.Sing	identidade
e	CCONJ	e
Interculturalidade	NOUN.Fem.Sing	Interculturalidade
;	PUNCT.Semicolon	;
Ética	PROPN.Fem.Sing	Ética
,	PUNCT.Comma	,
Política	PROPN.Fem.Sing	Política
e	CCONJ	e
Trabalho	PROPN.Sing	Trabalho
.	PUNCT.Sent	.
|	SYM	|
**Competência	NOUN.Fem.Sing	<unknown>
de	ADP	de
área	NOUN.Fem.Sing	área
1**	ADJ.Fem.Sing	<unknown>
-	PUNCT.Hyphen	-
Analisar	VERB.Inf	analisar
processos	NOUN.Masc.Plur	processo
políticos	ADJ.Masc.Plur	político
,	PUNCT.Comma	,
econômicos	ADJ.Masc.Plur	econômico
,	PUNCT.Comma	,
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
ambientais	ADJ.Fem.Plur	ambiental
e	CCONJ	e
culturais	ADJ.Fem.Plur	cultural
nos	ADP_DET.Masc.Plur	em_o
âmbitos	NOUN.Masc.Plur	âmbito
local	ADJ.Masc.Sing	local
,	PUNCT.Comma	,
regional	ADJ.Masc.Sing	regional
,	PUNCT.Comma	,
nacional	ADJ.Masc.Sing	nacional
e	CCONJ	e
mundial	ADJ.Masc.Sing	mundial
em	ADP	em
diferentes	DET.Masc.Plur	diferentes
tempos	NOUN.Masc.Plur	tempo
,	PUNCT.Comma	,
a	ADP	a
partir	NOUN	partir
da	ADP_DET.Fem.Sing	de_o
pluralidade	NOUN.Fem.Sing	pluralidade
de	ADP	de
procedimentos	NOUN.Masc.Plur	procedimento
epistemológicos	ADJ.Masc.Plur	epistemológico
,	PUNCT.Comma	,
científicos	ADJ.Masc.Plur	científico
e	CCONJ	e
tecnológicos	ADJ.Masc.Plur	tecnológico
.	PUNCT.Sent	.
<br>
<br>
**Competência	NOUN.Fem.Sing	<unknown>
de	ADP	de
área	NOUN.Fem.Sing	área
2**	NOUN.Masc.Sing	<unknown>
-	PUNCT.Hyphen	-
Analisar	VERB.Inf	analisar
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
de	ADP	de
territórios	NOUN.Masc.Plur	território
e	CCONJ	e
fronteiras	NOUN.Fem.Plur	fronteira
em	ADP	em
diferentes	DET.Masc.Plur	diferentes
tempos	NOUN.Masc.Plur	tempo
e	CCONJ	e
espaços	NOUN.Masc.Plur	espaço
,	PUNCT.Comma	,
mediante	ADP	mediante
a	DET.Fem.Sing	o
compreensão	NOUN.Fem.Sing	compreensão
dos	ADP_DET.Masc.Plur	de_o
processos	NOUN.Masc.Plur	processo
sociais	ADJ.Masc.Plur	social
,	PUNCT.Comma	,
políticos	ADJ.Masc.Plur	político
,	PUNCT.Comma	,
econômicos	ADJ.Masc.Plur	econômico
e	CCONJ	e
culturais	ADJ.Masc.Plur	cultural
geradores	NOUN.Masc.Plur	gerador
de	ADP	de
conflito	NOUN.Masc.Sing	conflito
e	CCONJ	e
