##	VERB.Fin.Sing	<unknown>
2.1.1	NUM	@card@
Respeito	NOUN.Masc.Sing	respeito
às	ADP_DET.Fem.Plur	a_o
Diversas	DET.Fem.Plur	diversos
Culturas	NOUN.Fem.Plur	cultura
Amazônicas	ADJ.Fem.Plur	amazônico
e	CCONJ	e
suas	DET.Fem.Plur	seu
Inter-Relações	NOUN.Fem.Plur	Inter-Relação
no	ADP_DET.Masc.Sing	em_o
Espaço	PROPN.Masc.Sing	Espaço
e	PROPN.Sing	e
no	ADP_DET.Masc.Sing	em_o
Tempo	PROPN.Sing	Tempo
No	ADP	no
que	PRON.Rel.Masc.Sing	que
diz	VERB.Fin.Sing	dizer
respeito	NOUN.Masc.Sing	respeito
às	ADP_DET.Fem.Plur	a_o
diferentes	ADJ.Fem.Plur	diferente
representações	NOUN.Fem.Plur	representação
e	CCONJ	e
concepções	NOUN.Fem.Plur	concepção
de	ADP	de
Amazônia	PROPN.Fem.Sing	Amazônia
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
se	SCONJ	se
considerar	VERB.Fin.Sing	considerar
que	SCONJ	que
nesta	ADP_DET.Fem.Sing	em_este
região	NOUN.Fem.Sing	região
existem	VERB.Fin.Plur	existir
várias	PRON.Fem.Plur	várias
“	PUNCT.Quot	“
Amazônias	PROPN.Masc.Sing	<unknown>
”	PUNCT.Quot	”
.	PUNCT.Sent	.
Todas	DET.Fem.Plur	todo
elas	PRON.Fem.Plur	ele
possuem	VERB.Fin.Plur	possuir
suas	DET.Fem.Plur	seu
especificidades	NOUN.Fem.Plur	especificidade
e	CCONJ	e
singularidades	NOUN.Fem.Plur	singularidade
,	PUNCT.Comma	,
sejam	AUX.Fin.Plur	ser
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
econômicas	ADJ.Fem.Plur	econômico
,	PUNCT.Comma	,
culturais	ADJ.Fem.Plur	cultural
,	PUNCT.Comma	,
territoriais	ADJ.Fem.Plur	territorial
,	PUNCT.Comma	,
políticas	ADJ.Fem.Plur	político
e	CCONJ	e
ambientais	ADJ.Fem.Plur	ambiental
,	PUNCT.Comma	,
isto	PRON.Masc.Sing	isto
é	VERB.Fin.Sing	ser
,	PUNCT.Comma	,
refletem	VERB.Fin.Plur	refletir
a	DET.Fem.Sing	o
interculturalidade	NOUN.Fem.Sing	interculturalidade
do	ADP_DET.Masc.Sing	de_o
estado	NOUN.Masc.Sing	estado
do	ADP_DET.Masc.Sing	de_o
Pará	PROPN.Masc.Sing	Pará
(	PUNCT.Par.Left	(
GONÇALVES	PROPN.Masc.Sing	Gonçalves
,	PUNCT.Comma	,
2012	NUM	@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
