##	VERB.Fin.Sing	<unknown>
7.1.7	NUM	@card@
Avaliação	NOUN	avaliação
A	DET.Fem.Sing	o
avaliação	NOUN.Fem.Sing	avaliação
exerce	VERB.Fin.Sing	exercer
um	DET.Masc.Sing	um
papel	NOUN.Masc.Sing	papel
indispensável	ADJ.Masc.Sing	indispensável
no	ADP_DET.Masc.Sing	em_o
ensino	NOUN.Masc.Sing	ensino
e	CCONJ	e
na	ADP_DET.Fem.Sing	em_o
aprendizagem	NOUN.Fem.Sing	aprendizagem
ao	ADP_DET.Masc.Sing	a_o
permitir	VERB.Inf	permitir
investigar	VERB.Inf	investigar
,	PUNCT.Comma	,
regular	ADJ.Fem.Sing	regular
,	PUNCT.Comma	,
refletir	VERB.Inf	refletir
e	CCONJ	e
fortalecer	VERB.Inf	fortalecer
o	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
.	PUNCT.Sent	.
Entretanto	ADV	entretanto
,	PUNCT.Comma	,
esse	DET.Masc.Sing	esse
papel	NOUN.Masc.Sing	papel
só	ADV	só
é	AUX.Fin.Sing	ser
alcançado	VERB.Part.Masc.Sing	alcançar
quando	ADV	quando
a	DET.Fem.Sing	o
avaliação	NOUN.Fem.Sing	avaliação
é	AUX.Fin.Sing	ser
concebida	VERB.Part.Fem.Sing	conceber
de	ADP	de
forma	NOUN.Fem.Sing	forma
intencional	ADJ.Fem.Sing	intencional
e	CCONJ	e
bem	ADV	bem
articulada	VERB.Part.Fem.Sing	articular
com	ADP	com
os	DET.Masc.Plur	o
princípios	NOUN.Masc.Plur	princípio
formativos	ADJ.Masc.Plur	formativo
de	ADP	de
apropriação	NOUN.Fem.Sing	apropriação
e	CCONJ	e
construção	NOUN.Fem.Sing	construção
de	ADP	de
conhecimentos	NOUN.Masc.Plur	conhecimento
.	PUNCT.Sent	.
Num	ADP_DET.Masc.Sing	em_um
sentido	NOUN.Masc.Sing	sentido
direto	ADJ.Masc.Sing	direto
,	PUNCT.Comma	,
em	ADP	em
sala	NOUN.Fem.Sing	sala
de	ADP	de
aula	NOUN.Fem.Sing	aula
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
professor	NOUN.Masc.Sing	professor
deve	AUX.Fin.Sing	dever
estar	AUX.Inf	estar
ciente	ADJ.Fem.Sing	ciente
das	ADP_DET.Fem.Plur	de_o
intencionalidades	NOUN.Fem.Plur	intencionalidade
e	CCONJ	e
finalidades	NOUN.Fem.Plur	finalidade
do	ADP_DET.Masc.Sing	de_o
processo	NOUN.Masc.Sing	processo
avaliativo	ADJ.Masc.Sing	avaliativo
,	PUNCT.Comma	,
assim	ADV	assim
como	ADP	como
fazer	VERB.Inf	fazer
escolhas	NOUN.Fem.Plur	escolha
de	ADP	de
instrumentos	NOUN.Masc.Plur	instrumento
avaliativos	ADJ.Masc.Plur	avaliativo
adequados	VERB.Part.Masc.Plur	adequar
,	PUNCT.Comma	,
e	CCONJ	e
reconhecer	VERB.Inf	reconhecer
esse	DET.Masc.Sing	esse
processo	NOUN.Masc.Sing	processo
como	ADV	como
norteador	ADJ.Masc.Sing	norteador
de	ADP	de
possíveis	ADJ.Masc.Plur	possível
ajustes	NOUN.Masc.Plur	ajuste
,	PUNCT.Comma	,
escolhas	NOUN.Fem.Plur	escolha
metodológicas	ADJ.Fem.Plur	metodológico
,	PUNCT.Comma	,
intervenções	NOUN.Fem.Plur	intervenção
didáticas	ADJ.Fem.Plur	didático
