##	VERB.Fin.Sing	<unknown>
2.1.3.5	NUM	@card@
Uma	DET.Fem.Sing	um
breve	ADJ.Fem.Sing	breve
discussão	NOUN.Fem.Sing	discussão
sobre	ADP	sobre
norma-padrão	NOUN.Masc.Sing	norma-padrão
e	CCONJ	e
norma	NOUN.Fem.Sing	norma
culta	ADJ.Fem.Sing	culto
Chamamos	VERB.Fin.Plur	chamar
atenção	NOUN.Fem.Sing	atenção
para	ADP	para
o	DET.Masc.Sing	o
conceito	NOUN.Masc.Sing	conceito
de	ADP	de
norma	NOUN.Fem.Sing	norma
.	PUNCT.Sent	.
Nos	ADP_DET.Masc.Plur	em_o
estudos	NOUN.Masc.Plur	estudo
da	ADP_DET.Fem.Sing	de_o
linguagem	NOUN.Fem.Sing	linguagem
verbal	ADJ.Fem.Sing	verbal
,	PUNCT.Comma	,
esse	DET.Masc.Sing	esse
termo	NOUN.Masc.Sing	termo
apresenta	VERB.Fin.Sing	apresentar
dois	NUM	dois
sentidos	NOUN.Masc.Plur	sentido
:	PUNCT.Colon	:
a	DET.Fem.Sing	o
)	PUNCT.Par.Right	)
um	DET.Masc.Sing	um
geral	ADJ.Masc.Sing	geral
(	PUNCT.Par.Left	(
equivale	VERB.Fin.Sing	equivaler
à	ADP_DET.Fem.Sing	a_o
variedade	NOUN.Fem.Sing	variedade
linguística	ADJ.Fem.Sing	linguístico
–	PUNCT.Hyphen	-
toda	DET.Fem.Sing	todo
e	CCONJ	e
qualquer	DET.Fem.Sing	qualquer
variedade	NOUN.Fem.Sing	variedade
linguística	ADJ.Fem.Sing	linguístico
)	PUNCT.Par.Right	)
e	CCONJ	e
b	NOUN.Masc.Sing	b
)	PUNCT.Par.Right	)
um	DET.Masc.Sing	um
específico	ADJ.Masc.Sing	específico
(	PUNCT.Par.Left	(
equivale	VERB.Fin.Sing	equivaler
a	ADP	a
um	DET.Masc.Sing	um
conjunto	NOUN.Masc.Sing	conjunto
de	ADP	de
preceitos	NOUN.Masc.Plur	preceito
que	PRON.Rel.Masc.Plur	que
definem	VERB.Fin.Plur	definir
o	DET.Masc.Sing	o
uso	NOUN.Masc.Sing	uso
socialmente	ADV	socialmente
prestigiado	VERB.Part.Masc.Sing	prestigiar
,	PUNCT.Comma	,
norma	NOUN.Fem.Sing	norma
normativa	ADJ.Fem.Sing	normativo
,	PUNCT.Comma	,
prescritiva	ADJ.Fem.Sing	prescritivo
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
“	PUNCT.Quot	“
norma	NOUN.Fem.Sing	norma
normativa	ADJ.Fem.Sing	normativo
”	PUNCT.Quot	”
busca	VERB.Fin.Sing	buscar
padronizar	VERB.Inf	padronizar
o	DET.Masc.Sing	o
uso	NOUN.Masc.Sing	uso
em	ADP	em
determinados	VERB.Part.Masc.Plur	determinar
contextos	NOUN.Masc.Plur	contexto
,	PUNCT.Comma	,
servindo	VERB.Ger	servir
de	ADP	de
parâmetro	NOUN.Masc.Sing	parâmetro
para	ADP	para
certos	DET.Masc.Plur	certos
usos	NOUN.Masc.Plur	uso
.	PUNCT.Sent	.
Em	ADP	em
geral	NOUN	geral
,	PUNCT.Comma	,
ela	PRON.Fem.Sing	ela
é	AUX.Fin.Sing	ser
adequada	VERB.Part.Fem.Sing	adequar
aos	ADP_DET.Masc.Plur	a_o
usos	NOUN.Masc.Plur	uso
mais	ADV	mais
formais	ADJ.Masc.Plur	formal
,	PUNCT.Comma	,
aos	ADP_DET.Masc.Plur	a_o
contextos	NOUN.Masc.Plur	contexto
em	ADP	em
que	SCONJ	que
,	PUNCT.Comma	,
por	ADP	por
razões	NOUN.Fem.Plur	razão
de	ADP	de
expectativas	NOUN.Fem.Plur	expectativa
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
falantes	NOUN.Masc.Plur	falante
dão	VERB.Fin.Plur	dar
mais	DET.Fem.Sing	muito
atenção	NOUN.Fem.Sing	atenção
