###	VERB.Fin.Sing	<unknown>
4.3.1	NUM	@card@
COMPETÊNCIAS	NOUN.Fem.Plur	competência
ESPECÍFICAS	ADJ.Fem.Plur	específico
DE	ADP	de
MATEMÁTICA	NOUN.Fem.Sing	matemática
PARA	ADP	para
O	DET.Masc.Sing	o
ENSINO	NOUN.Masc.Sing	ensino
MÉDIO	ADJ.Masc.Sing	médio
1	NUM	1
.	PUNCT.Sent	.
Utilizar	VERB.Inf	utilizar
estratégias	NOUN.Fem.Plur	estratégia
,	PUNCT.Comma	,
conceitos	NOUN.Masc.Plur	conceito
e	CCONJ	e
procedimentos	NOUN.Masc.Plur	procedimento
matemáticos	ADJ.Masc.Plur	matemático
para	ADP	para
interpretar	VERB.Inf	interpretar
situações	NOUN.Fem.Plur	situação
em	ADP	em
diversos	DET.Masc.Plur	diversos
contextos	NOUN.Masc.Plur	contexto
,	PUNCT.Comma	,
sejam	AUX.Fin.Plur	ser
atividades	NOUN.Fem.Plur	atividade
cotidianas	ADJ.Fem.Plur	cotidiano
,	PUNCT.Comma	,
sejam	AUX.Fin.Plur	ser
fatos	NOUN.Masc.Plur	fato
das	ADP_DET.Fem.Plur	de_o
Ciências	PROPN.Fem.Plur	Ciências
da	ADP_DET.Fem.Sing	de_o
Natureza	NOUN.Fem.Sing	natureza
e	CCONJ	e
Humanas	ADJ.Fem.Plur	humano
,	PUNCT.Comma	,
ou	CCONJ	ou
ainda	ADV	ainda
questões	NOUN.Fem.Plur	questão
econômicas	ADJ.Fem.Plur	econômico
ou	CCONJ	ou
tecnológicas	ADJ.Fem.Plur	tecnológico
,	PUNCT.Comma	,
divulgados	VERB.Part.Masc.Plur	divulgar
por	ADP	por
diferentes	DET.Masc.Plur	diferentes
meios	NOUN.Masc.Plur	meio
,	PUNCT.Comma	,
de	ADP	de
modo	NOUN	modo
a	ADP	a
consolidar	VERB.Inf	consolidar
uma	DET.Fem.Sing	um
formação	NOUN.Fem.Sing	formação
científica	ADJ.Fem.Sing	científico
geral	ADJ.Fem.Sing	geral
.	PUNCT.Sent	.
2	NUM	2
.	PUNCT.Sent	.
Articular	VERB.Inf	articular
conhecimentos	NOUN.Masc.Plur	conhecimento
matemáticos	ADJ.Masc.Plur	matemático
ao	ADP_DET.Masc.Sing	a_o
propor	VERB.Inf	propor
e/ou	NOUN.Masc.Sing	e/ou
participar	VERB.Inf	participar
de	ADP	de
ações	NOUN.Fem.Plur	ação
para	ADP	para
investigar	VERB.Inf	investigar
desafios	NOUN.Masc.Plur	desafio
do	ADP_DET.Masc.Sing	de_o
mundo	NOUN.Masc.Sing	mundo
contemporâneo	ADJ.Masc.Sing	contemporâneo
e	CCONJ	e
tomar	VERB.Inf	tomar
decisões	NOUN.Fem.Plur	decisão
éticas	ADJ.Fem.Plur	ético
e	CCONJ	e
socialmente	ADV	socialmente
responsáveis	ADJ.Masc.Plur	responsável
,	PUNCT.Comma	,
com	ADP	com
base	NOUN	base
na	ADP_DET.Fem.Sing	em_o
análise	NOUN.Fem.Sing	análise
de	ADP	de
problemas	NOUN.Masc.Plur	problema
de	ADP	de
urgência	NOUN	urgência
social	ADJ	social
,	PUNCT.Comma	,
como	ADP	como
os	DET.Masc.Plur	o
voltados	ADJ.Masc.Plur	voltado
a	ADP	a
situações	NOUN.Fem.Plur	situação
de	ADP	de
saúde	NOUN.Fem.Sing	saúde
,	PUNCT.Comma	,
sustentabilidade	NOUN.Fem.Sing	sustentabilidade
,	PUNCT.Comma	,
das	ADP_DET.Fem.Plur	de_o
implicações	NOUN.Fem.Plur	implicação
da	ADP_DET.Fem.Sing	de_o
tecnologia	NOUN.Fem.Sing	tecnologia
no	ADP_DET.Masc.Sing	em_o
mundo	NOUN.Masc.Sing	mundo
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
,	PUNCT.Comma	,
entre	ADP	entre
outros	PRON.Masc.Plur	outro
,	PUNCT.Comma	,
recorrendo	VERB.Ger	recorrer
a	ADP	a
conceitos	NOUN.Masc.Plur	conceito
