###	VERB.Fin.Sing	<unknown>
4.5.2	NUM	@card@
–	SYM	-
Fundamentos	NOUN.Masc.Plur	fundamento
teórico-metodológicos	ADJ.Masc.Plur	teórico-metodológico
das	ADP_DET	de_o
CHSA	PROPN.Fem.Sing	<unknown>
Foi	AUX.Fin.Sing	ser
particularmente	ADV	particularmente
em	ADP	em
um	DET.Masc.Sing	um
momento	NOUN.Masc.Sing	momento
histórico	ADJ.Masc.Sing	histórico
,	PUNCT.Comma	,
de	ADP	de
profundas	ADJ.Fem.Plur	profundo
e	CCONJ	e
importantes	ADJ.Fem.Plur	importante
mudanças	NOUN.Fem.Plur	mudança
sociais	ADJ.Fem.Plur	social
evidenciadas	VERB.Part.Fem.Plur	evidenciar
principalmente	ADV	principalmente
pela	ADP_DET.Fem.Sing	por_o
revolução	NOUN.Fem.Sing	revolução
científica	ADJ.Fem.Sing	científico
,	PUNCT.Comma	,
política	ADJ.Fem.Sing	político
e	CCONJ	e
econômica	ADJ.Fem.Sing	econômico
,	PUNCT.Comma	,
que	SCONJ	que
as	DET.Fem.Plur	o
ciências	NOUN.Fem.Plur	ciência
humanas	ADJ.Fem.Plur	humano
e	CCONJ	e
sociais	ADJ.Fem.Plur	social
começaram	AUX.Fin.Plur	começar
a	ADP	a
despontar	VERB.Inf	despontar
como	ADP	como
uma	DET.Fem.Sing	um
resposta	NOUN.Fem.Sing	resposta
interpretativa	ADJ.Fem.Sing	interpretativo
diferenciada	VERB.Part.Fem.Sing	diferenciar
,	PUNCT.Comma	,
eminentemente	ADV	eminentemente
analítica	ADJ.Fem.Sing	analítico
.	PUNCT.Sent	.
Partia	VERB.Fin.Sing	partir
-se	PRON	se
,	PUNCT.Comma	,
naquele	ADP_DET.Masc.Sing	em_aquele
momento	NOUN.Masc.Sing	momento
,	PUNCT.Comma	,
do	ADP_DET.Masc.Sing	de_o
pressuposto	NOUN.Masc.Sing	pressuposto
que	PRON.Rel.Masc.Sing	que
a	DET.Fem.Sing	o
realidade	NOUN.Fem.Sing	realidade
social	ADJ.Fem.Sing	social
era	AUX.Fin.Sing	ser
não	ADV	não
somente	ADV	somente
observável	ADJ.Masc.Sing	observável
e	CCONJ	e
catalogável	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
mas	CCONJ	mas
