###	PROPN.Masc.Sing	<unknown>
3.2	PROPN.Sing	@card@
Geografia	PROPN.Sing	Geografia
A	DET.Sing	A
Geografia	PROPN.Sing	Geografia
escolar	ADJ.Fem.Sing	escolar
,	PUNCT.Comma	,
ensinada	VERB.Part.Fem.Sing	ensinar
na	ADP_DET.Fem.Sing	em_o
sala	NOUN.Fem.Sing	sala
de	ADP	de
aula	NOUN.Fem.Sing	aula
,	PUNCT.Comma	,
sobretudo	ADV	sobretudo
nas	ADP_DET.Fem.Plur	em_o
últimas	ADJ.Fem.Plur	último
décadas	NOUN.Fem.Plur	década
tem	AUX.Fin.Sing	ter
buscado	VERB.Part.Masc.Sing	buscar
uma	DET.Fem.Sing	um
aprendizagem	NOUN.Fem.Sing	aprendizagem
mais	ADV	mais
significativa	ADJ.Fem.Sing	significativo
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
ensino	NOUN.Masc.Sing	ensino
de	ADP	de
Geografia	PROPN.Sing	Geografia
ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
do	ADP_DET.Masc.Sing	de_o
seu	DET.Masc.Sing	seu
processo	NOUN.Masc.Sing	processo
de	ADP	de
consolidação	NOUN.Fem.Sing	consolidação
vem	VERB.Fin.Sing	vir
cada	DET.Fem.Sing	cada
vez	NOUN.Fem.Sing	vez
mais	ADV	mais
aproximar	VERB.Inf	aproximar
os	DET.Masc.Plur	o
conteúdos	NOUN.Masc.Plur	conteúdo
escolares	ADJ.Masc.Plur	escolar
aos	ADP_DET.Masc.Plur	a_o
cotidianos	ADJ.Masc.Plur	cotidiano
dos	ADP_DET.Masc.Plur	de_o
estudantes	NOUN.Masc.Plur	estudante
.	PUNCT.Sent	.
Dessa	ADP_DET.Fem.Sing	de_esse
forma	NOUN.Fem.Sing	forma
,	PUNCT.Comma	,
esse	DET.Masc.Sing	esse
componente	NOUN.Masc.Sing	componente
curricular	ADJ.Masc.Sing	curricular
pode	AUX.Fin.Sing	poder
assumir	VERB.Inf	assumir
a	DET.Fem.Sing	o
missão	NOUN.Fem.Sing	missão
de	ADP	de
denunciar	VERB.Inf	denunciar
as	DET.Fem.Plur	o
contradições	NOUN.Fem.Plur	contradição
existentes	ADJ.Fem.Plur	existente
na	ADP_DET.Fem.Sing	em_o
sociedade	NOUN.Fem.Sing	sociedade
,	PUNCT.Comma	,
tornando	VERB.Ger	tornar
o	DET.Masc.Sing	o
saber	NOUN.Masc.Sing	saber
fornecido	VERB.Part.Masc.Sing	fornecer
por	ADP	por
ele	PRON.Masc.Sing	ele
mais	ADV	mais
útil	ADJ.Masc.Sing	útil
e	CCONJ	e
atraente	ADJ.Masc.Sing	atraente
para	ADP	para
os	DET.Masc.Plur	o
jovens	ADJ.Masc.Plur	jovem
.	PUNCT.Sent	.
Desde	ADP	desde
os	DET.Masc.Plur	o
primórdios	NOUN.Masc.Plur	primórdio
do	ADP_DET.Masc.Sing	de_o
estabelecimento	NOUN.Masc.Sing	estabelecimento
do	ADP_DET.Masc.Sing	de_o
ensino	NOUN.Masc.Sing	ensino
formal	ADJ.Masc.Sing	formal
