4	NUM	4
.	PUNCT.Sent	.
AVALIAÇÃO	NOUN.Fem.Sing	avaliação
EM	ADP	em
CIÊNCIAS	NOUN.Fem.Plur	ciência
HUMANAS	ADJ.Fem.Plur	humano
E	CCONJ	e
SOCIAIS	ADJ.Fem.Plur	social
APLICADAS	VERB.Part.Fem.Plur	aplicar
Centrada	VERB.Part.Fem.Sing	centrar
na	ADP_DET.Fem.Sing	em_o
ideia	NOUN.Fem.Sing	ideia
de	ADP	de
que	SCONJ	que
o	DET.Masc.Sing	o
estudante	NOUN.Masc.Sing	estudante
é	AUX.Fin.Sing	ser
o	DET.Masc.Sing	o
protagonista	NOUN.Masc.Sing	protagonista
do	ADP_DET.Masc.Sing	de_o
processo	NOUN.Masc.Sing	processo
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
avaliação	NOUN.Fem.Sing	avaliação
dos	ADP_DET.Masc.Plur	de_o
seus	DET.Masc.Plur	seu
conhecimentos	NOUN.Masc.Plur	conhecimento
no	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
deve	AUX.Fin.Sing	dever
levar	VERB.Inf	levar
em	ADP	em
consideração	NOUN.Fem.Sing	consideração
esta	DET.Fem.Sing	este
condição	NOUN.Fem.Sing	condição
,	PUNCT.Comma	,
reconhecendo	VERB.Ger	reconhecer
o	DET.Masc.Sing	o
jovem	ADJ.Masc.Sing	jovem
como	NOUN.Masc.Sing	como
participante	ADJ.Masc.Sing	participante
ativo	ADJ.Masc.Sing	ativo
da	ADP_DET.Fem.Sing	de_o
instituição	NOUN.Fem.Sing	instituição
escolar	ADJ.Fem.Sing	escolar
.	PUNCT.Sent	.
Em	ADP	em
um	DET.Masc.Sing	um
currículo	NOUN.Masc.Sing	currículo
organizado	VERB.Part.Masc.Sing	organizar
por	ADP	por
áreas	NOUN.Fem.Plur	área
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
e	CCONJ	e
componentes	NOUN.Masc.Plur	componente
curriculares	ADJ.Masc.Plur	curricular
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
avaliativo	ADJ.Masc.Sing	avaliativo
deve	AUX.Fin.Sing	dever
ser	AUX.Inf	ser
diagnóstico	ADJ.Masc.Sing	diagnóstico
,	PUNCT.Comma	,
formativo	ADJ.Masc.Sing	formativo
e	CCONJ	e
contínuo	ADJ.Masc.Sing	contínuo
.	PUNCT.Sent	.
Isso	PRON.Masc.Sing	isso
quer	VERB.Fin.Sing	querer
dizer	VERB.Inf	dizer
que	SCONJ	que
os	DET.Masc.Plur	o
instrumentos	NOUN.Masc.Plur	instrumento
avaliativos	ADJ.Masc.Plur	avaliativo
,	PUNCT.Comma	,
como	ADP	como
as	DET.Fem.Plur	o
atividades	NOUN.Fem.Plur	atividade
,	PUNCT.Comma	,
exercícios	NOUN.Masc.Plur	exercício
,	PUNCT.Comma	,
testes	NOUN.Masc.Plur	teste
e	CCONJ	e
provas	NOUN.Fem.Plur	prova
,	PUNCT.Comma	,
precisam	VERB.Fin.Plur	precisar
ser	AUX.Inf	ser
entendidos	VERB.Part.Masc.Plur	entender
como	ADP	como
parte	NOUN	parte
da	ADP_DET.Fem.Sing	de_o
aprendizagem	NOUN.Fem.Sing	aprendizagem
e	CCONJ	e
não	ADV	não
um	DET.Masc.Sing	um
momento	NOUN.Masc.Sing	momento
isolado	VERB.Part.Masc.Sing	isolar
do	ADP_DET.Masc.Sing	de_o
processo	NOUN.Masc.Sing	processo
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
avaliação	NOUN.Fem.Sing	avaliação
pode	AUX.Fin.Sing	poder
ser	AUX.Inf	ser
diagnóstica	ADJ.Fem.Sing	diagnóstico
,	PUNCT.Comma	,
formativa	ADJ.Fem.Sing	formativo
e	CCONJ	e
somativa	ADJ.Fem.Sing	somativo
e	CCONJ	e
deve	AUX.Fin.Sing	dever
ter	VERB.Inf	ter
seus	DET.Masc.Plur	seu
resultados	NOUN.Masc.Plur	resultado
analisados	VERB.Part.Masc.Plur	analisar
pelo	ADP_DET.Masc.Sing	por_o
professor	NOUN.Masc.Sing	professor
para	ADP	para
que	PRON.Rel.Masc.Sing	que
ele	PRON.Masc.Sing	ele
também	ADV	também
reflita	VERB.Fin.Sing	refletir
sobre	ADP	sobre
sua	DET.Fem.Sing	seu
prática	NOUN.Fem.Sing	prática
docente	ADJ.Fem.Sing	docente
e	CCONJ	e
,	PUNCT.Comma	,
caso	NOUN.Masc.Sing	caso
necessário	ADJ.Masc.Sing	necessário
,	PUNCT.Comma	,
repense	VERB.Fin.Sing	repensar
os	DET.Masc.Plur	o
seus	DET.Masc.Plur	seu
encaminhamentos	NOUN.Masc.Plur	encaminhamento
metodológicos	ADJ.Masc.Plur	metodológico
.	PUNCT.Sent	.
Essas	DET.Fem.Plur	esse
avaliações	NOUN.Fem.Plur	avaliação
(	PUNCT.Par.Left	(
diagnóstica	ADJ.Fem.Sing	diagnóstico
,	PUNCT.Comma	,
formativa	ADJ.Fem.Sing	formativo
e	CCONJ	e
somativa	ADJ.Fem.Sing	somativo
)	PUNCT.Par.Right	)
estão	AUX.Fin.Plur	estar
interligadas	VERB.Part.Fem.Plur	interligar
e	CCONJ	e
são	AUX.Fin.Plur	ser
complementares	ADJ.Fem.Plur	complementar
.	PUNCT.Sent	.
Mas	CCONJ	mas
uma	DET.Fem.Sing	um
quarta	ADJ.Fem.Sing	quarto
categoria	NOUN.Fem.Sing	categoria
avaliativa	ADJ.Fem.Sing	avaliativo
não	ADV	não
deve	AUX.Fin.Sing	dever
ser	AUX.Inf	ser
ignorada	VERB.Part.Fem.Sing	ignorar
:	PUNCT.Colon	:
a	DET.Fem.Sing	o
autoavaliação	NOUN.Fem.Sing	autoavaliação
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
autoavaliação	NOUN.Fem.Sing	autoavaliação
permite	VERB.Fin.Sing	permitir
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
da	ADP_DET.Fem.Sing	de_o
autonomia	NOUN.Fem.Sing	autonomia
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
e	CCONJ	e
o	DET.Masc.Sing	o
seu	DET.Masc.Sing	seu
autoconhecimento	NOUN.Masc.Sing	autoconhecimento
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
chamada	ADJ.Fem.Sing	chamado
metacognição	NOUN.Fem.Sing	metacognição
,	PUNCT.Comma	,
isto	PRON.Masc.Sing	isto
é	VERB.Fin.Sing	ser
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
capacidade	NOUN.Fem.Sing	capacidade
de	ADP	de
o	DET.Masc.Sing	o
estudante	NOUN.Masc.Sing	estudante
