INSTRUMENTOS	NOUN.Masc.Plur	instrumento
E	CCONJ	e
PROCEDIMENTOS	NOUN.Masc.Plur	procedimento
DE	ADP	de
AVALIAÇÃO	NOUN.Fem.Sing	avaliação
-	PUNCT.Hyphen	-
ANOS	NOUN.Masc.Plur	ano
INICIAIS	ADJ.Masc.Plur	inicial
-	PUNCT.Hyphen	-
Reconhecer	VERB.Inf	reconhecer
as	DET.Fem.Plur	o
semelhanças	NOUN.Fem.Plur	semelhança
e	CCONJ	e
diferenças	NOUN.Fem.Plur	diferença
entre	ADP	entre
o	DET.Masc.Sing	o
eu	PRON.Masc.Sing	eu
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
outro	PRON.Masc.Sing	outro
e	CCONJ	e
o	PRON.Masc.Sing	o
nós	PRON.Plur	nós
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Valorizar	VERB.Inf	valorizar
a	DET.Fem.Sing	o
diversidade	NOUN.Fem.Sing	diversidade
de	ADP	de
formas	NOUN.Fem.Plur	forma
de	ADP	de
vida	NOUN.Fem.Sing	vida
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Reconhecer	VERB.Inf	reconhecer
e	CCONJ	e
observar	VERB.Inf	observar
diferentes	ADJ.Fem.Plur	diferente
características	NOUN.Fem.Plur	característica
físicas	ADJ.Fem.Plur	físico
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Reconhecer	VERB.Inf	reconhecer
os	DET.Masc.Plur	o
diferentes	ADJ.Masc.Plur	diferente
espaços	NOUN.Masc.Plur	espaço
de	ADP	de
convivência	NOUN.Fem.Sing	convivência
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Identificar	VERB.Inf.Sing	identificar
costumes	NOUN.Masc.Plur	costume
,	PUNCT.Comma	,
crenças	NOUN.Fem.Plur	crença
e	CCONJ	e
formas	NOUN.Fem.Plur	forma
diversas	ADJ.Fem.Plur	diverso
de	ADP	de
viver	VERB.Inf	viver
em	ADP	em
variados	ADJ.Masc.Plur	variado
