##	VERB.Fin.Sing	<unknown>
2	NUM	2
.	PUNCT.Sent	.
FUNDAMENTOS	NOUN.Masc.Plur	fundamento
E	CCONJ	e
CONCEPÇÕES	NOUN.Fem.Plur	concepção
DO	ADP_DET.Masc.Sing	de_o
REFERENCIAL	NOUN.Masc.Sing	referencial
CURRICULAR	ADJ.Masc.Sing	curricular
Este	PRON.Masc.Sing	este
Referencial	PROPN.Sing	Referencial
Curricular	ADJ.Fem.Sing	curricular
apresenta	VERB.Fin.Sing	apresentar
-se	PRON.Masc.Sing	se
pautado	VERB.Part.Masc.Sing	pautar
em	ADP	em
fundamentos	NOUN.Masc.Plur	fundamento
e	CCONJ	e
concepções	NOUN.Fem.Plur	concepção
de	ADP	de
uma	DET.Fem.Sing	um
proposta	NOUN.Fem.Sing	proposta
de	ADP	de
educação	NOUN.Fem.Sing	educação
democrática	ADJ.Fem.Sing	democrático
,	PUNCT.Comma	,
integral	ADJ.Fem.Sing	integral
e	CCONJ	e
inclusiva	ADJ.Fem.Sing	inclusivo
para	ADP	para
o	DET.Masc.Sing	o
Rio	PROPN.Masc.Sing	Rio
Grande	PROPN.Sing	Grande
do	ADP_DET.Masc.Sing	de_o
Norte	PROPN.Sing	Norte
,	PUNCT.Comma	,
construído	VERB.Part.Masc.Sing	construir
a	ADP	a
partir	NOUN	partir
de	ADP	de
orientações	NOUN.Fem.Plur	orientação
da	ADP_DET.Fem.Sing	de_o
Base	NOUN	base
Nacional	ADJ	nacional
Comum	PROPN.Sing	Comum
Curricular	ADJ.Fem.Sing	curricular
-	PUNCT.Hyphen	-
BNCC	PROPN.Fem.Sing	<unknown>
,	PUNCT.Comma	,
buscando	VERB.Ger	buscar
pontos	NOUN.Masc.Plur	ponto
de	ADP	de
convergência	NOUN.Fem.Sing	convergência
possíveis	ADJ.Masc.Plur	possível
e	CCONJ	e
necessários	ADJ.Masc.Plur	necessário
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
concepções	NOUN.Fem.Plur	concepção
que	PRON.Rel.Fem.Plur	que
sustentam	VERB.Fin.Plur	sustentar
este	PRON.Masc.Sing	este
Referencial	PROPN.Sing	Referencial
advêm	VERB.Fin.Plur	advir
das	ADP_DET.Fem.Plur	de_o
políticas	NOUN.Fem.Plur	política
nacionais	ADJ.Fem.Plur	nacional
,	PUNCT.Comma	,
do	ADP_DET.Masc.Sing	de_o
arcabouço	NOUN.Masc.Sing	arcabouço
epistemológico	ADJ.Masc.Sing	epistemológico
e	CCONJ	e
do	ADP_DET.Masc.Sing	de_o
debate	NOUN.Masc.Sing	debate
entre	ADP	entre
os	DET.Masc.Plur	o
membros	NOUN.Masc.Plur	membro
da	ADP_DET.Fem.Sing	de_o
equipe	NOUN.Fem.Sing	equipe
multidisciplinar	ADJ.Fem.Sing	multidisciplinar
de	ADP	de
redação	NOUN.Fem.Sing	redação
curricular	ADJ.Fem.Sing	curricular
,	PUNCT.Comma	,
entre	ADP	entre
as	DET.Fem.Plur	o
escolas	NOUN.Fem.Plur	escola
e	CCONJ	e
as	DET.Fem.Plur	o
instituições	NOUN.Fem.Plur	instituição
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
superior	ADJ.Masc.Sing	alto
,	PUNCT.Comma	,
com	ADP	com
a	DET.Fem.Sing	o
interação	NOUN.Fem.Sing	interação
com	ADP	com
o	DET.Masc.Sing	o
Conselho	PROPN.Masc.Sing	Conselho
Estadual	PROPN.Sing	Estadual
de	ADP	de
Educação	PROPN.Sing	Educação
.	PUNCT.Sent	.
Como	ADP	como
orientação	NOUN.Fem.Sing	orientação
do	ADP_DET.Masc.Sing	de_o
projeto	NOUN.Masc.Sing	projeto
de	ADP	de
educação	NOUN.Fem.Sing	educação
para	ADP	para
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
Potiguar	ADJ.Masc.Sing	potiguar
,	PUNCT.Comma	,
destacam	VERB.Fin.Plur	destacar
-se	PRON.Masc.Plur	se
os	DET.Masc.Plur	o
seguintes	ADJ.Masc.Plur	seguinte
princípios	NOUN.Masc.Plur	princípio
:	PUNCT.Colon	:
-	PUNCT.Hyphen	-
Igualdade	NOUN.Fem.Sing	igualdade
de	ADP	de
condições	NOUN.Fem.Plur	condição
para	ADP	para
o	DET.Masc.Sing	o
acesso	NOUN.Masc.Sing	acesso
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
permanência	NOUN.Fem.Sing	permanência
e	CCONJ	e
sucesso	NOUN.Masc.Sing	sucesso
na	ADP_DET.Fem.Sing	em_o
escola	NOUN.Fem.Sing	escola
,	PUNCT.Comma	,
com	ADP	com
inclusão	NOUN.Fem.Sing	inclusão
,	PUNCT.Comma	,
liberdade	NOUN.Fem.Sing	liberdade
de	ADP	de
aprender	VERB.Inf	aprender
,	PUNCT.Comma	,
ensinar	VERB.Inf	ensinar
,	PUNCT.Comma	,
pesquisar	VERB.Inf	pesquisar
e	CCONJ	e
divulgar	VERB.Inf	divulgar
a	DET.Fem.Sing	o
cultura	NOUN.Fem.Sing	cultura
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
pensamento	NOUN.Masc.Sing	pensamento
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
arte	NOUN.Fem.Sing	arte
e	CCONJ	e
o	DET.Masc.Sing	o
saber	NOUN.Masc.Sing	saber
,	PUNCT.Comma	,
atendendo	VERB.Ger	atender
à	ADP_DET.Fem.Sing	a_o
pluralidade	NOUN.Fem.Sing	pluralidade
e	CCONJ	e
à	ADP_DET.Fem.Sing	a_o
diversidade	NOUN.Fem.Sing	diversidade
cultural	ADJ.Fem.Sing	cultural
,	PUNCT.Comma	,
resgatando	VERB.Part	resgatar
e	CCONJ	e
respeitando	VERB.Ger	respeitar
as	DET.Fem.Plur	o
várias	DET.Fem.Plur	várias
manifestações	NOUN.Fem.Plur	manifestação
de	ADP	de
cada	DET.Fem.Sing	cada
comunidade	NOUN.Fem.Sing	comunidade
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Adoção	NOUN.Fem.Sing	adoção
de	ADP	de
práticas	NOUN.Fem.Plur	prática
pedagógicas	ADJ.Fem.Plur	pedagógico
que	PRON.Rel.Fem.Plur	que
assegurem	VERB.Fin.Plur	assegurar
os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
dos	ADP_DET.Masc.Plur	de_o
estudantes	NOUN.Masc.Plur	estudante
,	PUNCT.Comma	,
rompendo	VERB.Part	romper
com	ADP	com
estruturas	NOUN.Fem.Plur	estrutura
fragmentadas	VERB.Part.Fem.Plur	fragmentar
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Formação	NOUN.Fem.Sing	formação
integral	ADJ.Fem.Sing	integral
dos	ADP_DET.Masc.Plur	de_o
sujeitos	NOUN.Masc.Plur	sujeito
por	ADP	por
meio	NOUN	meio
de	ADP	de
um	DET.Masc.Sing	um
processo	NOUN.Masc.Sing	processo
de	ADP	de
gestão	NOUN.Fem.Sing	gestão
da	ADP_DET.Fem.Sing	de_o
aprendizagem	NOUN.Fem.Sing	aprendizagem
ancorado	VERB.Part.Masc.Sing	ancorar
em	ADP	em
valores	NOUN.Masc.Plur	valor
éticos	ADJ.Masc.Plur	ético
,	PUNCT.Comma	,
políticos	ADJ.Masc.Plur	político
e	CCONJ	e
estéticos	ADJ.Masc.Plur	estético
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Valorização	NOUN.Fem.Sing	valorização
da	ADP_DET.Fem.Sing	de_o
experiência	NOUN.Fem.Sing	experiência
extraescolar	ADJ.Fem.Sing	extraescolar
e	CCONJ	e
dos	ADP_DET.Masc.Plur	de_o
diferentes	ADJ.Masc.Plur	diferente
espaços	NOUN.Masc.Plur	espaço
e	CCONJ	e
tempos	NOUN.Masc.Plur	tempo
educativos	ADJ.Masc.Plur	educativo
,	PUNCT.Comma	,
abrangendo	VERB.Part	abranger
espaços	NOUN.Masc.Plur	espaço
sociais	ADJ.Masc.Plur	social
na	ADP_DET.Fem.Sing	em_o
escola	NOUN.Fem.Sing	escola
e	CCONJ	e
fora	ADV	fora
dela	ADP_PRON.Fem.Sing	de_ela
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Vinculação	NOUN.Fem.Sing	vinculação
entre	ADP	entre
a	DET.Fem.Sing	o
educação	NOUN.Fem.Sing	educação
escolar	ADJ.Fem.Sing	escolar
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
práticas	NOUN.Fem.Plur	prática
sociais	ADJ.Fem.Plur	social
e	CCONJ	e
o	DET.Masc.Sing	o
mundo	NOUN.Masc.Sing	mundo
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
;	PUNCT.Semicolon	;
-	PUNCT.Hyphen	-
Gestão	PROPN.Fem.Sing	Gestão
democrática	ADJ.Fem.Sing	democrático
do	ADP_DET.Masc.Sing	de_o
ensino	NOUN.Masc.Sing	ensino
público	ADJ.Masc.Sing	público
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
forma	NOUN.Fem.Sing	forma
da	ADP_DET.Fem.Sing	de_o
legislação	NOUN.Fem.Sing	legislação
e	CCONJ	e
das	ADP_DET.Fem.Plur	de_o
normas	NOUN.Fem.Plur	norma
dos	ADP_DET.Masc.Plur	de_o
respectivos	ADJ.Masc.Plur	respectivo
sistemas	NOUN.Masc.Plur	sistema
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
.	PUNCT.Sent	.
Considera	VERB.Fin.Sing	considerar
-se	PRON	se
importante	ADJ.Masc.Sing	importante
mencionar	VERB.Inf	mencionar
os	DET.Masc.Plur	o
avanços	NOUN.Masc.Plur	avanço
trazidos	VERB.Part.Masc.Plur	trazer
pela	ADP_DET.Fem.Sing	por_o
Emenda	NOUN.Fem.Sing	emenda
Constitucional	ADJ.Masc.Sing	constitucional
nº	NOUN.Masc.Sing	nº
59/2009	NUM	@card@
e	CCONJ	e
pela	ADP_DET.Fem.Sing	por_o
Lei	NOUN.Fem.Sing	lei
de	ADP	de
Diretrizes	NOUN.Fem.Plur	diretriz
e	CCONJ	e
Bases	PROPN.Sing	Bases
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Sing	Educação
Nacional	PROPN.Sing	Nacional
nº	NOUN.Masc.Sing	nº
9.394/1996	NUM	@card@
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Plur	que
consolidaram	VERB.Fin.Plur	consolidar
a	DET.Fem.Sing	o
obrigatoriedade	NOUN.Fem.Sing	obrigatoriedade
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
básica	ADJ.Fem.Sing	básico
gratuita	ADJ.Fem.Sing	gratuito
dos	ADP_DET.Masc.Plur	de_o
4	NUM	4
(	PUNCT.Par.Left	(
quatro	NUM	quatro
)	PUNCT.Par.Right	)
aos	ADP_DET.Masc.Plur	a_o
17	NUM	17
(	PUNCT.Par.Left	(
dezessete	NOUN.Masc.Sing	dezessete
)	PUNCT.Par.Right	)
anos	NOUN.Masc.Plur	ano
de	ADP	de
idade	NOUN.Fem.Sing	idade
,	PUNCT.Comma	,
igualmente	ADV	igualmente
,	PUNCT.Comma	,
assegurando	VERB.Ger	assegurar
a	DET.Fem.Sing	o
oferta	NOUN.Fem.Sing	oferta
gratuita	ADJ.Fem.Sing	gratuito
e	CCONJ	e
acesso	NOUN.Masc.Sing	acesso
para	ADP	para
aqueles	PRON.Masc.Plur	aquele
que	PRON.Rel.Masc.Plur	que
não	ADV	não
tiveram	VERB.Fin.Plur	ter
na	ADP_DET.Fem.Sing	em_o
idade	NOUN.Fem.Sing	idade
própria	ADJ.Fem.Sing	próprio
.	PUNCT.Sent	.
Assim	ADV	assim
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Referencial	PROPN.Sing	Referencial
Curricular	ADJ.Fem.Sing	curricular
do	ADP_DET.Masc.Sing	de_o
Rio	PROPN.Masc.Sing	Rio
