##	VERB.Fin.Sing	<unknown>
APRESENTAÇÃO	NOUN.Fem.Sing	apresentação
O	DET.Masc.Sing	o
Referencial	PROPN.Sing	Referencial
Curricular	ADJ.Fem.Sing	curricular
do	ADP_DET.Masc.Sing	de_o
Estado	NOUN.Masc.Sing	estado
de	ADP	de
Rondônia	PROPN.Masc.Sing	Rondônia
–	PUNCT.Hyphen	-
RCRO	PROPN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Sing	que
consolida	VERB.Fin.Sing	consolidar
a	DET.Fem.Sing	o
Base	NOUN.Fem.Sing	base
Nacional	PROPN.Masc.Sing	Nacional
Comum	PROPN.Sing	Comum
,	PUNCT.Comma	,
foi	AUX.Fin.Sing	ser
(	PUNCT.Par.Left	(
re	NOUN.Masc.Sing	re
)	PUNCT.Par.Right	)
elaborado	VERB.Part.Masc.Sing	elaborar
em	ADP	em
Regime	NOUN.Masc.Sing	regime
de	ADP	de
Colaboração	NOUN.Fem.Sing	colaboração
e	CCONJ	e
de	ADP	de
forma	NOUN.Fem.Sing	forma
coletiva	ADJ.Fem.Sing	coletivo
entre	ADP	entre
a	DET.Fem.Sing	o
Secretaria	PROPN.Fem.Sing	Secretaria
de	ADP	de
Estado	PROPN.Sing	Estado
da	ADP_DET.Fem.Sing	de_o
Educação/Seduc	PROPN.Sing	<unknown>
e	CCONJ	e
União	PROPN.Fem.Sing	União
dos	ADP_DET.Masc.Plur	de_o
Dirigentes	NOUN.Masc.Plur	dirigente
Municipais	ADJ.Fem.Plur	municipal
de	ADP	de
Educação/Undime	NOUN.Masc.Sing	<unknown>
para	ADP	para
atender	VERB.Inf	atender
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
escolas	NOUN.Fem.Plur	escola
públicas	ADJ.Fem.Plur	público
(	PUNCT.Par.Left	(
estaduais	ADJ.Masc.Plur	estadual
,	PUNCT.Comma	,
municipais	ADJ.Masc.Plur	municipal
)	PUNCT.Par.Right	)
e	CCONJ	e
privadas	VERB.Part.Fem.Plur	privar
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
e	CCONJ	e
Ensino	NOUN.Sing	Ensino
Fundamental	ADJ.Fem.Sing	fundamental
,	PUNCT.Comma	,
sem	ADP	sem
tirar	VERB.Inf	tirar
a	DET.Fem.Sing	o
autonomia	NOUN.Fem.Sing	autonomia
das	ADP_DET.Fem.Plur	de_o
mesmas	ADJ.Fem.Plur	mesmo
e	CCONJ	e
sem	ADP	sem
distinção	NOUN.Fem.Sing	distinção
entre	ADP	entre
as	DET.Fem.Plur	o
redes	NOUN.Fem.Plur	rede
.	PUNCT.Sent	.
Este	DET.Masc.Sing	este
instrumento	NOUN.Masc.Sing	instrumento
de	ADP	de
trabalho	NOUN.Masc.Sing	trabalho
que	PRON.Rel.Masc.Sing	que
também	ADV	também
foi	AUX.Fin.Sing	ser
pactuado	VERB.Part.Masc.Sing	pactuar
pelas	ADP_DET.Fem.Plur	por_o
prefeituras	NOUN.Fem.Plur	prefeitura
dos	ADP_DET.Masc.Plur	de_o
52	NUM	52
(	PUNCT.Par.Left	(
cinquenta	NUM	cinquenta
e	CCONJ	e
dois	NUM	dois
)	PUNCT.Par.Right	)
municípios	NOUN.Masc.Plur	município
rondonienses	ADJ.Masc.Plur	rondoniense
.	PUNCT.Sent	.
Pauta	VERB.Fin.Sing	pautar
-se	PRON	se
em	ADP	em
uma	DET.Fem.Sing	um
