##	VERB.Fin.Sing	<unknown>
2.5.6	NUM	@card@
.	PUNCT.Sent	.
Objetivos	NOUN.Masc.Plur	objetivo
e	CCONJ	e
Expectativas	NOUN.Fem.Plur	expectativa
de	ADP	de
Aprendizagem	PROPN.Sing	Aprendizagem
Os	DET.Masc.Plur	o
objetivos	NOUN.Masc.Plur	objetivo
e	CCONJ	e
expectativas	NOUN.Fem.Plur	expectativa
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
esperados	VERB.Part.Masc.Plur	esperar
que	SCONJ	que
os	DET.Masc.Plur	o
alunos	NOUN.Masc.Plur	aluno
adquiram	VERB.Fin.Plur	adquirir
em	ADP	em
relação	NOUN	relação
à	ADP_DET.Fem.Sing	a_o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	NOUN	ciência
da	ADP_DET.Fem.Sing	de_o
Natureza	NOUN.Fem.Sing	natureza
e	CCONJ	e
suas	DET.Fem.Plur	seu
Tecnologias	PROPN.Sing	Tecnologias
,	PUNCT.Comma	,
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
as	DET.Fem.Plur	o
competências	NOUN.Fem.Plur	competência
1	NUM	1
,	PUNCT.Comma	,
2	NUM	2
e	CCONJ	e
3	NUM	3
específicas	ADJ.Fem.Plur	específico
da	ADP_DET.Fem.Sing	de_o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	NOUN	ciência
da	ADP_DET.Fem.Sing	de_o
Natureza	NOUN.Fem.Sing	natureza
,	PUNCT.Comma	,
são	AUX.Fin.Plur	ser
:	PUNCT.Colon	:
-	PUNCT.Hyphen	-
Comparar	VERB.Inf	comparar
a	DET.Fem.Sing	o
composição	NOUN.Fem.Sing	composição
do	ADP_DET.Masc.Sing	de_o
estado	NOUN.Masc.Sing	estado
inicial	ADJ.Masc.Sing	inicial
e	CCONJ	e
do	ADP_DET.Masc.Sing	de_o
estado	NOUN.Masc.Sing	estado
final	ADJ.Masc.Sing	final
de	ADP	de
diferentes	DET.Masc.Plur	diferentes
sistemas	NOUN.Masc.Plur	sistema
para	ADP	para
identificar	VERB.Inf	identificar
e	CCONJ	e
representar	VERB.Inf	representar
transformações	NOUN.Fem.Plur	transformação
químicas	ADJ.Fem.Plur	químico
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Fazer	VERB.Inf	fazer
previsões	NOUN.Fem.Plur	previsão
acerca	ADV	acerca
das	ADP_DET.Fem.Plur	de_o
massas	NOUN.Fem.Plur	massa
,	PUNCT.Comma	,
das	ADP_DET.Fem.Plur	de_o
quantidades	NOUN.Fem.Plur	quantidade
de	ADP	de
matéria	NOUN.Fem.Sing	matéria
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
energia	NOUN.Fem.Sing	energia
envolvida	VERB.Part.Fem.Sing	envolver
nas	ADP_DET.Fem.Plur	em_o
transformações	NOUN.Fem.Plur	transformação
químicas	ADJ.Fem.Plur	químico
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Explicar	VERB.Inf	explicar
a	DET.Fem.Sing	o
importância	NOUN.Fem.Sing	importância
da	ADP_DET.Fem.Sing	de_o
fotossíntese	NOUN.Fem.Sing	fotossíntese
na	ADP_DET.Fem.Sing	em_o
manutenção	NOUN.Fem.Sing	manutenção
do	ADP_DET.Masc.Sing	de_o
fluxo	NOUN.Masc.Sing	fluxo
de	ADP	de
energia	NOUN.Fem.Sing	energia
e	CCONJ	e
de	ADP	de
matéria	NOUN.Fem.Sing	matéria
ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
das	ADP_DET.Fem.Plur	de_o
cadeias	NOUN.Fem.Plur	cadeia
tróficas	ADJ.Fem.Plur	trófico
,	PUNCT.Comma	,
utilizando	VERB.Ger	utilizar
modelos	NOUN.Masc.Plur	modelo
e	CCONJ	e
esquemas	NOUN.Masc.Plur	esquema
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Identificar	VERB.Inf	identificar
as	DET.Fem.Plur	o
transformações	NOUN.Fem.Plur	transformação
de	ADP	de
energia	NOUN.Fem.Sing	energia
envolvidas	VERB.Part.Fem.Plur	envolver
em	ADP	em
situações	NOUN.Fem.Plur	situação
