###	VERB.Fin.Sing	<unknown>
4.10.3	NUM	@card@
AVALIAÇÃO	NOUN.Fem.Sing	avaliação
A	DET.Fem.Sing	o
avaliação	NOUN.Fem.Sing	avaliação
do	ADP_DET.Masc.Sing	de_o
componente	NOUN.Masc.Sing	componente
curricular	ADJ.Masc.Sing	curricular
de	ADP	de
História	PROPN.Fem.Sing	História
não	ADV	não
deve	AUX.Fin.Sing	dever
ser	AUX.Inf	ser
vista	VERB.Part.Fem.Sing	ver
como	ADP	como
algo	PRON.Masc.Sing	algo
engessado	VERB.Part.Masc.Sing	engessar
,	PUNCT.Comma	,
preso	VERB.Part.Masc.Sing	prender
somente	ADV	somente
à	ADP_DET.Fem.Sing	a_o
ideia	NOUN.Fem.Sing	ideia
de	ADP	de
“	PUNCT.Quot	“
prova	NOUN.Fem.Sing	prova
”	PUNCT.Quot	”
,	PUNCT.Comma	,
mas	CCONJ	mas
observado	VERB.Part.Masc.Sing	observar
no	ADP_DET.Masc.Sing	em_o
conjunto	NOUN.Masc.Sing	conjunto
e	CCONJ	e
de	ADP	de
forma	NOUN.Fem.Sing	forma
contínua	ADJ.Fem.Sing	contínuo
.	PUNCT.Sent	.
Desse	ADP_DET.Masc.Sing	de_esse
modo	NOUN.Masc.Sing	modo
,	PUNCT.Comma	,
consideramos	VERB.Fin.Plur	considerar
que	SCONJ	que
avaliar	VERB.Inf	avaliar
os	DET.Masc.Plur	o
conhecimentos	NOUN.Masc.Plur	conhecimento
dos	ADP_DET.Masc.Plur	de_o
alunos	NOUN.Masc.Plur	aluno
relacionados	VERB.Part.Masc.Plur	relacionar
às	ADP_DET.Fem.Plur	a_o
aprendizagens	NOUN.Fem.Plur	aprendizagem
da	ADP_DET.Fem.Sing	de_o
componente	NOUN.Fem.Sing	componente
curricular	ADJ.Fem.Sing	curricular
de	ADP	de
História	PROPN.Fem.Sing	História
é	AUX.Fin.Sing	ser
observar	VERB.Inf	observar
como	ADP	como
se	PRON.Masc.Plur	se
posicionam	VERB.Fin.Plur	posicionar
a	ADP	a
respeito	NOUN	respeito
dos	ADP_DET.Masc.Plur	de_o
temas	NOUN.Masc.Plur	tema
,	PUNCT.Comma	,
se	PRON.Masc.Plur	se
entendem	VERB.Fin.Plur	entender
os	DET.Masc.Plur	o
conceitos	NOUN.Masc.Plur	conceito
e	CCONJ	e
de	ADP	de
que	SCONJ	que
forma	ADV	forma
podem	AUX.Fin.Plur	poder
aplicar	VERB.Inf	aplicar
esses	DET.Masc.Plur	esse
conhecimentos	NOUN.Masc.Plur	conhecimento
em	ADP	em
seu	DET.Masc.Sing	seu
cotidiano	ADJ.Masc.Sing	cotidiano
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
processo	NOUN.Masc.Sing	processo
avaliativo	ADJ.Masc.Sing	avaliativo
para	ADP	para
identificar	VERB.Inf	identificar
a	DET.Fem.Sing	o
aprendizagem	NOUN.Fem.Sing	aprendizagem
dos	ADP_DET.Masc.Plur	de_o
alunos	NOUN.Masc.Plur	aluno
resulta	VERB.Fin.Sing	resultar
de	ADP	de
atividades	NOUN.Fem.Plur	atividade
associadas	VERB.Part.Fem.Plur	associar
a	ADP	a
leituras	NOUN.Fem.Plur	leitura
de	ADP	de
diversas	DET.Fem.Plur	diversos
fontes	NOUN.Fem.Plur	fonte
,	PUNCT.Comma	,
tais	DET.Fem.Plur	tal
como	ADP	como
textos	NOUN.Masc.Plur	texto
,	PUNCT.Comma	,
objetos	NOUN.Masc.Plur	objeto
,	PUNCT.Comma	,
pesquisas	NOUN.Fem.Plur	pesquisa
de	ADP	de
campo	NOUN.Masc.Sing	campo
,	PUNCT.Comma	,
entre	ADP	entre
outras	DET.Fem.Plur	outro
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
consulta	NOUN.Fem.Sing	consulta
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
participação	NOUN.Fem.Sing	participação
coletiva	ADJ.Fem.Sing	coletivo
de	ADP	de
leitura	NOUN.Fem.Sing	leitura
e	CCONJ	e
interpretação	NOUN.Fem.Sing	interpretação
e	CCONJ	e
,	PUNCT.Comma	,
nessas	ADP_DET.Fem.Plur	em_esse
atividades	NOUN.Fem.Plur	atividade
,	PUNCT.Comma	,
fazer	VERB.Inf	fazer
suas	DET.Fem.Plur	seu
