##	VERB.Fin.Sing	<unknown>
3.7	NUM	@card@
O	DET.Masc.Sing	o
AMBIENTE	NOUN.Masc.Sing	ambiente
EDUCATIVO	ADJ.Masc.Sing	educativo
E	CCONJ	e
AS	DET.Fem.Plur	o
ATIVIDADES	NOUN.Fem.Plur	atividade
DO	ADP_DET.Masc.Sing	de_o
COTIDIANO[^4	PROPN.Masc.Sing	<unknown>
]	PUNCT.Par.Right	_
O	DET.Masc.Sing	o
currículo	NOUN.Masc.Sing	currículo
,	PUNCT.Comma	,
à	ADP_DET.Fem.Sing	a_o
luz	NOUN.Fem.Sing	luz
da	ADP_DET.Fem.Sing	de_o
BNCC	PROPN.Fem.Sing	<unknown>
,	PUNCT.Comma	,
fomenta	VERB.Fin.Sing	fomentar
a	DET.Fem.Sing	o
reflexão	NOUN.Fem.Sing	reflexão
sobre	ADP	sobre
a	DET.Fem.Sing	o
organização	NOUN.Fem.Sing	organização
dos	ADP_DET.Masc.Plur	de_o
espaços	NOUN.Masc.Plur	espaço
,	PUNCT.Comma	,
sobre	ADP	sobre
as	DET.Fem.Plur	o
posições	NOUN.Fem.Plur	posição
teóricas	ADJ.Fem.Plur	teórico
que	PRON.Rel.Fem.Plur	que
alicerçam	VERB.Fin.Plur	alicerçar
o	DET.Masc.Sing	o
trabalho	NOUN.Masc.Sing	trabalho
educativo	ADJ.Masc.Sing	educativo
e	CCONJ	e
,	PUNCT.Comma	,
a	ADP	a
partir	NOUN	partir
das	ADP_DET.Fem.Plur	de_o
experiências	NOUN.Fem.Plur	experiência
vividas	VERB.Part.Fem.Plur	viver
neste	ADP_DET.Masc.Sing	em_este
espaço	NOUN.Masc.Sing	espaço
,	PUNCT.Comma	,
avaliar	VERB.Inf	avaliar
e	CCONJ	e
planejar	VERB.Inf	planejar
as	DET.Fem.Plur	o
ações	NOUN.Fem.Plur	ação
e	CCONJ	e
atividades	NOUN.Fem.Plur	atividade
próprias	ADJ.Fem.Plur	próprio
ao	ADP_DET.Masc.Sing	a_o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
social	ADJ.Masc.Sing	social
,	PUNCT.Comma	,
cognitivo	ADJ.Masc.Sing	cognitivo
,	PUNCT.Comma	,
emocional	ADJ.Masc.Sing	emocional
e	CCONJ	e
motor	ADJ.Masc.Sing	motor
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
.	PUNCT.Sent	.
Nesse	ADP_DET.Masc.Sing	em_esse
contexto	NOUN.Masc.Sing	contexto
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
organização	NOUN.Fem.Sing	organização
do	ADP_DET.Masc.Sing	de_o
espaço	NOUN.Masc.Sing	espaço
para	ADP	para
bebês	NOUN.Masc.Plur	bebê
e	CCONJ	e
crianças	NOUN.Fem.Plur	criança
bem	ADV	bem
pequenas	ADJ.Fem.Plur	pequeno
deve	AUX.Fin.Sing	dever
ser	AUX.Inf	ser
preparada	VERB.Part.Fem.Sing	preparar
para	ADP	para
atender	VERB.Inf	atender
o	DET.Masc.Sing	o
ritmo	NOUN.Masc.Sing	ritmo
próprio	ADJ.Masc.Sing	próprio
da	ADP_DET.Fem.Sing	de_o
criança	NOUN.Fem.Sing	criança
que	PRON.Rel.Fem.Sing	que
necessita	VERB.Fin.Sing	necessitar
engatinhar	VERB.Inf	engatinhar
,	PUNCT.Comma	,
rolar	VERB.Inf	rolar
,	PUNCT.Comma	,
preparar	VERB.Inf	preparar
-se	PRON.Masc.Sing	se
para	ADP	para
os	DET.Masc.Plur	o
primeiros	ADJ.Masc.Plur	primeiro
passos	NOUN.Masc.Plur	passo
,	PUNCT.Comma	,
explorar	VERB.Inf	explorar
diversos	DET.Masc.Plur	diversos
tipos	NOUN.Masc.Plur	tipo
de	ADP	de
materiais	NOUN.Masc.Plur	material
,	PUNCT.Comma	,
observar	VERB.Inf	observar
,	PUNCT.Comma	,
brincar	VERB.Inf	brincar
,	PUNCT.Comma	,
ter	VERB.Inf	ter
sensibilidade	NOUN.Fem.Sing	sensibilidade
ao	ADP_DET.Masc.Sing	a_o
toque	NOUN.Masc.Sing	toque
do	ADP_DET.Masc.Sing	de_o
outro	NOUN.Masc.Sing	outro
,	PUNCT.Comma	,
alimentar	VERB.Inf	alimentar
-se	PRON.Masc.Sing	se
,	PUNCT.Comma	,
fazer	VERB.Inf	fazer
sua	DET.Fem.Sing	seu
higiene	NOUN.Fem.Sing	higiene
pessoal	ADJ.Fem.Sing	pessoal
,	PUNCT.Comma	,
descansar	VERB.Inf	descansar
e	CCONJ	e
dormir	VERB.Inf	dormir
,	PUNCT.Comma	,
realizando	VERB.Part	realizar
assim	ADV	assim
suas	DET.Fem.Plur	seu
necessidades	NOUN.Fem.Plur	necessidade
básicas	ADJ.Fem.Plur	básico
e	CCONJ	e
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
favorecendo	VERB.Part	favorecer
as	DET.Fem.Plur	o
relações	NOUN.Fem.Plur	relação
intra	ADJ.Fem.Plur	<unknown>
e	CCONJ	e
interpessoais	ADJ.Fem.Plur	interpessoal
,	PUNCT.Comma	,
além	ADV	além
de	ADP	de
estabelecer	VERB.Inf	estabelecer
uma	DET.Fem.Sing	um
melhor	ADJ.Fem.Sing	bom
compreensão	NOUN.Fem.Sing	compreensão
da	ADP_DET.Fem.Sing	de_o
localização	NOUN.Fem.Sing	localização
de	ADP	de
cada	DET.Masc.Sing	cada
ambiente	NOUN.Masc.Sing	ambiente
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
instituição	NOUN.Fem.Sing	instituição
deve	AUX.Fin.Sing	dever
explorar	VERB.Inf	explorar
o	DET.Masc.Sing	o
ambiente	NOUN.Masc.Sing	ambiente
externo	ADJ.Masc.Sing	externo
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Sing	que
servirá	VERB.Fin.Sing	servir
como	ADP	como
uma	DET.Fem.Sing	um
forma	NOUN.Fem.Sing	forma
de	ADP	de
aprendizagem	NOUN.Fem.Sing	aprendizagem
,	PUNCT.Comma	,
construção	NOUN.Fem.Sing	construção
das	ADP_DET.Fem.Plur	de_o
primeiras	ADJ.Fem.Plur	primeiro
noções	NOUN.Fem.Plur	noção
de	ADP	de
cuidado	NOUN.Masc.Sing	cuidado
com	ADP	com
o	DET.Masc.Sing	o
meio	ADJ.Masc.Sing	meio
ambiente	NOUN.Masc.Sing	ambiente
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
interação	NOUN.Fem.Sing	interação
com	ADP	com
adultos	NOUN.Masc.Plur	adulto
e	CCONJ	e
crianças	NOUN.Fem.Plur	criança
de	ADP	de
diferentes	ADJ.Fem.Plur	diferente
idades	NOUN.Fem.Plur	idade
,	PUNCT.Comma	,
brincadeiras	NOUN.Fem.Plur	brincadeira
diversas	ADJ.Fem.Plur	diverso
e	CCONJ	e
o	DET.Masc.Sing	o
contato	NOUN.Masc.Sing	contato
com	ADP	com
a	DET.Fem.Sing	o
natureza	NOUN.Fem.Sing	natureza
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
atividades	NOUN.Fem.Plur	atividade
em	ADP	em
ambientes	NOUN.Masc.Plur	ambiente
externos	ADJ.Masc.Plur	externo
devem	AUX.Fin.Plur	dever
contar	VERB.Inf	contar
ainda	ADV	ainda
,	PUNCT.Comma	,
com	ADP	com
espaços	NOUN.Masc.Plur	espaço
ensolarados	ADJ.Masc.Plur	ensolarado
e	CCONJ	e
com	ADP	com
áreas	NOUN.Fem.Plur	área
verdes	ADJ.Fem.Plur	verde
proporcionando	VERB.Part	proporcionar
à	ADP_DET.Fem.Sing	a_o
criança	NOUN.Fem.Sing	criança
um	DET.Masc.Sing	um
aprendizado	NOUN.Masc.Sing	aprendizado
integral	ADJ.Masc.Sing	integral
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
espaço	NOUN.Masc.Sing	espaço
deve	AUX.Fin.Sing	dever
ser	AUX.Inf	ser
organizado	VERB.Part.Masc.Sing	organizar
para	ADP	para
que	SCONJ	que
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
brinquem	VERB.Fin.Plur	brincar
espontaneamente	ADV	espontaneamente
e	CCONJ	e
sem	ADP	sem
cobranças	NOUN.Fem.Plur	cobrança
,	PUNCT.Comma	,
aumentando	VERB.Ger	aumentar
as	DET.Fem.Plur	o
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
descobrir	VERB.Inf	descobrir
sua	DET.Fem.Sing	seu
própria	ADJ.Fem.Sing	próprio
maneira	NOUN.Fem.Sing	maneira
de	ADP	de
ser	VERB.Inf	ser
e	CCONJ	e
construir	VERB.Inf	construir
sua	DET.Fem.Sing	seu
afetividade	NOUN.Fem.Sing	afetividade
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
atividades	NOUN.Fem.Plur	atividade
desenvolvidas	VERB.Part.Fem.Plur	desenvolver
no	ADP_DET.Masc.Sing	em_o
ambiente	NOUN.Masc.Sing	ambiente
educativo	ADJ.Masc.Sing	educativo
devem	AUX.Fin.Plur	dever
ser	AUX.Inf	ser
planejadas	VERB.Part.Fem.Plur	planejar
para	ADP	para
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
.	PUNCT.Sent	.
Conhecer	VERB.Inf	conhecer
os	DET.Masc.Plur	o
aspectos	NOUN.Masc.Plur	aspecto
que	PRON.Rel.Masc.Plur	que
marcam	VERB.Fin.Plur	marcar
as	DET.Fem.Plur	o
características	NOUN.Fem.Plur	característica
de	ADP	de
cada	DET.Masc.Sing	cada
grupo	NOUN.Masc.Sing	grupo
etário	ADJ.Masc.Sing	etário
é	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
para	ADP	para
orientar	VERB.Inf	orientar
o	DET.Masc.Sing	o
trabalho	NOUN.Masc.Sing	trabalho
desenvolvido	VERB.Part.Masc.Sing	desenvolver
e	CCONJ	e
estimular	VERB.Inf	estimular
as	DET.Fem.Plur	o
potencialidades	NOUN.Fem.Plur	potencialidade
da	ADP_DET.Fem.Sing	de_o
criança	NOUN.Fem.Sing	criança
.	PUNCT.Sent	.
Desta	ADP_DET.Fem.Sing	de_este
forma	NOUN.Fem.Sing	forma
,	PUNCT.Comma	,
algumas	DET.Fem.Plur	algum
sugestões	NOUN.Fem.Plur	sugestão
de	ADP	de
atividades	NOUN.Fem.Plur	atividade
com	ADP	com
materiais	NOUN.Masc.Plur	material
diversos	ADJ.Masc.Plur	diverso
devem	AUX.Fin.Plur	dever
ser	AUX.Inf	ser
observadas	VERB.Part.Fem.Plur	observar
,	PUNCT.Comma	,
como	ADP	como
ponto	NOUN.Masc.Sing	ponto
de	ADP	de
partida	NOUN.Fem.Sing	partida
para	ADP	para
ampliação	NOUN.Fem.Sing	ampliação
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
na	ADP_DET.Fem.Sing	em_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
.	PUNCT.Sent	.
**Atividades	NOUN.Fem.Plur	**Atividade
manuais	ADJ.Fem.Plur	manual
finas:**	VERB.Fin.Plur	<unknown>
Essas	DET.Fem.Plur	esse
atividades	NOUN.Fem.Plur	atividade
fazem	VERB.Fin.Plur	fazer
parte	NOUN.Fem.Sing	parte
do	ADP_DET.Masc.Sing	de_o
dia	NOUN.Masc.Sing	dia
a	ADP	a
dia	NOUN.Masc.Sing	dia
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
,	PUNCT.Comma	,
dando	VERB.Ger	dar
a	DET.Fem.Sing	o
autonomia	NOUN.Fem.Sing	autonomia
para	ADP	para
que	SCONJ	que
elas	PRON.Fem.Plur	ele
possam	AUX.Fin.Plur	poder
tomar	VERB.Inf	tomar
decisões	NOUN.Fem.Plur	decisão
,	PUNCT.Comma	,
expressar	VERB.Inf	expressar
sentimentos	NOUN.Masc.Plur	sentimento
e	CCONJ	e
valores	NOUN.Masc.Plur	valor
,	PUNCT.Comma	,
conhecendo	VERB.Ger	conhecer
a	ADP	a
si	PRON.Sing	si
próprios	ADJ.Masc.Plur	próprio
e	CCONJ	e
os	DET.Masc.Plur	o
outros	PRON.Masc.Plur	outro
.	PUNCT.Sent	.
