###	VERB.Fin.Sing	<unknown>
3.1	NUM	@card@
BREVE	NOUN.Masc.Sing	breve
HISTÓRICO	ADJ.Masc.Sing	histórico
DA	ADP_DET.Fem.Sing	de_o
EDUCAÇÃO	NOUN.Fem.Sing	educação
INFANTIL	ADJ.Fem.Sing	infantil
EM	ADP	em
RORAIMA	PROPN.Masc.Sing	Roraima
A	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
no	ADP_DET.Masc.Sing	em_o
Estado	NOUN.Masc.Sing	estado
de	ADP	de
Roraima	PROPN.Fem.Sing	Roraima
foi	AUX.Fin.Sing	ser
implementada	VERB.Part.Fem.Sing	implementar
em	ADP	em
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
redes	NOUN.Fem.Plur	rede
municipais	ADJ.Fem.Plur	municipal
,	PUNCT.Comma	,
tanto	ADV	tanto
pública	ADJ.Fem.Sing	público
como	ADV	como
privada	ADJ.Fem.Sing	privado
,	PUNCT.Comma	,
está	AUX.Fin.Sing	estar
regulamentada	VERB.Part.Fem.Sing	regulamentar
pelas	ADP_DET.Fem.Plur	por_o
normativas	ADJ.Fem.Plur	normativo
e	CCONJ	e
resoluções	NOUN.Fem.Plur	resolução
gerais	ADJ.Fem.Plur	geral
dos	ADP_DET.Masc.Plur	de_o
Conselhos	NOUN.Masc.Plur	conselho
Estadual	PROPN.Sing	Estadual
e	CCONJ	e
Municipal	PROPN.Sing	Municipal
de	ADP	de
Educação	PROPN.Sing	Educação
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
Resolução	NOUN.Fem.Sing	resolução
CEE/RR	PROPN.Masc.Sing	<unknown>
05/09	PROPN.Sing	@card@
estabelece	VERB.Fin.Sing	estabelecer
as	DET.Fem.Plur	o
normas	NOUN.Fem.Plur	norma
aplicáveis	ADJ.Fem.Plur	aplicável
para	ADP	para
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
no	ADP_DET.Masc.Sing	em_o
Sistema	PROPN.Masc.Sing	Sistema
Estadual	PROPN.Sing	Estadual
de	ADP	de
Ensino	PROPN.Sing	Ensino
e	CCONJ	e
dá	VERB.Fin.Sing	dar
outras	DET.Fem.Plur	outro
providências	NOUN.Fem.Plur	providência
,	PUNCT.Comma	,
normatiza	VERB.Fin.Sing	normatizar
a	DET.Fem.Sing	o
organização	NOUN.Fem.Sing	organização
da	ADP_DET.Fem.Sing	de_o
primeira	ADJ.Fem.Sing	primeiro
etapa	NOUN.Fem.Sing	etapa
da	ADP_DET.Fem.Sing	de_o
Educação	PROPN.Fem.Sing	Educação
Básica	ADJ.Fem.Sing	básico
que	PRON.Rel.Fem.Sing	que
tem	VERB.Fin.Sing	ter
como	ADP	como
objetivo	NOUN.Masc.Sing	objetivo
central	ADJ.Masc.Sing	central
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
integral	ADJ.Masc.Sing	integral
da	ADP_DET.Fem.Sing	de_o
criança	NOUN.Fem.Sing	criança
,	PUNCT.Comma	,
em	ADP	em
seus	DET.Masc.Plur	seu
aspectos	NOUN.Masc.Plur	aspecto
físico	ADJ.Masc.Sing	físico
,	PUNCT.Comma	,
afetivo	ADJ.Masc.Sing	afetivo
,	PUNCT.Comma	,
psicológico	ADJ.Masc.Sing	psicológico
,	PUNCT.Comma	,
intelectual	ADJ.Fem.Sing	intelectual
,	PUNCT.Comma	,
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
complementando	VERB.Part	complementar
a	DET.Fem.Sing	o
ação	NOUN.Fem.Sing	ação
da	ADP_DET.Fem.Sing	de_o
família	NOUN.Fem.Sing	família
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
comunidade	NOUN.Fem.Sing	comunidade
,	PUNCT.Comma	,
conforme	ADV	conforme
estabelecido	VERB.Part.Masc.Sing	estabelecer
no	ADP_DET.Masc.Sing	em_o
art	X	art
.	PUNCT.Sent	.
29	NUM	29
(	PUNCT.Par.Left	(
LDBEN	PROPN.Masc.Sing	<unknown>
n.	PROPN.Sing	<unknown>
9394/96	PROPN.Sing	@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
Conselho	PROPN.Masc.Sing	Conselho
Estadual	PROPN.Sing	Estadual
de	ADP	de
Educação	PROPN.Sing	Educação
também	ADV	também
orienta	VERB.Fin.Sing	orientar
e	CCONJ	e
assessora	VERB.Fin.Sing	assessorar
os	DET.Masc.Plur	o
Municípios	PROPN.Sing	Municípios
em	ADP	em
regime	NOUN.Masc.Sing	regime
de	ADP	de
colaboração	NOUN.Fem.Sing	colaboração
as	DET.Fem.Plur	o
regulamentações	NOUN.Fem.Plur	regulamentação
conforme	ADV	conforme
a	ADP	a
DCNEI	PROPN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
art	X	art
.	PUNCT.Sent	.
7º	ADJ.Masc.Sing	7º
da	ADP_DET.Fem.Sing	de_o
Resolução	NOUN.Fem.Sing	resolução
CEE/CES/RR	PROPN.Masc.Sing	<unknown>
051/03	PROPN.Sing	@card@
e	CCONJ	e
art	X	art
.	PUNCT.Sent	.
9º	ADJ.Masc.Sing	9º
da	ADP_DET.Fem.Sing	de_o
Lei	PROPN.Fem.Sing	Lei
n.	NOUN.Masc.Plur	<unknown>
429/04	NUM	@card@
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
maioria	NOUN.Fem.Sing	maioria
