##	VERB.Fin.Sing	<unknown>
2.4.14	NUM	@card@
Direitos	PROPN.Sing	Direitos
da	ADP_DET.Fem.Sing	de_o
Criança	PROPN.Sing	Criança
e	PROPN.Sing	e
do	ADP_DET.Masc.Sing	de_o
Adolescente	PROPN.Sing	Adolescente
Todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
indivíduos	NOUN.Masc.Plur	indivíduo
têm	VERB.Fin.Plur	ter
direitos	NOUN.Masc.Plur	direito
básicos	ADJ.Masc.Plur	básico
e	CCONJ	e
garantias	NOUN.Fem.Plur	garantia
individuais	ADJ.Fem.Plur	individual
no	ADP_DET.Masc.Sing	em_o
mundo	NOUN.Masc.Sing	mundo
da	ADP_DET.Fem.Sing	de_o
política	NOUN.Fem.Sing	política
republicana	ADJ.Fem.Sing	republicano
e	CCONJ	e
democrática	ADJ.Fem.Sing	democrático
,	PUNCT.Comma	,
no	ADP_PRON.Masc.Sing	em_o
qual	PRON.Rel.Masc.Sing	qual
o	DET.Masc.Sing	o
nascimento	NOUN.Masc.Sing	nascimento
estabelece	VERB.Fin.Sing	estabelecer
garantias	NOUN.Fem.Plur	garantia
básicas	ADJ.Fem.Plur	básico
e	CCONJ	e
a	DET.Fem.Sing	o
vida	NOUN.Fem.Sing	vida
é	AUX.Fin.Sing	ser
o	DET.Masc.Sing	o
principal	ADJ.Masc.Sing	principal
e	CCONJ	e
fundante	ADJ.Masc.Sing	<unknown>
princípio	NOUN.Masc.Sing	princípio
dos	ADP_DET.Masc.Plur	de_o
direitos	NOUN.Masc.Plur	direito
.	PUNCT.Sent	.
Assim	ADV	assim
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
humanos	ADJ.Masc.Plur	humano
são	AUX.Fin.Plur	ser
universais	ADJ.Fem.Plur	universal
e	CCONJ	e
acolhem	VERB.Fin.Plur	acolher
,	PUNCT.Comma	,
nas	ADP_DET.Fem.Plur	em_o
suas	DET.Fem.Plur	seu
concepções	NOUN.Fem.Plur	concepção
fundamentais	ADJ.Fem.Plur	fundamental
,	PUNCT.Comma	,
também	ADV	também
os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
civis	ADJ.Masc.Plur	civil
,	PUNCT.Comma	,
políticos	ADJ.Masc.Plur	político
,	PUNCT.Comma	,
econômicos	ADJ.Masc.Plur	econômico
,	PUNCT.Comma	,
sociais	ADJ.Fem.Plur	social
e	CCONJ	e
culturais	ADJ.Fem.Plur	cultural
.	PUNCT.Sent	.
Todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
seres	NOUN.Masc.Plur	ser
humanos	ADJ.Masc.Plur	humano
estão	AUX.Fin.Plur	estar
protegidos	VERB.Part.Masc.Plur	proteger
pelos	ADP_DET.Masc.Plur	por_o
direitos	NOUN.Masc.Plur	direito
humanos	ADJ.Masc.Plur	humano
,	PUNCT.Comma	,
incluindo	VERB.Ger	incluir
as	DET.Fem.Plur	o
crianças	NOUN.Fem.Plur	criança
e	CCONJ	e
os	DET.Masc.Plur	o
adolescentes	NOUN.Masc.Plur	adolescente
que	PRON.Rel.Masc.Plur	que
gozam	VERB.Fin.Plur	gozar
de	ADP	de
direitos	NOUN.Masc.Plur	direito
específicos	ADJ.Masc.Plur	específico
por	ADV	por
necessitarem	VERB.Fin.Plur	necessitar
de	ADP	de
cuidados	NOUN.Masc.Plur	cuidado
e	CCONJ	e
proteção	NOUN.Fem.Sing	proteção
especiais	ADJ.Fem.Plur	especial
.	PUNCT.Sent	.
Os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
humanos	ADJ.Masc.Plur	humano
das	ADP_DET.Fem.Plur	de_o
crianças	NOUN.Fem.Plur	criança
e	CCONJ	e
dos	ADP_DET.Masc.Plur	de_o
adolescentes	NOUN.Masc.Plur	adolescente
estão	AUX.Fin.Plur	estar
explicitamente	ADV	explicitamente
definidos	VERB.Part.Masc.Plur	definir
na	ADP_DET.Fem.Sing	em_o
Convenção	NOUN.Fem.Sing	convenção
das	ADP_DET.Fem.Plur	de_o
Nações	PROPN.Fem.Plur	Nações
Unidas	PROPN.Sing	Unidas
sobre	ADP	sobre
os	PROPN.Sing	os
Direitos	PROPN.Sing	Direitos
da	ADP_DET.Fem.Sing	de_o
Criança	PROPN.Sing	Criança
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
tratado	NOUN.Masc.Sing	tratado
de	ADP	de
direitos	NOUN.Masc.Plur	direito
humanos	ADJ.Masc.Plur	humano
mais	ADV	mais
amplamente	ADV	amplamente
ratificado	VERB.Part.Masc.Sing	ratificar
da	ADP_DET.Fem.Sing	de_o
história	NOUN.Fem.Sing	história
,	PUNCT.Comma	,
acordado	VERB.Part.Masc.Sing	acordar
por	ADP	por
todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
países	NOUN.Masc.Plur	país
do	ADP_DET.Masc.Sing	de_o
mundo	NOUN.Masc.Sing	mundo
,	PUNCT.Comma	,
exceto	ADP	exceto
os	DET.Masc.Plur	o
Estados	PROPN.Masc.Plur	Estados
Unidos	PROPN.Sing	Unidos
da	ADP_DET.Fem.Sing	de_o
América	PROPN.Fem.Sing	América
.	PUNCT.Sent	.
Eles	PRON.Masc.Plur	eles
também	ADV	também
estão	AUX.Fin.Plur	estar
contidos	VERB.Part.Masc.Plur	conter
em	ADP	em
outros	DET.Masc.Plur	outro
documentos	NOUN.Masc.Plur	documento
de	ADP	de
direitos	NOUN.Masc.Plur	direito
humanos	ADJ.Masc.Plur	humano
,	PUNCT.Comma	,
incluindo	VERB.Ger	incluir
a	DET.Fem.Sing	o
Declaração	NOUN.Fem.Sing	declaração
Universal	PROPN.Fem.Sing	Universal
dos	ADP_DET.Masc.Plur	de_o
Direitos	PROPN.Sing	Direitos
Humanos	PROPN.Sing	Humanos
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
Pactos	NOUN.Masc.Plur	pacto
Internacionais	ADJ.Masc.Plur	internacional
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
Convenção	NOUN.Fem.Sing	convenção
sobre	ADP	sobre
a	DET.Fem.Sing	o
Eliminação	NOUN.Fem.Sing	eliminação
de	ADP	de
