3.5.4	NUM	@card@
Componentes	NOUN.Masc.Plur	componente
Curriculares	ADJ.Masc.Plur	curricular
A	DET.Fem.Sing	o
Matemática	PROPN.Fem.Sing	Matemática
constitui	VERB.Fin.Sing	constituir
-se	PRON.Masc.Sing	se
como	ADP	como
uma	DET.Fem.Sing	um
ferramenta	NOUN.Fem.Sing	ferramenta
essencial	ADJ.Fem.Sing	essencial
de	ADP	de
trabalho	NOUN	trabalho
nos	ADP_DET.Masc.Plur	em_o
diversos	DET.Masc.Plur	diversos
ramos	NOUN.Masc.Plur	ramo
da	ADP_DET.Fem.Sing	de_o
ação	NOUN.Fem.Sing	ação
humana	ADJ.Fem.Sing	humano
,	PUNCT.Comma	,
tendo	VERB.Ger	ter
muitos	PRON.Masc.Plur	muito
dos	ADP_DET.Masc.Plur	de_o
seus	DET.Masc.Plur	seu
objetos	NOUN.Masc.Plur	objeto
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
aplicados	VERB.Part.Masc.Plur	aplicar
em	ADP	em
praticamente	ADV	praticamente
todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
campos	NOUN.Masc.Plur	campo
e	CCONJ	e
áreas	NOUN.Fem.Plur	área
da	ADP_DET.Fem.Sing	de_o
ciência	NOUN.Fem.Sing	ciência
.	PUNCT.Sent	.
Isso	PRON.Masc.Sing	isso
reflete	VERB.Fin.Sing	refletir
a	DET.Fem.Sing	o
necessidade	NOUN.Fem.Sing	necessidade
da	ADP_DET.Fem.Sing	de_o
sua	DET.Fem.Sing	seu
interlocução	NOUN.Fem.Sing	interlocução
com	ADP	com
as	DET.Fem.Plur	o
áreas	NOUN.Fem.Plur	área
protagonizadas	VERB.Part.Fem.Plur	protagonizar
pelo	ADP_DET.Masc.Sing	por_o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
,	PUNCT.Comma	,
especialmente	ADV	especialmente
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
que	PRON.Rel.Masc.Sing	que
diz	VERB.Fin.Sing	dizer
respeito	NOUN.Masc.Sing	respeito
à	ADP_DET.Fem.Sing	a_o
resolução	NOUN.Fem.Sing	resolução
de	ADP	de
problemas	NOUN.Masc.Plur	problema
com	ADP	com
base	NOUN.Fem.Sing	base
na	ADP_DET.Fem.Sing	em_o
construção	NOUN.Fem.Sing	construção
de	ADP	de
significados	NOUN.Masc.Plur	significado
para	ADP	para
os	DET.Masc.Plur	o
conceitos	NOUN.Masc.Plur	conceito
e	CCONJ	e
procedimentos	NOUN.Masc.Plur	procedimento
matemáticos	ADJ.Masc.Plur	matemático
.	PUNCT.Sent	.
Vale	VERB.Fin.Sing	valer
salientar	VERB.Inf	salientar
que	SCONJ	que
os	DET.Masc.Plur	o
trabalhos	NOUN.Masc.Plur	trabalho
intradisciplinares	ADJ.Masc.Plur	intradisciplinar
,	PUNCT.Comma	,
interdisciplinares	ADJ.Masc.Plur	interdisciplinar
e	CCONJ	e
transdisciplinares	ADJ.Masc.Plur	transdisciplinar
surgem	VERB.Fin.Plur	surgir
como	ADV	como
pressupostos	VERB.Part.Masc.Plur	pressupor
na	ADP_DET.Fem.Sing	em_o
promoção	NOUN.Fem.Sing	promoção
do	ADP_DET.Masc.Sing	de_o
ensino	NOUN.Masc.Sing	ensino
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
aprendizagem	NOUN.Fem.Sing	aprendizagem
em	ADP	em
Matemática	PROPN.Fem.Sing	Matemática
.	PUNCT.Sent	.
O	DET.Masc.Sing	o
primeiro	ADJ.Masc.Sing	primeiro
permite	VERB.Fin.Sing	permitir
olhar	VERB.Inf	olhar
para	ADP	para
a	DET.Fem.Sing	o
própria	ADJ.Fem.Sing	próprio
área	NOUN.Fem.Sing	área
,	PUNCT.Comma	,
a	ADP	a
partir	NOUN	partir
das	ADP_DET.Fem.Plur	de_o
inúmeras	ADJ.Fem.Plur	inúmero
iniciativas	NOUN.Fem.Plur	iniciativa
que	PRON.Rel.Fem.Plur	que
os	DET.Masc.Plur	o
professores	NOUN.Masc.Plur	professor
podem	AUX.Fin.Plur	poder
ter	AUX.Inf	ter
acerca	ADV	acerca
dos	ADP_DET.Masc.Plur	de_o
estudos	NOUN.Masc.Plur	estudo
sobre	ADP	sobre
os	DET.Masc.Plur	o
diversos	DET.Masc.Plur	diversos
campos	NOUN.Masc.Plur	campo
,	PUNCT.Comma	,
conceitos	NOUN.Masc.Plur	conceito
e	CCONJ	e
suas	DET.Fem.Plur	seu
relações	NOUN.Fem.Plur	relação
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
interdisciplinaridade	NOUN.Fem.Sing	interdisciplinaridade
,	PUNCT.Comma	,
além	ADV	além
de	ADP	de
enriquecer	VERB.Inf	enriquecer
o	DET.Masc.Sing	o
trabalho	NOUN.Masc.Sing	trabalho
,	PUNCT.Comma	,
confere	VERB.Fin.Sing	conferir
à	ADP_DET.Fem.Sing	a_o
Matemática	PROPN.Fem.Sing	Matemática
um	DET.Masc.Sing	um
caráter	NOUN.Masc.Sing	caráter
mais	ADV	mais
humano	ADJ.Masc.Sing	humano
e	CCONJ	e
vivo	ADJ.Masc.Sing	vivo
.	PUNCT.Sent	.
Coloca	VERB.Fin.Sing	colocar
em	ADP	em
pauta	NOUN.Fem.Sing	pauta
as	DET.Fem.Plur	o
reais	ADJ.Fem.Plur	real
aplicações	NOUN.Fem.Plur	aplicação
nas	ADP_DET.Fem.Plur	em_o
outras	DET.Fem.Plur	outro
áreas	NOUN.Fem.Plur	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
(	PUNCT.Par.Left	(
e	CCONJ	e
vice-versa	ADV	vice-versa
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
possibilitando	VERB.Part	possibilitar
momentos	NOUN.Masc.Plur	momento
de	ADP	de
contextualização	NOUN.Fem.Sing	contextualização
com	ADP	com
situações	NOUN.Fem.Plur	situação
