##	VERB.Fin.Sing	<unknown>
5.2	NUM	5.2
COMPONENTES	NOUN.Masc.Plur	componente
CURRICULARES	ADJ.Masc.Plur	curricular
ELETIVOS	ADJ.Masc.Plur	eletivo
Os	DET.Masc.Plur	o
Componentes	NOUN.Masc.Plur	componente
Curriculares	ADJ.Masc.Plur	curricular
Eletivos	ADJ.Masc.Plur	eletivo
(	PUNCT.Par.Left	(
CCEs	PROPN.Masc.Sing	<unknown>
)	PUNCT.Par.Right	)
possuem	VERB.Fin.Plur	possuir
grande	ADJ.Fem.Sing	grande
potencialidade	NOUN.Fem.Sing	potencialidade
no	ADP_DET.Masc.Sing	em_o
que	PRON.Rel.Masc.Sing	que
se	PRON	se
refere	VERB.Fin.Sing	referir
ao	ADP_DET.Masc.Sing	a_o
caráter	NOUN.Masc.Sing	caráter
de	ADP	de
flexibilização	NOUN.Fem.Sing	flexibilização
curricular	ADJ.Fem.Sing	curricular
,	PUNCT.Comma	,
figurando	VERB.Part	figurar
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
organização	NOUN.Fem.Sing	organização
do	ADP_DET.Masc.Sing	de_o
Novo	ADJ.Masc.Sing	novo
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
,	PUNCT.Comma	,
como	ADP	como
um	DET.Masc.Sing	um
espaço	NOUN.Masc.Sing	espaço
privilegiado	VERB.Part.Masc.Sing	privilegiar
para	ADP	para
a	DET.Fem.Sing	o
diversificação	NOUN.Fem.Sing	diversificação
das	ADP_DET.Fem.Plur	de_o
aprendizagens	NOUN.Fem.Plur	aprendizagem
e	CCONJ	e
a	DET.Fem.Sing	o
discussão	NOUN.Fem.Sing	discussão
de	ADP	de
temas	NOUN.Masc.Plur	tema
atuais	ADJ.Masc.Plur	atual
,	PUNCT.Comma	,
enriquecendo	VERB.Part	enriquecer
e	CCONJ	e
ampliando	VERB.Part	ampliar
as	DET.Fem.Plur	o
aprendizagens	NOUN.Fem.Plur	aprendizagem
da	ADP_DET.Fem.Sing	de_o
formação	NOUN.Fem.Sing	formação
geral	ADJ.Fem.Sing	geral
básica	ADJ.Fem.Sing	básico
e/ou	NOUN.Masc.Sing	e/ou
dos	ADP_DET.Masc.Plur	de_o
itinerários	NOUN.Masc.Plur	itinerário
formativos	ADJ.Masc.Plur	formativo
.	PUNCT.Sent	.
Estes	DET.Masc.Plur	este
componentes	NOUN.Masc.Plur	componente
figuram	VERB.Fin.Plur	figurar
,	PUNCT.Comma	,
também	ADV	também
,	PUNCT.Comma	,
como	ADP	como
pontos	NOUN.Masc.Plur	ponto
centrais	ADJ.Masc.Plur	central
do	ADP_DET.Masc.Sing	de_o
currículo	NOUN.Masc.Sing	currículo
do	ADP_DET.Masc.Sing	de_o
ponto	NOUN.Masc.Sing	ponto
de	ADP	de
vista	NOUN	vista
da	ADP_DET.Fem.Sing	de_o
integração	NOUN.Fem.Sing	integração
curricular	ADJ.Fem.Sing	curricular
,	PUNCT.Comma	,
uma	DET.Fem.Sing	um
vez	NOUN.Fem.Sing	vez
que	PRON.Rel.Fem.Sing	que
podem	AUX.Fin.Plur	poder
relacionar	VERB.Inf	relacionar
duas	NUM	dois
ou	CCONJ	ou
mais	DET.Fem.Plur	muito
áreas	NOUN.Fem.Plur	área
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
,	PUNCT.Comma	,
temas	NOUN.Masc.Plur	tema
contemporâneos	ADJ.Masc.Plur	contemporâneo
transversais	ADJ.Masc.Plur	transversal
e/ou	NOUN.Masc.Sing	e/ou
conhecimentos	NOUN.Masc.Plur	conhecimento
da	ADP_DET.Fem.Sing	de_o
formação	NOUN.Fem.Sing	formação
técnica	ADJ.Fem.Sing	técnico
e	CCONJ	e
profissional	ADJ.Fem.Sing	profissional
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
oferta	NOUN.Fem.Sing	oferta
de	ADP	de
Componentes	NOUN.Masc.Plur	componente
Curriculares	ADJ.Masc.Plur	curricular
Eletivos	ADJ.Masc.Plur	eletivo
encontra	VERB.Fin.Sing	encontrar
suporte	NOUN.Masc.Sing	suporte
nas	ADP_DET.Fem.Plur	em_o
Diretrizes	NOUN.Fem.Plur	diretriz
Curriculares	ADJ.Fem.Plur	curricular
Nacionais	PROPN.Sing	Nacionais
para	ADP	para
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
(	PUNCT.Par.Left	(
2018	NUM	@card@
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Plur	que
concretizam	VERB.Fin.Plur	concretizar
e	CCONJ	e
detalham	VERB.Fin.Plur	detalhar
,	PUNCT.Comma	,
junto	ADV	junto
à	ADP_DET.Fem.Sing	a_o
Base	NOUN	base
Nacional	ADJ	nacional
Comum	PROPN.Sing	Comum
Curricular	ADJ.Fem.Sing	curricular
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
Lei	PROPN.Fem.Sing	Lei
13.415/2017	PROPN.Sing	@card@
.	PUNCT.Sent	.
Essas	DET.Fem.Plur	esse
diretrizes	NOUN.Fem.Plur	diretriz
dispõem	VERB.Fin.Plur	dispor
,	PUNCT.Comma	,
em	ADP	em
seu	DET.Masc.Sing	seu
Art	PROPN.Fem.Sing	Art
.	PUNCT.Sent	.
12	NUM	12
,	PUNCT.Comma	,
§	NOUN.Masc.Sing	<unknown>
7º	ADJ.Masc.Sing	7º
,	PUNCT.Comma	,
sobre	ADP	sobre
a	DET.Fem.Sing	o
possibilidade	NOUN.Fem.Sing	possibilidade
de	ADP	de
os	DET.Masc.Plur	o
currículos	NOUN.Masc.Plur	currículo
do	ADP_DET.Masc.Sing	de_o
ensino	NOUN.Masc.Sing	ensino
médio	ADJ.Masc.Sing	médio
considerarem	VERB.Inf.Plur	considerar
“	PUNCT.Quot	“
competências	NOUN.Fem.Plur	competência
eletivas	ADJ.Fem.Plur	eletivo
complementares	ADJ.Fem.Plur	complementar
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
como	ADP	como
forma	NOUN.Fem.Sing	forma
de	ADP	de
ampliação	NOUN.Fem.Sing	ampliação
da	ADP_DET.Fem.Sing	de_o
carga	NOUN.Fem.Sing	carga
horária	ADJ.Fem.Sing	horário
do	ADP_DET.Masc.Sing	de_o
itinerário	NOUN.Masc.Sing	itinerário
formativo	ADJ.Masc.Sing	formativo
escolhido	VERB.Part.Masc.Sing	escolher
,	PUNCT.Comma	,
atendendo	VERB.Ger	atender
ao	ADP_DET.Masc.Sing	a_o
projeto	NOUN.Masc.Sing	projeto
de	ADP	de
vida	NOUN.Fem.Sing	vida
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
”	PUNCT.Quot	”
.	PUNCT.Sent	.
Por	ADP	por
essa	DET.Fem.Sing	esse
lógica	NOUN.Fem.Sing	lógico
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
CCEs	NOUN.Masc.Plur	<unknown>
figuram	VERB.Fin.Plur	figurar
como	ADP	como
oportunidade	NOUN.Fem.Sing	oportunidade
de	ADP	de
ampliação	NOUN.Fem.Sing	ampliação
e	CCONJ	e
diversificação	NOUN.Fem.Sing	diversificação
das	ADP_DET.Fem.Plur	de_o
trajetórias	NOUN.Fem.Plur	trajetória
escolares	ADJ.Fem.Plur	escolar
e	CCONJ	e
das	ADP_DET.Fem.Plur	de_o
aprendizagens	NOUN.Fem.Plur	aprendizagem
,	PUNCT.Comma	,
devendo	AUX.Ger	dever
ser	AUX.Inf	ser
de	ADP	de
livre	ADJ.Fem.Sing	livre
escolha	NOUN.Fem.Sing	escolha
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
alinhar	VERB.Inf.Sing	alinhar
-se	PRON.Fem.Sing	se
a	ADP	a
seu	DET.Masc.Sing	seu
projeto	NOUN.Masc.Sing	projeto
de	ADP	de
vida	NOUN.Fem.Sing	vida
,	PUNCT.Comma	,
de	ADP	de
acordo	NOUN.Masc.Sing	acordo
com	ADP	com
as	DET.Fem.Plur	o
possibilidades	NOUN.Fem.Plur	possibilidade
de	ADP	de
oferta	NOUN.Fem.Sing	oferta
das	ADP_DET.Fem.Plur	de_o
instituições	NOUN.Fem.Plur	instituição
ou	CCONJ	ou
das	ADP_DET.Fem.Plur	de_o
redes	NOUN.Fem.Plur	rede
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
.	PUNCT.Sent	.
É	AUX.Fin.Sing	ser
importante	ADJ.Masc.Sing	importante
evidenciar	VERB.Inf	evidenciar
que	SCONJ	que
os	DET.Masc.Plur	o
CCEs	NOUN.Masc.Plur	<unknown>
podem	AUX.Fin.Plur	poder
ter	AUX.Inf	ter
diversas	ADJ.Fem.Plur	diverso
configurações	NOUN.Fem.Plur	configuração
e	CCONJ	e
abordar	VERB.Inf	abordar
diferentes	DET.Masc.Plur	diferentes
objetos	NOUN.Masc.Plur	objeto
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
,	PUNCT.Comma	,
desde	ADP	desde
que	PRON.Rel.Masc.Plur	que
trabalhem	VERB.Fin.Plur	trabalhar
de	ADP	de
forma	NOUN.Fem.Sing	forma
intencional	ADJ.Fem.Sing	intencional
as	DET.Fem.Plur	o
aprendizagens	NOUN.Fem.Plur	aprendizagem
relacionadas	VERB.Part.Fem.Plur	relacionar
ao	ADP_DET.Masc.Sing	a_o
itinerário	NOUN.Masc.Sing	itinerário
formativo	ADJ.Masc.Sing	formativo
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
ou	CCONJ	ou
a	ADP	a
outro	DET.Masc.Sing	outro
percurso	NOUN.Masc.Sing	percurso
de	ADP	de
aprofundamento	NOUN.Masc.Sing	aprofundamento
,	PUNCT.Comma	,
possibilitando	VERB.Part	possibilitar
o	DET.Masc.Sing	o
estudo	NOUN.Masc.Sing	estudo
de	ADP	de
temáticas	NOUN.Fem.Plur	temática
de	ADP	de
seu	DET.Masc.Sing	seu
interesse	NOUN.Masc.Sing	interesse
,	PUNCT.Comma	,
associadas	VERB.Part.Fem.Plur	associar
a	ADP	a
outras	DET.Fem.Plur	outro
áreas	NOUN.Fem.Plur	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
.	PUNCT.Sent	.
Deve	AUX.Fin.Sing	dever
-se	PRON	se
ressaltar	VERB.Inf	ressaltar
que	SCONJ	que
,	PUNCT.Comma	,
por	ADP	por
ser	AUX.Inf	ser
parte	NOUN.Fem.Sing	parte
integrante	ADJ.Fem.Sing	integrante
dos	ADP_DET.Masc.Plur	de_o
Itinerários	NOUN.Masc.Plur	itinerário
Formativos	ADJ.Masc.Plur	formativo
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
CCEs	NOUN.Masc.Plur	<unknown>
são	AUX.Fin.Plur	ser
também	ADV	também
perpassados	VERB.Part.Masc.Plur	perpassar
pelos	ADP_DET.Masc.Plur	por_o
eixos	NOUN.Masc.Plur	eixo
estruturantes	ADJ.Masc.Plur	estruturante
,	PUNCT.Comma	,
definidos	VERB.Part.Masc.Plur	definir
pelos	ADP_DET.Masc.Plur	por_o
documentos	NOUN.Masc.Plur	documento
norteadores	ADJ.Masc.Plur	norteador
do	ADP_DET.Masc.Sing	de_o
Novo	ADJ.Masc.Sing	novo
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
,	PUNCT.Comma	,
que	PRON.Rel.Masc.Plur	que
possuem	VERB.Fin.Plur	possuir
habilidades	NOUN.Fem.Plur	habilidade
e	CCONJ	e
focos	NOUN.Masc.Plur	foco
pedagógicos	ADJ.Masc.Plur	pedagógico
específicos	ADJ.Masc.Plur	específico
a	ADP	a
eles	PRON.Masc.Plur	eles
vinculados	VERB.Part.Masc.Plur	vincular
,	PUNCT.Comma	,
tecidos	VERB.Part.Masc.Plur	tecer
tanto	ADV	tanto
a	ADP	a
partir	NOUN	partir
das	ADP_DET.Fem.Plur	de_o
competências	NOUN.Fem.Plur	competência
gerais	ADJ.Fem.Plur	geral
da	ADP_DET.Fem.Sing	de_o
BNCC	PROPN.Fem.Sing	<unknown>
,	PUNCT.Comma	,
quanto	ADV	quanto
das	ADP_DET.Fem.Plur	de_o
Áreas	NOUN.Fem.Plur	área
do	ADP_DET.Masc.Sing	de_o
Conhecimento	NOUN.Masc.Sing	conhecimento
.	PUNCT.Sent	.
De	ADP	de
outra	DET.Fem.Sing	outro
parte	NOUN.Fem.Sing	parte
,	PUNCT.Comma	,
devido	ADV	devido
à	ADP_DET.Fem.Sing	a_o
sua	DET.Fem.Sing	seu
carga	NOUN.Fem.Sing	carga
horária	ADJ.Fem.Sing	horário
reduzida	VERB.Part.Fem.Sing	reduzir
,	PUNCT.Comma	,
tem	VERB.Fin.Sing	ter
-se	PRON	se
,	PUNCT.Comma	,
nos	ADP_DET.Masc.Plur	em_o
CCEs	NOUN.Masc.Plur	<unknown>
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
obrigatoriedade	NOUN.Fem.Sing	obrigatoriedade
da	ADP_DET.Fem.Sing	de_o
passagem	NOUN.Fem.Sing	passagem
por	ADP	por
um	DET.Masc.Sing	um
eixo	NOUN.Masc.Sing	eixo
estruturante	ADJ.Masc.Sing	estruturante
,	PUNCT.Comma	,
ainda	ADV	ainda
que	SCONJ	que
se	PRON.Masc.Plur	se
possam	AUX.Fin.Plur	poder
contemplar	VERB.Inf	contemplar
outros	DET.Masc.Plur	outro
eixos	NOUN.Masc.Plur	eixo
,	PUNCT.Comma	,
com	ADP	com
maior	ADJ.Fem.Sing	grande
ou	CCONJ	ou
menor	ADJ.Fem.Sing	pequeno
centralidade	NOUN.Fem.Sing	centralidade
,	PUNCT.Comma	,
se	SCONJ	se
a	DET.Fem.Sing	o
organização	NOUN.Fem.Sing	organização
do	ADP_DET.Masc.Sing	de_o
componente	NOUN.Masc.Sing	componente
assim	ADV	assim
o	PRON.Masc.Sing	o
permitir	VERB.Inf	permitir
.	PUNCT.Sent	.
Os	DET.Masc.Plur	o
CCEs	NOUN.Masc.Plur	<unknown>
possuem	VERB.Fin.Plur	possuir
carga	NOUN.Fem.Sing	carga
horária	ADJ.Fem.Sing	horário
semestral	ADJ.Fem.Sing	semestral
,	PUNCT.Comma	,
com	ADP	com
oferta	NOUN.Fem.Sing	oferta
a	ADP	a
partir	NOUN	partir
da	ADP_DET.Fem.Sing	de_o
1ª	ADJ.Fem.Sing	1ª
série	NOUN.Fem.Sing	série
do	ADP_DET.Masc.Sing	de_o
ensino	NOUN.Masc.Sing	ensino
médio	ADJ.Masc.Sing	médio
.	PUNCT.Sent	.
Esta	DET.Fem.Sing	este
oferta	NOUN.Fem.Sing	oferta
,	PUNCT.Comma	,
iniciada	VERB.Part.Fem.Sing	iniciar
no	ADP_DET.Masc.Sing	em_o
primeiro	ADJ.Masc.Sing	primeiro
ano	NOUN.Masc.Sing	ano
letivo	ADJ.Masc.Sing	letivo
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
realizada	VERB.Part.Fem.Sing	realizar
com	ADP	com
o	DET.Masc.Sing	o
objetivo	NOUN.Masc.Sing	objetivo
de	ADP	de
apoiar	VERB.Inf	apoiar
o	DET.Masc.Sing	o
estudante	NOUN.Masc.Sing	estudante
na	ADP_DET.Fem.Sing	em_o
escolha	NOUN.Fem.Sing	escolha
das	ADP_DET.Fem.Plur	de_o
trilhas	NOUN.Fem.Plur	trilha
de	ADP	de
aprofundamento	NOUN.Masc.Sing	aprofundamento
,	PUNCT.Comma	,
possibilitando	VERB.Part	possibilitar
-lhe	PRON.Masc.Sing	ele
