###	VERB.Fin.Sing	<unknown>
1.2.3	NUM	@card@
Sobre	ADP	sobre
a	DET.Fem.Sing	o
temática	ADJ.Fem.Sing	temático
indígena	NOUN.Fem.Sing	indígena
na	ADP_DET.Fem.Sing	em_o
escola	NOUN.Fem.Sing	escola
Neste	ADP_DET.Masc.Sing	em_este
item	NOUN.Masc.Sing	item
,	PUNCT.Comma	,
para	ADP	para
refletir	VERB.Inf	refletir
sobre	ADP	sobre
como	ADV	como
é	AUX.Fin.Sing	ser
tratada	VERB.Part.Fem.Sing	tratar
a	DET.Fem.Sing	o
temática	ADJ.Fem.Sing	temático
indígena	NOUN.Fem.Sing	indígena
nos	ADP_DET.Masc.Plur	em_o
centros	NOUN.Masc.Plur	centro
de	ADP	de
Educação	NOUN	educação
Infantil	ADJ.Masc.Sing	infantil
e	CCONJ	e
nas	ADP_DET.Fem.Plur	em_o
escolas	NOUN.Fem.Plur	escola
de	ADP	de
Educação	NOUN	educação
Básica	ADJ.Fem.Sing	básico
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
professores	NOUN.Masc.Plur	professor
indígenas	ADJ.Masc.Plur	indígena
optaram	VERB.Fin.Plur	optar
por	ADP	por
organizar	VERB.Inf	organizar
as	DET.Fem.Plur	o
ideias	NOUN.Fem.Plur	ideia
por	ADP	por
meio	NOUN	meio
da	ADP_DET.Fem.Sing	de_o
carta	NOUN.Fem.Sing	carta
a	ADP	a
seguir	VERB.Inf	seguir
.	PUNCT.Sent	.
Desejamos	VERB.Fin.Plur	desejar
que	SCONJ	que
tais	DET.Fem.Plur	tal
palavras	NOUN.Fem.Plur	palavra
influenciem	VERB.Fin.Plur	influenciar
todos	DET.Masc.Plur	todo
os	DET.Masc.Plur	o
professores	NOUN.Masc.Plur	professor
que	PRON.Rel.Masc.Plur	que
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
mês	NOUN.Masc.Sing	mês
de	ADP	de
abril	NOUN.Masc.Sing	abril
ou	CCONJ	ou
em	ADP	em
qualquer	DET.Fem.Sing	qualquer
outra	DET.Fem.Sing	outro
data	NOUN.Fem.Sing	data
do	ADP_DET.Masc.Sing	de_o
ano	NOUN.Masc.Sing	ano
,	PUNCT.Comma	,
trabalham	VERB.Fin.Plur	trabalhar
com	ADP	com
seus	DET.Masc.Plur	seu
alunos	NOUN.Masc.Plur	aluno
questões	NOUN.Fem.Plur	questão
relacionadas	VERB.Part.Fem.Plur	relacionar
às	ADP_DET.Fem.Plur	a_o
comunidades	NOUN.Fem.Plur	comunidade
e	CCONJ	e
às	ADP_DET.Fem.Plur	a_o
culturas	NOUN.Fem.Plur	cultura
indígenas	ADJ.Fem.Plur	indígena
.	PUNCT.Sent	.
**CARTA	VERB.Fin.Sing	<unknown>
ÀS	ADP_DET.Fem.Plur	a_o
PROFESSORAS	NOUN.Fem.Plur	professor
E	CCONJ	e
AOS	ADP_DET.Masc.Plur	a_o
PROFESSORES**	PROPN.Sing	<unknown>
**DAS	ADJ.Fem.Plur	<unknown>
REDES	NOUN.Fem.Plur	rede
PÚBLICA	ADJ	pública
ESTADUAL	ADJ.Masc.Sing	estadual
E	CCONJ	e
MUNICIPAL	ADJ.Masc.Sing	municipal
DE	ADP	de
EDUCAÇÃO	NOUN.Fem.Sing	educação
BÁSICA**	PROPN.Masc.Sing	<unknown>
**DE	VERB.Fin.Sing	<unknown>
SANTA	ADJ.Fem.Sing	santo
CATARINA**	NOUN.Fem.Sing	<unknown>
Prezadas	VERB.Part.Fem.Plur	prezar
professoras	NOUN.Fem.Plur	professor
e	CCONJ	e
prezados	VERB.Part.Masc.Plur	prezar
professores	NOUN.Masc.Plur	professor
,	PUNCT.Comma	,
Esta	DET.Fem.Sing	este
carta	NOUN.Fem.Sing	carta
é	AUX.Fin.Sing	ser
para	ADP	para
manifestar	VERB.Inf	manifestar
nossa	DET.Fem.Sing	nosso
indignação	NOUN.Fem.Sing	indignação
perante	ADP	perante
a	DET.Fem.Sing	o
representação	NOUN.Fem.Sing	representação
de	ADP	de
nós	NOUN.Masc.Plur	nó
indígenas	ADJ.Masc.Plur	indígena
no	ADP_DET.Masc.Sing	em_o
ensino	NOUN.Masc.Sing	ensino
da	ADP_DET.Fem.Sing	de_o
nossa	DET.Fem.Sing	nosso
cultura	NOUN.Fem.Sing	cultura
nas	ADP_DET.Fem.Plur	em_o
redes	NOUN.Fem.Plur	rede
públicas	ADJ.Fem.Plur	público
municipal	ADJ.Masc.Sing	municipal
e	CCONJ	e
estadual	ADJ.Masc.Sing	estadual
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
.	PUNCT.Sent	.
No	ADP_DET.Masc.Sing	em_o
Estado	NOUN.Masc.Sing	estado
de	ADP	de
Santa	PROPN.Masc.Sing	Santa
Catarina	PROPN.Sing	Catarina
,	PUNCT.Comma	,
somos	AUX.Fin.Plur	ser
três	NUM	três
povos	NOUN.Masc.Plur	povo
indígenas	ADJ.Masc.Plur	indígena
:	PUNCT.Colon	:
Kaingang	PROPN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
Laklãnõ/Xokleng	PROPN.Masc.Sing	<unknown>
e	CCONJ	e
Guarani	PROPN.Masc.Sing	Guarani
.	PUNCT.Sent	.
Não	ADV	não
toleramos	VERB.Fin.Plur	tolerar
mais	ADV	mais
sermos	AUX.Inf.Plur	ser
representados	VERB.Part.Masc.Plur	representar
como	ADP	como
sujeitos	NOUN.Masc.Plur	sujeito
do	ADP_DET.Masc.Sing	de_o
passado	ADJ.Masc.Sing	passado
,	PUNCT.Comma	,
“	PUNCT.Quot	“
congelados	NOUN.Masc.Plur	congelado
”	PUNCT.Quot	”
no	ADP_DET.Masc.Sing	em_o
tempo	NOUN.Masc.Sing	tempo
das	ADP_DET.Fem.Plur	de_o
primeiras	ADJ.Fem.Plur	primeiro
invasões	NOUN.Fem.Plur	invasão
dos	ADP_DET.Masc.Plur	de_o
nossos	DET.Masc.Plur	nosso
territórios	NOUN.Masc.Plur	território
.	PUNCT.Sent	.
Muito	ADV	muito
menos	ADV	menos
toleramos	VERB.Fin.Plur	tolerar
um	DET.Masc.Sing	um
julgamento	NOUN.Masc.Sing	julgamento
prévio	ADJ.Masc.Sing	prévio
sobre	ADP	sobre
a	DET.Fem.Sing	o
nossa	DET.Fem.Sing	nosso
aparência	NOUN.Fem.Sing	aparência
física	ADJ.Fem.Sing	físico
,	PUNCT.Comma	,
determinando	VERB.Part	determinar
quem	PRON.Rel.Sing	quem
é	VERB.Fin.Sing	ser
ou	CCONJ	ou
não	ADV	não
indígena	ADJ.Masc.Sing	indígena
.	PUNCT.Sent	.
Pedimos	VERB.Fin.Plur	pedir
respeito	NOUN.Masc.Sing	respeito
.	PUNCT.Sent	.
Não	ADV	não
somos	AUX.Fin.Plur	ser
personagens	NOUN.Masc.Plur	personagem
folclóricos	ADJ.Masc.Plur	folclórico
,	PUNCT.Comma	,
somos	AUX.Fin.Plur	ser
reais	ADJ.Masc.Plur	real
.	PUNCT.Sent	.
Não	ADV	não
aceitamos	VERB.Fin.Plur	aceitar
,	PUNCT.Comma	,
portanto	ADV	portanto
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
vulgarização	NOUN.Fem.Sing	vulgarização
dos	ADP_DET.Masc.Plur	de_o
nossos	DET.Masc.Plur	nosso
elementos	NOUN.Masc.Plur	elemento
sagrados	VERB.Part.Masc.Plur	sagrar
,	PUNCT.Comma	,
como	ADP	como
nossa	DET.Fem.Sing	nosso
pintura	NOUN.Fem.Sing	pintura
corporal	ADJ.Fem.Sing	corporal
e	CCONJ	e
nosso	DET.Masc.Sing	nosso
cocar	NOUN.Masc.Sing	cocar
.	PUNCT.Sent	.
Assim	ADV	assim
,	PUNCT.Comma	,
pedimos	VERB.Fin.Plur	pedir
que	SCONJ	que
não	ADV	não
pintem	VERB.Fin.Plur	pintar
os	DET.Masc.Plur	o
rostos	NOUN.Masc.Plur	rosto
dos	ADP_DET.Masc.Plur	de_o
seus	DET.Masc.Plur	seu
alunos	NOUN.Masc.Plur	aluno
ou	CCONJ	ou
façam	VERB.Fin.Plur	fazer
cocares	NOUN.Masc.Plur	cocar
para	ADP	para
adorná	VERB.Inf	<unknown>
-los	PRON.Masc.Plur	eles
no	ADP_DET.Masc.Sing	em_o
dia	NOUN.Masc.Sing	dia
19	NUM	19
de	ADP	de
abril	NOUN.Masc.Sing	abril
:	PUNCT.Colon	:
o	DET.Masc.Sing	o
respeito	NOUN.Masc.Sing	respeito
não	ADV	não
se	PRON	se
ensina	VERB.Fin.Sing	ensinar
por	ADP	por
meio	NOUN	meio
de	ADP	de
uma	DET.Fem.Sing	um
fantasia	NOUN.Fem.Sing	fantasia
.	PUNCT.Sent	.
Insistimos	VERB.Fin.Plur	insistir
em	ADP	em
esclarecer	VERB.Inf	esclarecer
que	SCONJ	que
não	ADV	não
mais	ADV	mais
vivemos	VERB.Fin.Plur	vivar
nus	ADJ.Masc.Plur	nu
,	PUNCT.Comma	,
em	ADP	em
ocas	NOUN.Fem.Plur	oco
ou	CCONJ	ou
malocas	NOUN.Fem.Plur	maloca
,	PUNCT.Comma	,
se	PRON.Masc	se
alimentando	VERB.Part	alimentar
exclusivamente	ADV	exclusivamente
com	ADP	com
peixes	NOUN.Masc.Plur	peixe
e	CCONJ	e
frutas	NOUN.Fem.Plur	fruta
,	PUNCT.Comma	,
conforme	ADP	conforme
representações	NOUN.Fem.Plur	representação
de	ADP	de
livros	NOUN.Masc.Plur	livro
didáticos	ADJ.Masc.Plur	didático
ultrapassados	ADJ.Masc.Plur	ultrapassado
.	PUNCT.Sent	.
Embora	SCONJ	embora
tenhamos	AUX.Fin.Plur	ter
sofrido	VERB.Part	sofrer
um	DET.Masc.Sing	um
histórico	ADJ.Masc.Sing	histórico
de	ADP	de
violência	NOUN.Fem.Sing	violência
e	CCONJ	e
de	ADP	de
sistemática	ADJ.Fem.Sing	sistemático
tentativa	NOUN.Fem.Sing	tentativa
de	ADP	de
destruição	NOUN.Fem.Sing	destruição
dos	ADP_DET.Masc.Plur	de_o
nossos	DET.Masc.Plur	nosso
povos	NOUN.Masc.Plur	povo
e	CCONJ	e
de	ADP	de
nossas	DET.Fem.Plur	nosso
culturas	NOUN.Fem.Plur	cultura
,	PUNCT.Comma	,
nós	PRON.Masc.Plur	nós
resistimos	VERB.Fin.Plur	resistir
.	PUNCT.Sent	.
Em	ADP	em
meados	NOUN.Masc.Plur	meado
de	ADP	de
1950	NUM	@card@
,	PUNCT.Comma	,
alguns	DET.Masc.Plur	algum
estudiosos	NOUN.Masc.Plur	estudioso
previam	VERB.Fin.Plur	prever
um	DET.Masc.Sing	um
futuro	NOUN.Masc.Sing	futuro
bastante	ADV	bastante
sombrio	ADJ.Masc.Sing	sombrio
:	PUNCT.Colon	:
o	DET.Masc.Sing	o
de	ADP	de
que	SCONJ	que
logo	ADV	logo
seríamos	VERB.Fin.Plur	ser
extintos	ADJ.Masc.Plur	extinto
.	PUNCT.Sent	.
Contudo	ADV	contudo
,	PUNCT.Comma	,
não	ADV	não
aceitamos	VERB.Fin.Plur	aceitar
passivamente	ADV	passivamente
tal	DET.Fem.Sing	tal
previsão	NOUN.Fem.Sing	previsão
,	PUNCT.Comma	,
por	ADP	por
isso	PRON.Masc.Sing	isso
lutamos	VERB.Fin.Plur	lutar
,	PUNCT.Comma	,
resistimos	VERB.Fin.Plur	resistir
,	PUNCT.Comma	,
insurgimo	VERB.Fin.Sing	<unknown>
-nos	PRON.Plur	nós
e	CCONJ	e
conquistamos	VERB.Fin.Plur	conquistar
direitos	NOUN.Masc.Plur	direito
.	PUNCT.Sent	.
Com	ADP	com
muita	DET.Fem.Sing	muito
garra	NOUN.Fem.Sing	garra
,	PUNCT.Comma	,
garantimos	VERB.Fin.Plur	garantir
o	DET.Masc.Sing	o
reconhecimento	NOUN.Masc.Sing	reconhecimento
de	ADP	de
nossos	DET.Masc.Plur	nosso
territórios	NOUN.Masc.Plur	território
,	PUNCT.Comma	,
mesmo	ADV	mesmo
que	SCONJ	que
reduzidos	VERB.Part.Masc.Plur	reduzir
como	ADP	como
Terras	NOUN.Fem.Plur	terra
Indígenas	ADJ.Fem.Plur	indígena
“	PUNCT.Quot	“
demarcadas	VERB.Part.Fem.Plur	demarcar
”	PUNCT.Quot	”
.	PUNCT.Sent	.
Nossa	DET.Fem.Sing	nosso
