##	VERB.Fin.Sing	<unknown>
Itinerários	NOUN.Masc.Plur	itinerário
Formativos	ADJ.Masc.Plur	formativo
Integrados	VERB.Part.Masc.Plur	integrar
Os	DET.Masc.Plur	o
itinerários	NOUN.Masc.Plur	itinerário
formativos	ADJ.Masc.Plur	formativo
,	PUNCT.Comma	,
parte	NOUN.Fem.Sing	parte
flexível	ADJ.Fem.Sing	flexível
do	ADP_DET.Masc.Sing	de_o
currículo	NOUN.Masc.Sing	currículo
,	PUNCT.Comma	,
serão	AUX.Fin.Plur	ser
ofertados	VERB.Part.Masc.Plur	ofertar
por	ADP	por
meio	NOUN	meio
de	ADP	de
diferentes	DET.Masc.Plur	diferentes
arranjos	NOUN.Masc.Plur	arranjo
curriculares	ADJ.Masc.Plur	curricular
.	PUNCT.Sent	.
Além	ADV	além
dos	ADP_DET.Masc.Plur	de_o
itinerários	NOUN.Masc.Plur	itinerário
por	ADP	por
área	NOUN.Fem.Sing	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
,	PUNCT.Comma	,
também	ADV	também
poderão	AUX.Fin.Plur	poder
ser	AUX.Inf	ser
organizados	VERB.Part.Masc.Plur	organizar
de	ADP	de
forma	NOUN.Fem.Sing	forma
integrada	ADJ.Fem.Sing	integrado
,	PUNCT.Comma	,
ou	CCONJ	ou
seja	VERB.Fin.Sing	ser
,	PUNCT.Comma	,
articulando	VERB.Part	articular
diferentes	ADJ.Fem.Plur	diferente
áreas	NOUN.Fem.Plur	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
integrações	NOUN.Fem.Plur	integração
poderão	AUX.Fin.Plur	poder
ser	AUX.Inf	ser
entre	ADP	entre
duas	NUM	dois
áreas	NOUN.Fem.Plur	área
,	PUNCT.Comma	,
três	NUM	três
áreas	NOUN.Fem.Plur	área
ou	CCONJ	ou
mesmo	ADV	mesmo
entre	ADP	entre
as	DET.Fem.Plur	o
quatro	NUM	quatro
áreas	NOUN.Fem.Plur	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
.	PUNCT.Sent	.
Trazemos	VERB.Fin.Plur	trazer
neste	ADP_DET.Masc.Sing	em_este
documento	NOUN.Masc.Sing	documento
exemplos	NOUN.Masc.Plur	exemplo
de	ADP	de
itinerários	NOUN.Masc.Plur	itinerário
integrados	VERB.Part.Masc.Plur	integrar
entre	ADP	entre
duas	NUM	dois
áreas	NOUN.Fem.Plur	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
:	PUNCT.Colon	:
-	PUNCT.Hyphen	-
Itinerário	NOUN.Masc.Sing	itinerário
integrado	VERB.Part.Masc.Sing	integrar
entre	ADP	entre
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Matemática	PROPN.Fem.Sing	Matemática
e	CCONJ	e
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Linguagens	NOUN.Fem.Plur	linguagem
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Itinerário	NOUN.Masc.Sing	itinerário
integrado	VERB.Part.Masc.Sing	integrar
entre	ADP	entre
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Matemática	PROPN.Fem.Sing	Matemática
e	CCONJ	e
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	PROPN.Fem.Plur	Ciências
Humanas	ADJ.Fem.Plur	humano
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Itinerário	NOUN.Masc.Sing	itinerário
integrado	VERB.Part.Masc.Sing	integrar
entre	ADP	entre
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Matemática	PROPN.Fem.Sing	Matemática
e	CCONJ	e
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	NOUN	ciência
da	ADP_DET.Fem.Sing	de_o
Natureza	NOUN.Fem.Sing	natureza
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Itinerário	NOUN.Masc.Sing	itinerário
integrado	VERB.Part.Masc.Sing	integrar
entre	ADP	entre
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	PROPN.Fem.Plur	Ciências
Humanas	ADJ.Fem.Plur	humano
e	CCONJ	e
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Linguagens	NOUN.Fem.Plur	linguagem
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Itinerário	NOUN.Masc.Sing	itinerário
integrado	VERB.Part.Masc.Sing	integrar
entre	ADP	entre
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	NOUN	ciência
da	ADP_DET.Fem.Sing	de_o
Natureza	NOUN.Fem.Sing	natureza
e	CCONJ	e
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Linguagens	NOUN.Fem.Plur	linguagem
.	PUNCT.Sent	.
-	PUNCT.Hyphen	-
Itinerário	NOUN.Masc.Sing	itinerário
integrado	VERB.Part.Masc.Sing	integrar
entre	ADP	entre
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	NOUN	ciência
da	ADP_DET.Fem.Sing	de_o
Natureza	NOUN.Fem.Sing	natureza
e	CCONJ	e
a	DET.Fem.Sing	o
área	NOUN.Fem.Sing	área
de	ADP	de
Ciências	PROPN.Fem.Plur	Ciências
Humanas	ADJ.Fem.Plur	humano
.	PUNCT.Sent	.
Além	ADV	além
das	ADP_DET.Fem.Plur	de_o
integrações	NOUN.Fem.Plur	integração
entre	ADP	entre
as	DET.Fem.Plur	o
áreas	NOUN.Fem.Plur	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
arranjos	NOUN.Masc.Plur	arranjo
também	ADV	também
podem	AUX.Fin.Plur	poder
ser	AUX.Inf	ser
feitos	VERB.Part.Masc.Plur	fazer
entre	ADP	entre
elas	PRON.Fem.Plur	ele
e	CCONJ	e
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
técnica	ADJ.Fem.Sing	técnico
e	CCONJ	e
profissional	ADJ.Fem.Sing	profissional
.	PUNCT.Sent	.
Tanto	ADV	tanto
os	DET.Masc.Plur	o
itinerários	NOUN.Masc.Plur	itinerário
formativos	ADJ.Masc.Plur	formativo
por	ADP	por
área	NOUN.Fem.Sing	área
do	ADP_DET.Masc.Sing	de_o
conhecimento	NOUN.Masc.Sing	conhecimento
quanto	PRON.Rel.Masc.Sing	quanto
os	DET.Masc.Plur	o
integrados	VERB.Part.Masc.Plur	integrar
entre	ADP	entre
áreas	NOUN.Fem.Plur	área
e	CCONJ	e
entre	ADP	entre
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
técnica	ADJ.Fem.Sing	técnico
e	CCONJ	e
profissional	ADJ.Fem.Sing	profissional
deverão	AUX.Fin.Plur	dever
mobilizar	VERB.Inf	mobilizar
as	DET.Fem.Plur	o
competências	NOUN.Fem.Plur	competência
e	CCONJ	e
habilidades	NOUN.Fem.Plur	habilidade
relacionadas	VERB.Part.Fem.Plur	relacionar
aos	ADP_DET.Masc.Plur	a_o
eixos	NOUN.Masc.Plur	eixo
estruturantes	ADJ.Masc.Plur	estruturante
explicitados	VERB.Part.Masc.Plur	explicitar
anteriormente	ADV	anteriormente
,	PUNCT.Comma	,
de	ADP	de
forma	NOUN.Fem.Sing	forma
a	ADP	a
garantir	VERB.Inf	garantir
a	DET.Fem.Sing	o
