#	SYM	#
OS	PROPN.Masc.Plur	Os
FUNDAMENTOS	NOUN.Masc.Plur	fundamento
PEDAGÓGICOS	ADJ.Masc.Plur	pedagógico
DO	ADP_DET.Masc.Sing	de_o
CURRÍCULO	NOUN.Masc.Sing	currículo
PAULISTA	ADJ.Masc.Sing	paulista
##	VERB.Fin.Sing	<unknown>
O	DET.Masc.Sing	o
compromisso	NOUN.Masc.Sing	compromisso
com	ADP	com
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Integral	ADJ.Fem.Sing	integral
O	DET.Masc.Sing	o
Currículo	NOUN.Masc.Sing	currículo
Paulista	PROPN.Fem.Sing	Pailista
considera	VERB.Fin.Sing	considerar
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Integral	ADJ.Fem.Sing	integral
como	ADP	como
a	DET.Fem.Sing	o
base	NOUN.Fem.Sing	base
da	ADP_DET.Fem.Sing	de_o
formação	NOUN.Fem.Sing	formação
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
no	ADP_DET.Masc.Sing	em_o
Estado	NOUN.Masc.Sing	estado
,	PUNCT.Comma	,
independentemente	ADV	independentemente
da	ADP_DET.Fem.Sing	de_o
rede	NOUN.Fem.Sing	rede
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
que	PRON.Rel.Masc.Sing	que
frequenta	VERB.Fin.Sing	<unknown>
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
jornada	NOUN.Fem.Sing	jornada
que	PRON.Rel.Fem.Sing	que
cumpre	VERB.Fin.Sing	cumprir
.	PUNCT.Sent	.
Dessa	ADP_DET.Fem.Sing	de_esse
maneira	NOUN.Fem.Sing	maneira
,	PUNCT.Comma	,
afirma	VERB.Fin.Sing	afirmar
o	DET.Masc.Sing	o
compromisso	NOUN.Masc.Sing	compromisso
com	ADP	com
o	DET.Masc.Sing	o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
do	ADP_DET.Masc.Sing	de_o
