##	VERB.Fin.Sing	<unknown>
Ensino	NOUN.Masc.Sing	ensino
religioso	ADJ.Masc.Sing	religioso
Historicamente	ADV	historicamente
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Religioso	ADJ.Masc.Sing	religioso
no	ADP_DET.Masc.Sing	em_o
Brasil	PROPN.Masc.Sing	Brasil
existe	VERB.Fin.Sing	existir
desde	ADP	desde
o	DET.Masc.Sing	o
período	NOUN.Masc.Sing	período
Colonial	ADJ.Masc.Sing	colonial
até	ADP	até
os	DET.Masc.Plur	o
dias	NOUN.Masc.Plur	dia
atuais	ADJ.Masc.Plur	atual
.	PUNCT.Sent	.
Está	AUX.Fin.Sing	estar
presente	ADJ.Masc.Sing	presente
como	ADP	como
forma	NOUN.Fem.Sing	forma
de	ADP	de
educação	NOUN.Fem.Sing	educação
em	ADP	em
nossas	DET.Fem.Plur	nosso
escolas	NOUN.Fem.Plur	escola
.	PUNCT.Sent	.
Em	ADP	em
1890	NUM	@card@
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Marechal	PROPN.Masc.Sing	Marechal
Deodoro	PROPN.Masc.Sing	Deodoro
da	ADP_DET.Fem.Sing	de_o
Fonseca	PROPN.Sing	Fonseca
,	PUNCT.Comma	,
Presidente	NOUN.Masc.Sing	presidente
Provisório	ADJ.Masc.Sing	provisório
da	ADP_DET.Fem.Sing	de_o
República	NOUN.Fem.Sing	república
,	PUNCT.Comma	,
assina	VERB.Fin.Sing	assinar
o	DET.Masc.Sing	o
Decreto	PROPN.Masc.Sing	Decreto
nº	NOUN.Masc.Sing	nº
119	NUM	@card@
-A	NOUN.Fem.Sing	<unknown>
,	PUNCT.Comma	,
que	PRON.Rel.Fem.Sing	que
proíbe	VERB.Fin.Sing	proibir
a	DET.Fem.Sing	o
intervenção	NOUN.Fem.Sing	intervenção
da	ADP_DET.Fem.Sing	de_o
autoridade	NOUN.Fem.Sing	autoridade
federal	ADJ.Fem.Sing	federal
e	CCONJ	e
dos	ADP_DET.Masc.Plur	de_o
Estados	NOUN.Masc.Plur	estado
Federados	VERB.Part.Masc.Plur	federar
em	ADP	em
matéria	NOUN.Fem.Sing	matéria
religiosa	ADJ.Fem.Sing	religioso
e	CCONJ	e
consagra	VERB.Fin.Sing	consagrar
a	DET.Fem.Sing	o
plena	ADJ.Fem.Sing	pleno
liberdade	NOUN.Fem.Sing	liberdade
de	ADP	de
cultos	NOUN.Masc.Plur	culto
:	PUNCT.Colon	:
>	SYM	>
Artigo	NOUN.Masc.Sing	artigo
2º	ADJ.Masc.Sing	2º
:	PUNCT.Colon	:
a	ADP	a
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
confissões	NOUN.Fem.Plur	confissão
religiosas	ADJ.Fem.Plur	religioso
pertence	VERB.Fin.Sing	pertencer
por	ADP	por
igual	ADJ.Masc.Sing	igual
a	DET.Fem.Sing	o
faculdade	NOUN.Fem.Sing	faculdade
de	ADP	de
exercerem	VERB.Fin.Plur	exercer
o	DET.Masc.Sing	o
seu	DET.Masc.Sing	seu
culto	NOUN.Masc.Sing	culto
