lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
globalidade 5 4 33.56 1.01 0.33 21.11 188.32 POSKW
pasta 6 9 40.27 2.27 0.54 20.29 178.65 POSKW
configurar 31 373 208.05 94.12 14.64 14.49 75.41 POSKW
dcnei 6 19 40.27 4.79 0.91 13.66 157.44 POSKW
evento 25 280 167.79 70.65 11.05 13.59 81.47 POSKW
oliveira 10 62 67.11 15.64 2.61 12.91 124.38 POSKW
portfólio 13 101 87.25 25.49 4.13 12.81 109.57 POSKW
documentar 6 23 40.27 5.8 1.05 11.94 149.61 POSKW
escolaridade 20 214 134.23 54.0 8.48 11.88 85.25 POSKW
exposição 15 141 100.67 35.58 5.65 11.18 95.55 POSKW
pp 6 26 40.27 6.56 1.16 10.85 143.96 POSKW
fotográfico 7 37 46.98 9.34 1.59 10.62 133.69 POSKW
documentação 8 50 53.69 12.62 2.1 10.24 123.89 POSKW
mobiliário 7 40 46.98 10.09 1.7 9.84 129.26 POSKW
norte 9 65 60.4 16.4 2.68 9.74 114.58 POSKW
intencionar 5 20 33.56 5.05 0.91 9.63 147.71 POSKW
brincadeira 37 564 248.32 142.32 21.78 9.18 54.27 POSKW
colher 5 22 33.56 5.55 0.98 8.93 143.22 POSKW
constitutivo 15 161 100.67 40.63 6.38 8.86 84.99 POSKW
capítulo 14 151 93.96 38.1 5.98 8.19 84.59 POSKW
dramático 7 48 46.98 12.11 1.99 8.06 118.01 POSKW
litoral 5 25 33.56 6.31 1.09 7.99 136.7 POSKW
mostra 5 26 33.56 6.56 1.12 7.7 134.59 POSKW
ludicidade 13 142 87.25 35.83 5.62 7.42 83.55 POSKW
-se 6 39 40.27 9.84 1.63 7.35 121.44 POSKW
registro 31 480 208.05 121.12 18.52 7.3 52.82 POSKW
circunscrever 5 28 33.56 7.07 1.2 7.17 130.43 POSKW
feira 7 53 46.98 13.37 2.17 7.13 111.36 POSKW
doméstico 7 54 46.98 13.63 2.21 6.96 110.07 POSKW
lúdico 22 312 147.65 78.73 12.1 6.81 60.89 POSKW
seminário 15 185 100.67 46.68 7.25 6.63 73.28 POSKW
sociopolítico 6 43 40.27 10.85 1.78 6.55 115.1 POSKW
emergente 9 86 60.4 21.7 3.44 6.53 94.28 POSKW
didático 43 749 288.59 189.0 28.7 6.44 41.71 POSKW
cigano 6 44 40.27 11.1 1.81 6.37 113.55 POSKW
ancorar 13 156 87.25 39.36 6.12 6.11 75.64 POSKW
codificação 5 33 33.56 8.33 1.38 6.02 120.48 POSKW
agrupar 9 91 60.4 22.96 3.62 5.93 89.82 POSKW
materializar 16 216 107.38 54.5 8.41 5.67 65.33 POSKW
problematização 17 238 114.09 60.06 9.24 5.46 62.06 POSKW
propulsor 5 36 33.56 9.08 1.49 5.43 114.79 POSKW
parque 6 50 40.27 12.62 2.03 5.37 104.57 POSKW
aberto 9 97 60.4 24.48 3.84 5.27 84.65 POSKW
propício 9 98 60.4 24.73 3.88 5.17 83.81 POSKW
roda 13 169 87.25 42.64 6.59 5.07 68.68 POSKW
brincar 22 343 147.65 86.55 13.23 5.06 52.18 POSKW
adulto 42 767 281.88 193.54 29.31 5.04 37.16 POSKW
ensaio 5 39 33.56 9.84 1.59 4.9 109.3 POSKW
procedimento 49 927 328.86 233.91 35.37 4.89 33.74 POSKW
integrador 20 310 134.23 78.22 11.96 4.69 52.72 POSKW
fixo 6 55 40.27 13.88 2.21 4.65 97.48 POSKW
convergência 6 55 40.27 13.88 2.21 4.65 97.48 POSKW
comunitário 17 253 114.09 63.84 9.78 4.55 56.49 POSKW
valioso 5 42 33.56 10.6 1.7 4.42 103.99 POSKW
entretenimento 6 58 40.27 14.64 2.32 4.27 93.37 POSKW
relato 9 109 60.4 27.5 4.28 4.15 74.85 POSKW
crítica 6 59 40.27 14.89 2.36 4.15 92.03 POSKW
criança 61 1229 409.4 310.12 46.74 4.13 27.6 POSKW
mapeamento 5 44 33.56 11.1 1.78 4.13 100.56 POSKW
firmar 7 76 46.98 19.18 3.01 4.04 84.05 POSKW
maquete 5 45 33.56 11.36 1.81 3.99 98.87 POSKW
brinquedo 10 129 67.11 32.55 5.04 3.98 69.36 POSKW
creche 12 166 80.54 41.89 6.45 3.98 63.14 POSKW
advindos 6 61 40.27 15.39 2.43 3.91 89.38 POSKW
