lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
sergipe 27 2 397.06 0.49 0.48 207.03 199.5 POSKW
pcnem 8 16 117.65 3.96 0.4 35.62 186.99 POSKW
diretoria 7 26 102.94 6.43 0.55 24.19 176.49 POSKW
implementá 3 2 44.12 0.49 0.08 17.95 195.57 POSKW
travessia 4 9 58.82 2.23 0.21 17.07 185.42 POSKW
inglaterra 4 13 58.82 3.21 0.28 14.7 179.27 POSKW
através 31 839 455.88 207.47 14.39 14.69 74.9 POSKW
qualificado 5 28 73.53 6.92 0.55 13.88 165.58 POSKW
negros 3 7 44.12 1.73 0.17 12.63 184.9 POSKW
intermitente 3 7 44.12 1.73 0.17 12.63 184.9 POSKW
gradual 6 51 88.24 12.61 0.94 12.57 149.98 POSKW
século 21 508 308.82 125.62 8.75 12.57 84.34 POSKW
mobilidade 8 100 117.65 24.73 1.79 11.93 130.53 POSKW
xxi 13 245 191.18 60.58 4.27 11.81 103.74 POSKW
especificação 5 38 73.53 9.4 0.71 11.38 154.67 POSKW
focar 11 202 161.76 49.95 3.52 10.37 105.63 POSKW
sessenta 4 26 58.82 6.43 0.5 10.12 160.59 POSKW
departamento 4 26 58.82 6.43 0.5 10.12 160.59 POSKW
ocem 3 12 44.12 2.97 0.25 10.0 174.79 POSKW
assimilação 5 46 73.53 11.37 0.84 9.84 146.41 POSKW
fic 5 47 73.53 11.62 0.86 9.67 145.4 POSKW
dogmático 3 13 44.12 3.21 0.26 9.6 172.83 POSKW
culminar 6 71 88.24 17.56 1.27 9.45 133.62 POSKW
assemelhar 3 14 44.12 3.46 0.28 9.24 170.9 POSKW
liderar 3 14 44.12 3.46 0.28 9.24 170.9 POSKW
competir 6 75 88.24 18.55 1.34 8.95 130.53 POSKW
contemporânea 3 15 44.12 3.71 0.3 8.89 168.98 POSKW
unidade 39 1388 573.53 343.22 23.6 8.55 50.24 POSKW
introdutório 7 107 102.94 26.46 1.89 8.37 118.21 POSKW
parâmetro 17 454 250.0 112.27 7.79 8.3 76.04 POSKW
of 3 17 44.12 4.2 0.33 8.27 165.2 POSKW
estruturar 21 615 308.82 152.08 10.52 8.25 68.02 POSKW
diretriz 34 1176 500.0 290.8 20.01 8.23 52.91 POSKW
ocupação 11 235 161.76 58.11 4.07 8.22 94.28 POSKW
xvi 4 36 58.82 8.9 0.66 8.01 147.42 POSKW
alunado 4 36 58.82 8.9 0.66 8.01 147.42 POSKW
priorizam 3 18 44.12 4.45 0.35 7.99 163.34 POSKW
moderno 10 205 147.06 50.69 3.56 7.99 97.46 POSKW
curso 17 462 250.0 114.24 7.92 7.98 74.54 POSKW
discente 9 174 132.35 43.03 3.03 7.87 101.87 POSKW
organizador 13 313 191.18 77.4 5.39 7.85 84.73 POSKW
kramer 3 19 44.12 4.7 0.36 7.72 161.5 POSKW
ofertante 3 19 44.12 4.7 0.36 7.72 161.5 POSKW
outrora 3 19 44.12 4.7 0.36 7.72 161.5 POSKW
integrador 13 317 191.18 78.39 5.46 7.66 83.68 POSKW
especialização 5 62 73.53 15.33 1.11 7.52 130.99 POSKW
transferir 4 41 58.82 10.14 0.74 7.19 141.19 POSKW
nacionais 25 820 367.65 202.77 13.97 7.18 57.81 POSKW
professor(a) 5 66 73.53 16.32 1.17 7.05 127.34 POSKW
certo 7 123 102.94 30.42 2.15 7.01 108.77 POSKW
raiz 3 22 44.12 5.44 0.41 7.0 156.09 POSKW
atrair 3 22 44.12 5.44 0.41 7.0 156.09 POSKW
ept 6 94 88.24 23.24 1.65 6.97 116.6 POSKW
mercado 12 295 176.47 72.95 5.08 6.96 83.01 POSKW
satisfazer 4 43 58.82 10.63 0.78 6.89 138.76 POSKW
tarde 4 43 58.82 10.63 0.78 6.89 138.76 POSKW
aluno 33 1194 485.29 295.25 20.29 6.81 48.69 POSKW
surgimento 7 126 102.94 31.16 2.2 6.79 107.06 POSKW
capacitação 4 44 58.82 10.88 0.79 6.75 137.56 POSKW
aprendiz 8 159 117.65 39.32 2.76 6.71 99.81 POSKW
ciência 34 1248 500.0 308.61 21.2 6.65 47.34 POSKW
permanente 15 418 220.59 103.36 7.16 6.65 72.37 POSKW
itinerário 21 668 308.82 165.18 11.39 6.61 60.61 POSKW
precípuo 3 24 44.12 5.93 0.45 6.58 152.57 POSKW
posicionar 14 381 205.88 94.21 6.53 6.55 74.42 POSKW
heterogeneidade 6 99 88.24 24.48 1.74 6.53 113.12 POSKW
passar 22 719 323.53 177.79 12.25 6.39 58.14 POSKW
colégio 3 25 44.12 6.18 0.46 6.38 150.84 POSKW
delinear 6 102 88.24 25.22 1.79 6.28 111.08 POSKW
aptidão 6 102 88.24 25.22 1.79 6.28 111.08 POSKW
rocha 3 26 44.12 6.43 0.48 6.19 149.12 POSKW
suficiente 7 135 102.94 33.38 2.35 6.14 102.05 POSKW
tocante 6 105 88.24 25.96 1.84 6.04 109.06 POSKW
finalizar 5 76 73.53 18.79 1.34 6.02 118.58 POSKW
esteira 3 27 44.12 6.68 0.5 6.01 147.42 POSKW
xvii 3 27 44.12 6.68 0.5 6.01 147.42 POSKW
apesar 10 242 147.06 59.84 4.17 5.98 84.31 POSKW
marcar 16 478 235.29 118.2 8.17 5.98 66.25 POSKW
diploma 4 50 58.82 12.36 0.89 5.97 130.53 POSKW
conclusão 13 364 191.18 90.01 6.23 5.7 71.96 POSKW
autogestão 3 29 44.12 7.17 0.53 5.67 144.07 POSKW
anual 7 143 102.94 35.36 2.48 5.63 97.73 POSKW
líder 3 30 44.12 7.42 0.55 5.51 142.42 POSKW
ldb 17 535 250.0 132.29 9.13 5.51 61.58 POSKW
adquirir 19 622 279.41 153.81 10.6 5.49 57.99 POSKW
centro 13 372 191.18 91.99 6.37 5.41 70.06 POSKW
imenso 4 55 58.82 13.6 0.98 5.4 124.88 POSKW
alterar 11 294 161.76 72.7 5.04 5.36 75.97 POSKW
legislação 15 456 220.59 112.76 7.79 5.35 64.69 POSKW
absoluto 5 84 73.53 20.77 1.47 5.32 111.89 POSKW
