Effect	state	N	Mean fac3	SD fac3
state	ac	139	5.87769784	12.8792949
state	al	170	1.98823529	4.0703695
state	am	148	5.37837838	7.4663922
state	ap	134	2.12686567	4.3587638
state	ba	135	1.75555556	3.3512454
state	ce	148	3.16216216	6.2084582
state	df	103	2.79611650	4.5295527
state	es	105	3.24761905	5.4996170
state	go	150	4.19333333	7.5597811
state	ma	146	2.05479452	3.6817927
state	mg	293	1.51877133	3.5069143
state	ms	102	1.61764706	4.3052906
state	mt	227	3.10132159	5.6288879
state	pa	175	1.08571429	3.4271686
state	pb	209	2.50239234	4.6317512
state	pe	158	1.84177215	3.7152160
state	pi	127	1.29133858	3.6255492
state	pr	178	1.29213483	4.0455102
state	rj	98	6.43877551	6.7090742
state	rn	149	3.32885906	5.6190349
state	ro	279	2.50179211	5.0149952
state	rr	164	2.09756098	4.1847217
state	rs	141	1.63829787	5.0797590
state	sc	118	2.44915254	3.6481993
state	se	68	1.64705882	4.3357752
state	sp	103	1.82524272	4.0230395
state	to	145	2.93103448	5.4729831
